version,cost_bp,ann_ret,ann_vol,sharpe,max_dd,calmar
v8_method_b,0,0.10950868103506606,0.10473505947953253,1.0455780669744728,-0.11659833420066457,0.9391959309350227
v8_prob_2state,0,0.0847014629186853,0.0941886287828317,0.8992748276862517,-0.14969889063083852,0.5658122285459107
v8_prob_3state,0,0.09266625847364796,0.10001151796152723,0.926555864388491,-0.1605134546339102,0.5773114701505603
v8_uniform,0,0.16680265733202937,0.1860861813082038,0.8963731544136733,-0.2831048036719436,0.5891904876517641
v8_method_b,10,0.0815785289378721,0.10454393504542787,0.7803277053080455,-0.14554104184528371,0.5605190666739457
v8_prob_2state,10,0.05749230568461816,0.0940824899268583,0.6110840149884839,-0.16195583911086808,0.354987544754477
v8_prob_3state,10,0.06334873489928694,0.09989399739587775,0.6341595746562957,-0.17351640624273268,0.36508786846742425
v8_uniform,10,0.10917489748137488,0.18585855830559042,0.5874085028781321,-0.30381611213155546,0.3593453181775331
v8_method_b,20,0.05433412956497197,0.10448559680875118,0.520015497106499,-0.17888645910313528,0.30373528458990934
v8_prob_2state,20,0.030950126429131863,0.09410959027374058,0.32887324595831213,-0.1740436122000797,0.17782971772357695
v8_prob_3state,20,0.03479993092980327,0.09992046255130696,0.34827631939688297,-0.18632649814049274,0.18676855561125635
v8_uniform,20,0.0543301014317068,0.18589936982118982,0.2922554362823556,-0.3241306638753845,0.16761790070128815
