version,zwin,coef,cost_bp,clip_type,clip_low_base,clip_high_base,period,period_start,period_end,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A_v7_14_v9_dynamic_clip,4,0.8,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.968609629355034,1.2495337545465002,0.7960001508044625,-0.18067254542762756,350,0.14381537340661765,0.14847609299773293,0.11509522882702222,0.48950729927007297,1.0655227628294395
A_v7_14_v9_dynamic_clip,4,0.8,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.1261119898082468,1.5806210732491202,0.9177270547949157,-0.17804741478961073,228,0.16339892958871816,0.1451000709232672,0.10337640839675494,0.4856396866840731,1.1133293433536964
A_v7_14_v9_dynamic_clip,4,0.8,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9015465011319714,1.1617481219555577,0.7299040806269785,-0.18336814271092194,518,0.13384115562169208,0.1484572958284932,0.11520668989453477,0.48905109489051096,1.0558681802369747
A_v7_14_v9_dynamic_clip,4,0.8,10,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0511902181175634,1.4747651766479548,0.8316856774237641,-0.18336814271092194,228,0.15250465798847057,0.14507807945699006,0.10340945148644189,0.48476936466492604,1.1042991388284464
A_v7_14_v9_dynamic_clip,4,0.8,15,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8348698730094576,1.0748555211579556,0.6570056400685536,-0.18865761763517008,570,0.12394911882820336,0.14846519539794106,0.11531700436787205,0.4876824817518248,1.0504276684227434
A_v7_14_v9_dynamic_clip,4,0.8,15,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9767064205862308,1.3695168246448088,0.7511329836560612,-0.18865761763517008,264,0.14170695922374965,0.14508654416205788,0.10347222952920061,0.4830287206266319,1.0994452699243649
A_v7_14_v9_dynamic_clip,4,0.8,20,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.7686113622893131,0.9887427642977725,0.5885982628274152,-0.19391600542611764,603,0.11413862392824448,0.14849978744561096,0.11543813825965979,0.4863138686131387,1.0449661602491849
A_v7_14_v9_dynamic_clip,4,0.8,20,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9027018693145755,1.2648744243987495,0.6755761262552311,-0.19391600542611764,353,0.13100502376466494,0.14512545970923654,0.10357156508001764,0.4821583986074848,1.0904731919122752
A_v7_14_v9_dynamic_clip,4,1.0,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9609727407270696,1.2333809370593651,0.7772043989157392,-0.18067254542762767,349,0.14041949706965595,0.14612224792496706,0.11384925196301886,0.48950729927007297,1.0653823753837883
A_v7_14_v9_dynamic_clip,4,1.0,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.1334207758675492,1.5869988506744088,0.9139213254033018,-0.1768199395944755,228,0.16159951355191482,0.14257680553651614,0.10182711441992646,0.4856396866840731,1.116310246712243
A_v7_14_v9_dynamic_clip,4,1.0,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8920795943272554,1.1437352068543252,0.7154701225667615,-0.18216571849671404,518,0.13033412894030616,0.14610145750345868,0.1139548106582912,0.48905109489051096,1.0552942060832153
A_v7_14_v9_dynamic_clip,4,1.0,10,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0555446609390056,1.4773361148509772,0.8260051376114245,-0.18216571849671404,228,0.1504698193749623,0.14255182650547948,0.10185212279207063,0.48476936466492604,1.106612136181654
A_v7_14_v9_dynamic_clip,4,1.0,15,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.823593556849007,1.0552458980440562,0.6418457325929912,-0.18747995249749738,570,0.1203332074572554,0.14610751438809108,0.1140333335389393,0.48677007299270075,1.053593416778555
A_v7_14_v9_dynamic_clip,4,1.0,15,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9781388876982536,1.3684043415114568,0.7437665631508041,-0.18747995249749738,264,0.13944131992873965,0.142557791825322,0.10190067050994678,0.4821583986074848,1.1052598099679383
A_v7_14_v9_dynamic_clip,4,1.0,20,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.7555477628650608,0.9673523129163027,0.5728079175197482,-0.19276281004882323,603,0.11041606379932123,0.14614041524075203,0.11414255419149925,0.4854014598540146,1.0476721146928534
A_v7_14_v9_dynamic_clip,4,1.0,20,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9012476975388498,1.2601379495771612,0.6666905450897178,-0.19276281004882323,340,0.12851314290447569,0.14259469761245733,0.10198339233224285,0.4804177545691906,1.0997206161417086
A_v7_14_v9_dynamic_clip,4,1.5,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9561852821878316,1.21921837673467,0.7574561283600004,-0.18067254542762778,320,0.13685152676055723,0.14312239406930582,0.11224529532361148,0.48905109489051096,1.0686603911452068
A_v7_14_v9_dynamic_clip,4,1.5,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.1494422575155305,1.6010286920091545,0.9325082719008702,-0.17197339912545073,227,0.16036661723139267,0.13951689715846896,0.10016473660453033,0.48476936466492604,1.1262855631536504
A_v7_14_v9_dynamic_clip,4,1.5,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8859129739691769,1.1283390234898902,0.7008518345175871,-0.180878800109177,514,0.12676923888185665,0.1430944602988366,0.1123503098295461,0.48905109489051096,1.0560259434180308
A_v7_14_v9_dynamic_clip,4,1.5,10,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0692261110806658,1.488687895480901,0.8414126315901713,-0.17725545726217917,228,0.14914498075868932,0.1394887191895722,0.10018552660462789,0.48476936466492604,1.1116966286937942
