fold,train_start,train_end,oos_start,oos_end,train_desc,v6.2_ir_expanding_oos_calmar,v6.2_ir_expanding_oos_ann,v6.2_ir_expanding_oos_dd,v6.2_ir_expanding_oos_sharpe,v6.1_IC12_oos_calmar,v6.1_IC12_oos_ann,v6.1_IC12_oos_dd,v6.1_IC12_oos_sharpe,delta_calmar,winner
1,2018-01-01,2019-12-31,2020-01-01,2020-12-31,训练 2018-2019,3.0218859736080015,0.36758966577535546,-0.12164246731535977,1.971764533853075,2.059682575161807,0.42533792445546825,-0.20650654114605693,1.7429844819255633,0.9622033984461944,v6.2
2,2018-01-01,2020-12-31,2021-01-01,2021-12-31,训练 2018-2020,1.4094253081927164,0.11848190441709905,-0.0840639824816446,0.7826860332244457,-0.6041029005243982,-0.1089199042602832,-0.18030025044695874,-0.7269001150380089,2.0135282087171147,v6.2
3,2018-01-01,2021-12-31,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),-0.0162421853941679,-0.002716592199554002,-0.1672553374824457,-0.01674477776199927,-0.43934284693802983,-0.06524719943680513,-0.14851089505961246,-0.3927317097329748,0.42310066154386194,v6.2
4,2018-01-01,2023-06-30,2023-07-01,2024-12-31,训练 2018-2023.6,0.63627899254749,0.08255486634779685,-0.12974633347121733,0.5354525444691883,1.8933656248381903,0.21308224490675598,-0.11254151977379767,1.4592243887818017,-1.2570866322907004,v6.1
5,2018-01-01,2024-12-31,2025-01-01,2026-06-30,训练 2018-2024,2.510297188188246,0.3771289402727127,-0.1502327860012852,1.7815177340559998,1.426703150139005,0.21943586510487023,-0.15380625260657088,1.2377500090902758,1.0835940380492408,v6.2
