factor_set,n_factors,Sharpe,Calmar,AnnRet,MaxDD,rs_min,rs_max,rs_924_mean,rs_924_range
1_5_ETF_only,6,0.8489983452662833,0.7378500950037664,0.12797219790488557,-0.17343929176323047,0.35207685313385995,1.5,0.9389634279209825,"[0.59, 1.29]"
2_v9_macro_LEVEL,6,0.9757933922666392,0.7886462796059945,0.14048040963276542,-0.17812853907451265,0.3,1.5,0.7425993473047005,"[0.56, 0.93]"
3_v9_macro_FLOW,6,0.9093730343868434,0.804822430222788,0.13733813870246991,-0.17064402475022034,0.3,1.5,1.0273213039558375,"[0.88, 1.18]"
4_5ETF_v9_flow,6,0.8959067443144162,0.7942259064450924,0.136979025880809,-0.17246859460165298,0.4491246092227781,1.5,0.9858949761598252,"[0.75, 1.22]"
5_5ETF_4EXTRA,6,0.80617673614848,0.6731703311882428,0.12014200014696441,-0.17847191799866824,0.3,1.5,1.0813466332447004,"[0.81, 1.35]"
6_ALL_17,6,0.9014151503545239,0.7705241727472514,0.1372472808158478,-0.17812196640957023,0.41287941619644297,1.5,1.0592880898721113,"[0.84, 1.27]"
