method,cost_bp,Sharpe,Calmar,AnnRet,MaxDD,signal_time_s,n_etf
periodic,0,0.6022083563987664,0.5716068412924408,0.0963166740762349,-0.16850161180446432,650.3632791042328,43
periodic,5,0.4712461547329987,0.4241263993614832,0.07714035719623746,-0.18188058397772755,649.1585474014282,43
periodic,10,0.33997830754795894,0.2899491557303756,0.05829125344973618,-0.20103956951659951,648.7851240634918,43
periodic,20,0.07709442437663391,0.0901720311352632,0.02155299687634149,-0.23902086495102637,652.2215993404388,43
probabilistic,0,0.7874939157698948,0.5731118809942993,0.15064078009065462,-0.2628470724238101,503.7283065319061,43
probabilistic,5,0.6503351594634895,0.4539033049169346,0.12383902215847087,-0.2728312854675815,513.1328959465027,43
probabilistic,10,0.5128032486127233,0.3454267132252783,0.09764730053816195,-0.2826860135581898,513.0138897895813,43
probabilistic,20,0.2372262626036229,0.15480058740058655,0.047040013633579125,-0.30387490398761163,529.3620052337646,43
