signal,method,smooth,rebal,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
P_bear,discrete,1,W,1.2931848840399094,1.8721888381712195,1.3881702135006462,-0.13392794619439952,138,0.18591478566238262,0.14376504702218978,0.09930343663622458,0.5258701787394168,1.1288318487999685
P_bear,discrete,1,2W,1.3340957756311582,1.9796451975280056,1.5051525492716995,-0.13392794619439874,138,0.20158198963322227,0.15110008840096523,0.10182733243559951,0.5258701787394168,1.132087849985575
P_bear,discrete,1,M,1.35607268685368,2.0301380691904805,1.5540797056023543,-0.1339279461943994,138,0.20813470319372018,0.1534834417147861,0.10252243744028411,0.5249294449670743,1.1394196064649629
P_bear,discrete,2,W,1.3133926063129875,1.9031491318472955,1.4111857901281983,-0.1339279461943984,138,0.18899721457058893,0.14390001410252345,0.0993076219871106,0.5258701787394168,1.1325475921860908
P_bear,discrete,2,2W,1.338651839365509,1.9844916610128118,1.5286378961293448,-0.1321183920982304,138,0.20196118093703075,0.15086908709045352,0.10176973020584887,0.5258701787394168,1.1329445784277288
P_bear,discrete,2,M,1.35607268685368,2.0301380691904805,1.5540797056023543,-0.1339279461943994,138,0.20813470319372018,0.1534834417147861,0.10252243744028411,0.5249294449670743,1.1394196064649629
P_bear,discrete,4,W,1.332689293617503,1.9341021168850778,1.4618507967230248,-0.13134587491333527,138,0.1920080718883419,0.14407564674519732,0.09927504355228975,0.5258701787394168,1.135458969505139
P_bear,discrete,4,2W,1.3434523369795728,1.9901246659053051,1.5649568611241265,-0.12939979512990585,138,0.20250509721660248,0.15073485797932076,0.10175498082401947,0.5249294449670743,1.138214846416219
P_bear,discrete,4,M,1.35607268685368,2.0301380691904805,1.5540797056023543,-0.1339279461943994,138,0.20813470319372018,0.1534834417147861,0.10252243744028411,0.5249294449670743,1.1394196064649629
P_bear,discrete,8,W,1.357549636171156,1.9811961134404223,1.5353928295227943,-0.12720658214055947,136,0.19531207408671736,0.14387103711181942,0.09858290795228268,0.5258701787394168,1.1393598832184482
P_bear,discrete,8,2W,1.3539301010543827,2.007771060120673,1.5788030789012772,-0.1293997951299053,138,0.20429679496028896,0.15089168547267792,0.10175303301164731,0.5249294449670743,1.1398206595618685
P_bear,discrete,8,M,1.362649472192653,2.039605891744054,1.592996260816717,-0.13116237110131357,138,0.20894116672424712,0.15333449356424567,0.10244193134075665,0.5249294449670743,1.1407063004231268
P_bear,linear,1,W,1.297323309573861,1.889870021703198,1.392758926478869,-0.13442530179671563,139,0.18722203902199164,0.144314094752132,0.09906609283810029,0.5249294449670743,1.1322433891640855
P_bear,linear,1,2W,1.3404635575455826,1.9910626562368454,1.4878848708849097,-0.1345773285667895,138,0.20023557113863366,0.14937785515427907,0.10056718733155466,0.5249294449670743,1.1376498606960546
P_bear,linear,1,M,1.3400209004553534,1.9937346387743375,1.5128283996440626,-0.13531681485343128,138,0.20471112045964834,0.15276711011752528,0.10267721515110755,0.5230479774223895,1.1459378566902285
P_bear,linear,2,W,1.3104540897768944,1.912850755854355,1.417720400171878,-0.13339058787992164,139,0.18911055762828455,0.1443091819115012,0.09886320563666781,0.5249294449670743,1.1345092440019267
P_bear,linear,2,2W,1.3442178605426314,1.9963807498310961,1.501335167783425,-0.1338003866550016,138,0.20087922594817398,0.14943948584873246,0.10062170052740159,0.5249294449670743,1.1383856079969783
P_bear,linear,2,M,1.344015670678817,2.0011231430391576,1.5216397837831048,-0.13482347269395623,138,0.2051527598389189,0.15264164273866176,0.1025188082765102,0.5230479774223895,1.1465811973695414
P_bear,linear,4,W,1.3247325489753938,1.940351593304265,1.4487889253405704,-0.13175729450924145,138,0.19088850911782496,0.14409588506409576,0.09837830925928066,0.5249294449670743,1.1368150076405148
P_bear,linear,4,2W,1.3475340756028777,2.0003041468372937,1.5262112851898024,-0.13198817637492233,138,0.20144184429502854,0.14948923959856436,0.1007056075015046,0.5239887111947319,1.143286968050109
P_bear,linear,4,M,1.3496260582151163,2.0125334726248143,1.5311286431058537,-0.1345793868601699,138,0.2060583539932297,0.15267810867977932,0.10238754127377639,0.5230479774223895,1.147484485225679
P_bear,linear,8,W,1.3403601574738278,1.9695705362002531,1.4776251215497427,-0.13101541795978167,138,0.19359167288771273,0.1444325779218731,0.09829131241026526,0.5249294449670743,1.139321137731055
P_bear,linear,8,2W,1.349525625756647,2.003480382996143,1.5347230852079328,-0.13171769577446168,138,0.20215018843546173,0.14979351601576363,0.10089950974870658,0.5230479774223895,1.1479760102567338
P_bear,linear,8,M,1.357875101450576,2.0272890608511713,1.560539803446762,-0.1329174009423002,138,0.2074228947411516,0.1527555034476795,0.10231540175827894,0.5230479774223895,1.148948300213243
P_bear,risk_scalar,1,W,1.3253637185959475,1.9512161551666118,1.4550907282180305,-0.12638355779174537,138,0.18389954314197632,0.1387540194149831,0.09424867801295617,0.5258701787394168,1.1315476999326546
P_bear,risk_scalar,1,2W,1.3528782791087253,2.0158806234218183,1.5256877933266073,-0.1261384152579491,138,0.19244784042861562,0.1422506691107496,0.09546589127978655,0.5268109125117592,1.1308576006067383
P_bear,risk_scalar,1,M,1.3550257415221258,2.0189615818085676,1.5485359522312798,-0.12639011524759536,138,0.19571963746755627,0.14443979289109352,0.09694074381159468,0.5258701787394168,1.1355126275687746
P_bear,risk_scalar,2,W,1.3324500385873947,1.9650098828005818,1.4685175820200558,-0.12587723168330966,138,0.18485292790295227,0.13873160159830478,0.0940722637178268,0.5258701787394168,1.132740569467666
P_bear,risk_scalar,2,2W,1.356119425841808,2.0213122310034706,1.5344040485820085,-0.1257457276445605,138,0.1929447535897042,0.14227711063864026,0.0954551952094594,0.5268109125117592,1.1314496979404338
