Strategy,Full 18-26_Sharpe,Full 18-26_Calmar,Full 18-26_MaxDD,Full 18-26_AnnRet,Full 18-26_Vol,Full 18-26_WinRate,Full 18-26_TotalRet,OOS 21-26_Sharpe,OOS 21-26_Calmar,OOS 21-26_MaxDD,OOS 21-26_AnnRet,OOS 21-26_Vol,OOS 21-26_WinRate,OOS 21-26_TotalRet,OOS 22-26_Sharpe,OOS 22-26_Calmar,OOS 22-26_MaxDD,OOS 22-26_AnnRet,OOS 22-26_Vol,OOS 22-26_WinRate,OOS 22-26_TotalRet,Slow Bear 22_Sharpe,Slow Bear 22_Calmar,Slow Bear 22_MaxDD,Slow Bear 22_AnnRet,Slow Bear 22_Vol,Slow Bear 22_WinRate,Slow Bear 22_TotalRet,924 周期 24-08~24-10_Sharpe,924 周期 24-08~24-10_Calmar,924 周期 24-08~24-10_MaxDD,924 周期 24-08~24-10_AnnRet,924 周期 24-08~24-10_Vol,924 周期 24-08~24-10_WinRate,924 周期 24-08~24-10_TotalRet,2025 慢牛_Sharpe,2025 慢牛_Calmar,2025 慢牛_MaxDD,2025 慢牛_AnnRet,2025 慢牛_Vol,2025 慢牛_WinRate,2025 慢牛_TotalRet
v0.0 baseline,0.8622533522405853,0.5618431945885274,-0.16271203341043505,0.09141864864931404,0.10602295533181816,0.4985279685966634,1.028839389298109,0.73907260492422,0.48558631719631823,-0.16271203341043505,0.07901073706729744,0.10690524387032141,0.5307497893850042,0.43074370459223177,0.7436566004756083,0.5056784318421825,-0.16271203341043505,0.08227996589684161,0.11064241996133586,0.5304428044280443,0.40512470703804615,-1.7403502452558257,-0.869372143210823,-0.10813984014207123,-0.09401376459078825,0.054020025478818796,0.44813278008298757,-0.0901008156309594,1.8934475047505992,6.13632456779623,-0.03346765488253178,0.2053683928822052,0.10846268109728022,0.5517241379310345,0.043927720425981365,1.815648010378669,3.004482444903564,-0.08431486283757006,0.25332252523993115,0.13952182570183225,0.5826446280991735,0.24214261688413985
v0.1 +VT,0.916310938811487,0.668236774195042,-0.0675008458191605,0.045106547465632696,0.049226245759041935,0.4985279685966634,0.4287534643301738,0.7695258272157484,0.4960140476952393,-0.05097348781149735,0.02528356601452475,0.03285603305350285,0.5307497893850042,0.12480869493472091,0.7712290787313881,0.5131199384790047,-0.05097348781149735,0.02615551292989582,0.03391406477167537,0.5304428044280443,0.11746642744525615,-1.6904260055041254,-0.8409793128341057,-0.03936800191333034,-0.03310767519672431,0.019585403376973492,0.44813278008298757,-0.03168564590508427,1.8214207007426284,5.9183353396058855,-0.010691844809276652,0.06327792298032375,0.034740970581109636,0.5517241379310345,0.014221920746655403,1.7280283338982765,2.841593452992294,-0.025453782041491402,0.07232930040299479,0.04185654771054963,0.5826446280991735,0.06936181933582919
v0.2 +TF,0.8240238701397722,0.4996292366104748,-0.16271203341043494,0.08129568904019369,0.09865695884077265,0.5132482826300294,0.8815647944048655,0.8402889642314084,0.4996525240528627,-0.16271203341043494,0.08129947818729755,0.09675180997010971,0.5619208087615838,0.4450950235429225,0.8573756802071144,0.5313812003887316,-0.16271203341043494,0.08646211563132833,0.10084507600033846,0.5654981549815498,0.42863041348982,-0.6079334963521456,-0.5026700738505562,-0.042979637831049744,-0.021604577722603935,0.035537732091158666,0.4979253112033195,-0.020671337296482517,1.1885559314214302,3.7776522723316766,-0.03346765488253178,0.12642916251660852,0.10637207654620681,0.5862068965517241,0.027779854048714636,1.815648010378661,3.0044824449035272,-0.08431486283757073,0.25332252523993004,0.13952182570183225,0.5826446280991735,0.24214261688413874
v1.0 locked,1.1688207916476785,0.8888825775899192,-0.05809614109453287,0.051640647644136006,0.04418183524211487,0.511469009272816,0.5059220592328293,1.4542531257910192,1.7326986531819621,-0.019401961939836232,0.03361775332224193,0.023116851341788282,0.5290648694187026,0.16853028044768892,1.521943711054824,1.8684446467255862,-0.019401961939836232,0.03625149192246058,0.023819206754588516,0.5322878228782287,0.1655335354822618,-0.4292542727346502,-0.578067260804805,-0.012896794119521715,-0.0074552144498354345,0.01736782816939829,0.44813278008298757,-0.007130951551935771,3.0369036241193847,12.040077001713245,-0.007476943137742609,0.09002297111585245,0.02964301217887892,0.6206896551724138,0.02003750838349827,1.5906895261257499,2.826795077859327,-0.019401961939836232,0.05484537051234306,0.034478991413191294,0.5950413223140496,0.05261271235999643
v3 (52 池),0.8130170378736957,0.4613846244277477,-0.1355514868761558,0.06254137186297792,0.07692504455570079,0.49829849295089934,0.6407908300646248,1.0084612776737023,0.6140782521903432,-0.11873646041942221,0.07291347808562665,0.07230171321383996,0.5223251895534962,0.3930587893718325,1.080571375336485,0.8120164879495804,-0.09889267165958471,0.08030247992496697,0.07431483172498544,0.5239852398523985,0.3941141998075406,-1.5239055590498332,-0.9873932484242447,-0.09889267165958471,-0.09764595631530959,0.06407612055447359,0.43983402489626555,-0.09358976763365745,1.9240239010962392,7.16450774799525,-0.02700836082289304,0.19350161037626856,0.10057131320770929,0.5862068965517241,0.04155326887868571,3.2253635364060744,7.568117631564091,-0.035799944403035355,0.27093819044562606,0.08400237287593458,0.5578512396694215,0.25890369485665277
v4 style,0.2579823048855501,0.1175683207822534,-0.4496589657502832,0.05286564952794559,0.20491967288763713,0.47107438016528924,0.52273278593023,0.23279253828704882,0.09917593075590668,-0.4496589657502832,0.0445953464510227,0.19156690665073484,0.4743049705139006,0.22815025849580084,0.2706655882298677,0.1365630139329001,-0.3873197399485171,0.05289355104307658,0.19542030218542508,0.470479704797048,0.24821309135342373,-1.0382873923095972,-0.9054284318918117,-0.22560108282613245,-0.20426563465635983,0.1967332322142382,0.46473029045643155,-0.19628945794834096,0.5539175361435338,1.445870396170071,-0.15677070907626933,0.2266701272399685,0.4092127662505211,0.39655172413793105,0.048145261460349476,2.194259783307162,3.2882494168353373,-0.12515672853253512,0.4115465396101272,0.18755597798445234,0.5082644628099173,0.392370828778829
v4 factor,0.10022015812527274,0.05145680456336841,-0.4055859656514431,0.02087015776817136,0.20824311354691913,0.478852698104035,0.18365069277775348,-0.006771058661310823,-0.003356012936922143,-0.4055859656514431,-0.001361151747760303,0.20102495279472218,0.4945240101095198,-0.006395286834463665,-0.1670023804310736,-0.0887928201115373,-0.3803941880703843,-0.03377627271280792,0.20225024712595818,0.48985239852398527,-0.13739808935050035,-1.0343651840881398,-0.9297131267869011,-0.26378561075521423,-0.24524494497662264,0.23709706083429521,0.44398340248962653,-0.23591813135365758,0.9856785031778135,2.897307996910529,-0.12463359783999262,0.3611019197055414,0.3663485797258984,0.46551724137931033,0.07353473566244895,1.056339869272465,1.519938236600714,-0.11852734843764257,0.18015424897326882,0.1705457251152953,0.5578512396694215,0.17242227503123075
v5 量价,0.8751936640018116,0.7766548569502257,-0.19405656051051756,0.15071497024354885,0.17220756552830446,0.4681575109382596,2.145295568191509,0.5798759581026032,0.546283779236901,-0.19405656051051756,0.10600995126139989,0.18281487580252898,0.5248525695029486,0.6073814216247178,0.5361649555936276,0.5099201470605321,-0.19405656051051756,0.09895334987358417,0.18455766055061476,0.525830258302583,0.5006376981784235,-0.26546168001010734,-0.31870499417684317,-0.1758101860870569,-0.05603158433310518,0.21107221325116227,0.46473029045643155,-0.05365260707200481,2.464140594567454,8.081059576429483,-0.04360919503143923,0.35240850312919303,0.14301477111579078,0.5517241379310345,0.07195270887031269,1.6790160808876708,2.1364532252319646,-0.1583569897843703,0.33832230156284315,0.20150033428147823,0.5661157024793388,0.32293487202050297
v5.1 量价 (逆波动),0.9533905184239619,0.8558953855811847,-0.18146642128040924,0.15531627261183356,0.16290939505941907,0.47107438016528924,2.24943952433776,0.7236949161972346,0.6915946753435395,-0.18146642128040924,0.1255012107111786,0.1734172893885228,0.527379949452401,0.7452425893216292,0.6506828215185432,0.6311031242194648,-0.18041901259541526,0.11386300251755754,0.17499002394412017,0.525830258302583,0.5901972035277401,-0.31401371567092473,-0.3817257045813469,-0.16785317273629674,-0.0640738706289774,0.2040479999164258,0.4730290456431535,-0.0613646625570482,2.5060226274800694,8.631884680967232,-0.04003533158857997,0.34558036543690696,0.1378999381918611,0.5344827586206896,0.07070462672684275,1.9543347972115928,2.4750389818278076,-0.14999739668617762,0.37124940397097883,0.1899620292800754,0.5619834710743802,0.3541766554992367
v7.10 TV-PR (标准化+CV),0.8993069638608719,0.8885193396417128,-0.19076846743203946,0.1695014727071773,0.18848010692531475,0.5196888672824501,2.5897962712340568,1.0267844685230885,1.1092164629624055,-0.19076846743203946,0.21160352468972565,0.20608368277530825,0.5240101095197978,1.469758853146086,1.1476513464038005,1.6360679827848497,-0.14760233588573402,0.24148745592690468,0.21041883206394763,0.5239852398523985,1.535719197589842,0.15167314452175593,0.2161236594669655,-0.14749483634886618,0.03187712378419816,0.21016986154477543,0.4979253112033195,0.030464683664310543,0.8799099008823315,2.1120899056400684,-0.14760233588573402,0.3117494036731536,0.3542969608144496,0.43103448275862066,0.06444789591090183,2.306601261127492,3.928617783805595,-0.12399523241968491,0.4871298751910822,0.2111894601813266,0.5495867768595041,0.4638940861635745
