zscore_window,coef,clip_name,clip_low,clip_high,Sharpe,Calmar,AnnRet,MaxDD
4,0.3,激进,0.1,2.0,0.9144357025812982,0.7713967730871324,0.13856995068658406,-0.17963511842553692
4,0.3,标准,0.3,1.5,0.9144357025812982,0.7713967730871324,0.13856995068658406,-0.17963511842553692
4,0.3,保守,0.5,1.2,0.9144357025812982,0.7713967730871324,0.13856995068658406,-0.17963511842553692
4,0.5,激进,0.1,2.0,0.9470628534928408,0.7854359681383746,0.14128078847430725,-0.1798756285750044
4,0.5,标准,0.3,1.5,0.9470628534928408,0.7854359681383746,0.14128078847430725,-0.1798756285750044
4,0.5,保守,0.5,1.2,0.9469724912620885,0.7853625849849484,0.14126758863345912,-0.17987562857500594
4,0.8,激进,0.1,2.0,0.9791541602385344,0.7912766139132864,0.14094894724020124,-0.1781285390745131
4,0.8,标准,0.3,1.5,0.9757933922666392,0.7886462796059945,0.14048040963276542,-0.17812853907451265
4,0.8,保守,0.5,1.2,0.9711880542615885,0.7863756471925918,0.14011193193799754,-0.17817430185968441
4,1.0,激进,0.1,2.0,0.9925452445390264,0.7871797819491194,0.1396816472694955,-0.17744567438410663
4,1.0,标准,0.3,1.5,0.985508825162,0.782134928149754,0.13881233683526206,-0.17747875953275916
4,1.0,保守,0.5,1.2,0.9886509166182379,0.789856129045308,0.14006439743338928,-0.177328999906203
4,1.5,激进,0.1,2.0,1.006299051876917,0.772239055743636,0.13541003722210276,-0.17534730497631745
4,1.5,标准,0.3,1.5,1.0209000175697218,0.7894635252938462,0.13812111992105391,-0.17495566988942757
4,1.5,保守,0.5,1.2,1.0143366215009744,0.8119229435507812,0.14039215465441734,-0.17291315114269412
8,0.3,激进,0.1,2.0,0.8852178117195104,0.7323965599766201,0.1349598395388536,-0.18427153664288354
8,0.3,标准,0.3,1.5,0.8852178117195104,0.7323965599766201,0.1349598395388536,-0.18427153664288354
8,0.3,保守,0.5,1.2,0.8852178117195104,0.7323965599766201,0.1349598395388536,-0.18427153664288354
8,0.5,激进,0.1,2.0,0.9066045766309061,0.7329647202478365,0.1358822853199444,-0.18538721109796208
8,0.5,标准,0.3,1.5,0.9066045766309061,0.7329647202478365,0.1358822853199444,-0.18538721109796208
8,0.5,保守,0.5,1.2,0.9053758700597937,0.7320173895634765,0.13570666232638295,-0.18538721109796152
8,0.8,激进,0.1,2.0,0.9278005864936496,0.7366636668724764,0.13469918758493193,-0.18285032049537697
8,0.8,标准,0.3,1.5,0.9211994237560703,0.7316960564271945,0.13379085842291594,-0.18285032049537697
8,0.8,保守,0.5,1.2,0.9246255586248042,0.7371642677929189,0.1347987714844181,-0.1828612391753709
8,1.0,激进,0.1,2.0,0.9257090284230066,0.7290667298659835,0.1319398027730443,-0.18097081840135176
8,1.0,标准,0.3,1.5,0.9286335856269102,0.7325640910531048,0.1325727230893221,-0.18097081840135087
8,1.0,保守,0.5,1.2,0.947052330846512,0.7537427697318323,0.13621813563562712,-0.1807223115176163
8,1.5,激进,0.1,2.0,0.9444442807190603,0.7341214439836227,0.12937573183394346,-0.17623205655443253
8,1.5,标准,0.3,1.5,0.9730586098617677,0.7624129973780613,0.13400359498321168,-0.17576247446469317
8,1.5,保守,0.5,1.2,0.9610989538916531,0.7534826646305941,0.13513087299643267,-0.17934171460027226
13,0.3,激进,0.1,2.0,0.8736860673648607,0.7056444190430338,0.13392285490596412,-0.18978801687057179
13,0.3,标准,0.3,1.5,0.8736860673648607,0.7056444190430338,0.13392285490596412,-0.18978801687057179
