ablation,oos_calmar,oos_ann,oos_dd,oos_sharpe,full_calmar,full_ann
v6.2_thr1.0,1.113279020786987,0.15586159017531265,-0.14000227010936817,0.8791012559075578,0.9862507424992649,0.16579313919567706
v6.1_IC12,0.7477888659512415,0.11501460321287782,-0.15380625260657088,0.7025560158136459,0.40930155752259334,0.11872580602987659
v6.1_baseline,0.590252116098686,0.10706093612506762,-0.18138170657090502,0.6081939617943174,0.8433380901080898,0.152966102000053
v6.2_clip_predefined,0.4730781486854836,0.10522226162192161,-0.22242046459828457,0.6272825662372657,0.6231118352993804,0.13859282390397798
v6.2_orth_IC36_legacy,0.4730781486854836,0.10522226162192161,-0.22242046459828457,0.6272825662372657,0.6231118352993804,0.13859282390397798
v6.2_thr0.3,0.21429154477199577,0.07499025071103804,-0.34994498168757415,0.36372521750109643,0.3488332962944714,0.12207246148378492
v6.2_softmax_s3,0.21103091944232272,0.07395525377495016,-0.3504474793096043,0.37698269304430154,0.3467082140213322,0.12150301965971066
v6.2_softmax_s1,0.21103091944232272,0.07395525377495016,-0.3504474793096043,0.37698269304430154,0.3467082140213322,0.12150301965971066
v6.2_softmax_s2,0.21103091944232272,0.07395525377495016,-0.3504474793096043,0.37698269304430154,0.3467082140213322,0.12150301965971066
v6.2_softmax_s10,0.21103091944232272,0.07395525377495016,-0.3504474793096043,0.37698269304430154,0.3467082140213322,0.12150301965971066
v6.2_softmax_s5,0.21103091944232272,0.07395525377495016,-0.3504474793096043,0.37698269304430154,0.3467082140213322,0.12150301965971066
v6.2_thr0.5,0.21103091944232272,0.07395525377495016,-0.3504474793096043,0.37698269304430154,0.3467082140213322,0.12150301965971066
v6.2_thr0.0,0.16610669283215906,0.05835132422867195,-0.3512882186368763,0.28489915416512407,0.32134941706385517,0.1128862642803603
