cost_bp,commission_bp,slippage_bp,name,period,desc,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio,N_Days,annualized_cost_pct,avg_weekly_turnover
5,2.5,2.5,5bp,Full Sample,乐观 (各半),1.0929814477408109,1.540026439580931,1.1431256896216082,-0.1896613445971691,264,0.2168067553372004,0.1983627039464753,0.1407811903516393,0.5199017199017198,1.1110188159669292,2036,2.448897048182449,0.9418834800701725
5,2.5,2.5,5bp,OOS 22-26,乐观 (各半),1.238385692974306,1.842214728036384,1.7012933717035215,-0.14946175705820175,136,0.25427829660628065,0.20533045403291528,0.13802858740431187,0.522107243650047,1.1370945800208763,1064,2.448897048182449,0.9418834800701725
10,5.0,5.0,10bp,Full Sample,默认 (各半),0.9424925276752933,1.3257890845393567,0.9094543575862221,-0.20541475251006314,375,0.18681534178277226,0.198214135706266,0.14090879458981287,0.515970515970516,1.1034377457671767,2036,4.897794096364898,0.9418834800701725
10,5.0,5.0,10bp,OOS 22-26,默认 (各半),1.064505672740185,1.5822566587584435,1.4165811374659478,-0.15423711659889294,136,0.21848939007112778,0.20524962493502347,0.1380871989772954,0.5183443085606774,1.1254785319583196,1064,4.897794096364898,0.9418834800701725
15,7.5,7.5,15bp,Full Sample,保守 (各半),0.795158793293126,1.1170638370664112,0.7132885513717224,-0.22087185204158344,449,0.15754536338153047,0.1981306937813781,0.14103523733725895,0.5110565110565111,1.100112939569695,2036,7.3466911445473455,0.9418834800701725
15,7.5,7.5,15bp,OOS 22-26,保守 (各半),0.8950485694546165,1.3295710642124652,1.155429236893647,-0.15898880650496083,151,0.18370031537465858,0.20524061111744296,0.13816509724019033,0.5117591721542804,1.1265185374765774,1064,7.3466911445473455,0.9418834800701725
20,10.0,10.0,20bp,Full Sample,最坏 (各半),0.6510438168079375,0.9133947083532119,0.5464369124544898,-0.23603803014940028,634,0.12897989241667807,0.19811246046243924,0.14120937119202276,0.5066339066339066,1.0945459058853413,2036,9.795588192729795,0.9418834800701725
20,10.0,10.0,20bp,OOS 22-26,最坏 (各半),0.7300596046962716,1.0839206152957028,0.9155054171143651,-0.16371692874218635,152,0.1498837351367981,0.20530342203929303,0.13827925497653581,0.5051740357478833,1.1274698396637832,1064,9.795588192729795,0.9418834800701725
