version,cost_bp,period,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A++_v7_10_pbear_only,5,Full Sample,1.0832038100214183,1.4587660926517443,0.7746434724620892,-0.25756298472440387,591,0.19951948486461224,0.18419385439630898,0.13677277383238723,0.5203931203931204,1.107650827049023
A++_v7_10_pbear_only,5,OOS 22-26,1.0228243045567498,1.502859173994876,0.8276616494018711,-0.2141744580688566,352,0.17726398522502174,0.1733083428261325,0.11795116155416044,0.5117591721542804,1.1469454515028643
A++_v7_10_pbear_only,10,Full Sample,1.0339773154539413,1.3919824312740139,0.7162522468113638,-0.26576278682429255,594,0.19035319318174904,0.18409803613358705,0.13674970955454374,0.5199017199017198,1.1015472789048977
A++_v7_10_pbear_only,10,OOS 22-26,0.9668475686142958,1.4204691770537843,0.7614585479168141,-0.21995514600975297,371,0.16748672608741733,0.17322971223629643,0.11790944062214992,0.510818438381938,1.1414345143551485
A++_v7_10_pbear_only,15,Full Sample,0.984886544738645,1.3257072797576184,0.6617894784581149,-0.27387909203973404,594,0.18125030148155763,0.1840316556762944,0.13671969992855132,0.518918918918919,1.0975967342611797
A++_v7_10_pbear_only,15,OOS 22-26,0.9110750801750088,1.3384985129939626,0.6990919899607838,-0.22569812098187347,497,0.15778374852762767,0.17318413373497046,0.11788115339380982,0.5098777046095955,1.1358970679388574
A++_v7_10_pbear_only,20,Full Sample,0.9359529093232813,1.2599829921098853,0.6108643907515763,-0.2819126787927223,598,0.17221041677586113,0.18399474488558812,0.13667677885674379,0.5169533169533169,1.0979604015218767
A++_v7_10_pbear_only,20,OOS 22-26,0.855535848935704,1.2571793161673812,0.6402430292439055,-0.2314035977626573,511,0.14815454040950193,0.17317163341992953,0.11784678486531558,0.5070555032925682,1.1388678115150694
