ablation,oos_calmar,oos_ann,oos_dd,oos_sharpe,full_calmar
v6.2_no_orth_IC12,0.6760943110515181,0.13072850834096816,-0.19335839128367804,0.6963408209325056,0.7637123761112626
v6.1_IC12,0.6760943110515181,0.13072850834096816,-0.19335839128367804,0.6963408209325056,0.7637123761112626
v6.2_wm12_IC12,0.6288195871176421,0.12986077612300417,-0.20651515758002192,0.7136208280844866,0.718351108289975
v6.2_wm24_IC12,0.4427143372278894,0.10407935534843227,-0.23509370850769828,0.54876686124125,0.49996381373331017
v6.2_wm36_IC12,0.4427143372278894,0.10407935534843227,-0.23509370850769828,0.54876686124125,0.49996381373331017
v6.2_wm18_eq,0.3994669618444681,0.0726211180973182,-0.18179505449462707,0.4125467130824438,0.6516329188631657
v6.2_wm12_eq,0.3285812288869293,0.05356093195408995,-0.1630066700265499,0.32707204428862346,0.6368184771081917
v6.2_wm36_eq,0.16245411021057607,0.028539317423101007,-0.1756761794829802,0.16906295481269815,0.658880376614111
v6.2_wm24_eq,0.16245411021057607,0.028539317423101007,-0.1756761794829802,0.16906295481269815,0.658880376614111
v6.2_wm18_IC12,0.07822771356151563,0.02736858637219064,-0.34985793558530776,0.14677949133010812,0.26165699950538823
v6.2_ir_full,0.06378088163213101,0.016324838326001956,-0.25595190766033504,0.09384971661517172,0.3009569648775625
HS300,0.06301271898641551,0.021973807496028508,-0.34872019251804853,0.11430353222240815,0.10270413051087414
