ablation,oos_calmar,oos_ann,oos_dd,oos_sharpe,full_calmar
v6.2_clip_legacy,0.9007152781283738,0.15353137948664752,-0.17045495198624305,0.9562346099081113,0.5745300858851826
v6.1_IC12,0.7477888659512415,0.11501460321287782,-0.15380625260657088,0.7025560158136459,0.40930155752259334
v6.2_no_orth_clip,0.60012902010606,0.09388968210249682,-0.1564491616917706,0.5530181118373708,0.8048926903311721
v6.1_eq,0.590252116098686,0.10706093612506762,-0.18138170657090502,0.6081939617943174,0.8433380901080898
v6.2_clip_predefined,0.4730781486854836,0.10522226162192161,-0.22242046459828457,0.6272825662372657,0.6231118352993804
