name,freq,desc,cost_bp,Sharpe,Calmar,AnnRet,MaxDD,turnover_x,n_pbear_rebal
F1_Week,W,每周 (原),20,0.1891157889713497,0.14992234606518665,0.03739352874716828,-0.24941931425559116,43.9376552169863,429
F2_BiWeek,2W,双周,20,0.15730302850934938,0.13088811021715463,0.03276553477414601,-0.2503324000918431,42.67157882724128,215
F3_Month,M,月频,20,0.15431323287326495,0.1292070082359761,0.032333071225417065,-0.25024239526052516,42.573173676777266,100
F4_Quarter,Q,季频,20,0.1499940928352617,0.12161640961605706,0.03170077184553821,-0.2606619612075174,42.32920388758337,41
