Strategy,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
v1.0 locked,-0.00844493727782325,0.0016881760152560599,-0.0002146596902409259,-0.003845676164924261,-0.0004906416159072835,0.00048487112475092964,-0.0010262038019855924,0.0030487752987300443,-0.0028032298772328046,-0.00034443567327813174,0.00507465580729205,-0.003356709579572459,0.0035782805161506115,-0.0034895950313953428,0.004135937724152772,0.0031909897425450584,-0.0007622078047860859,0.002553336067022016,0.0034888410549225313,0.0006419677777877997,-0.0027833683964405553,0.0008579660950978063,0.0030054160268557784,0.003134309610402175,0.004260920670687618,0.004675340314613141,0.006190779774057464,0.0013021060939015783,0.0054782217219842,0.0028902358586129218,0.0008537259749492598,-0.0010236403782071246,0.00992346146169587,0.009658349710234937,-0.005502851412973575,0.008477846096067276,0.0011635581061946176,0.002996177899879049,-0.0019176850071037643,0.0039723909883111475,0.001296634775005856,0.003729232524448678,-0.015262367205661653,0.009134333135811357,0.015354631134554486,0.005136104741275016,-0.0012156653751000945,0.011602397916625318,0.04173203532657177,0.0006529601516209738,-0.008981505031868675,0.003682184880896333,-0.0010540185423126847
v7.10 TV-PR (标准化+CV),-0.06257631472706393,-0.016580669615507637,0.01623280238917446,-0.07826836542706117,0.05394308453248442,0.1071126062925023,0.001191014985349348,-0.03395215632623638,-0.037915866534549925,-0.03128355968160368,0.05483332938201557,0.015081455150355971,0.026268858047495458,-0.049895504908890054,0.010554809408536148,-0.008893696327306522,0.008924047143988423,0.046080606929901125,0.044604963558036115,-0.04998839861306714,-0.018594878811072024,-0.04604743123535593,0.0014231567558578018,0.0018368616048130004,0.0027439017089831985,0.1495048905022347,0.003571302800907672,0.02297208120876415,-0.027594131983927017,0.029280146954362873,-0.021388535715762158,-0.04753576172334406,0.1553779126369732,-0.0679131204862452,0.026332740274685795,-0.018472121533929853,-0.009559985077775113,0.10047510747701982,0.031921806582105194,-0.005226298625746861,0.020740575440201914,0.01989063195480667,0.08600601609803471,0.10950498602006653,0.04739155014568808,-0.05729675183444993,-0.03570470859513786,0.036509069825828355,0.10378805675443403,-0.008210624458154236,-0.038681303965887315,0.06126520605540442,0.07978423111947475
v8 per-asset 5bp,-0.04061200655161634,0.015009317618638995,-0.011439577276377566,-0.016399420308337742,0.02405857007367107,0.09338183014379542,-0.04227804916377409,-0.018404693302508934,-0.033735745290692676,-0.011425355572210472,0.04385590670352002,0.0034460226101749036,0.05298594657740274,-0.03651801008887712,0.029240112365996218,0.004628796999391671,0.014581629240385974,0.04565302061784782,-0.0004221461489087863,-0.02135400512665475,-0.016200527553235644,-0.014320921840233702,-0.014069472241499237,0.013647875310008661,-0.10843290315318388,0.1247504844060614,-0.02539359271690178,0.002949788370933959,0.007774966195464694,0.014277307438538278,-0.0048233867054283674,-0.01820973732700437,0.04862329225224893,0.002183255691903918,0.02030826240145389,-0.002589412761018317,0.001797692797677497,0.04245578597700517,-0.010375920568964747,-2.5951909612631496e-05,0.016161360643191625,0.056365193741743314,0.030552010258114493,0.13599762491912437,0.03493133561473827,0.03986385982118401,-0.005215052448113822,0.007750816213375034,0.0951142957127018,-0.0053772528033290135,-0.050526061877912753,0.08098982042451341,0.06971737970125669
⭐ v8+v9 macro 5bp (NEW),-0.040883190276078896,0.01904949242658316,-0.008952066195634267,-0.013250994821598083,0.029552599973956317,0.05535275448871313,-0.027103794454730656,-0.007705974254553438,-0.007823068105509035,-0.003170708780054654,0.03578323459406696,0.0033622190663122886,0.046278431551301846,-0.022125244164773683,0.03454623194917383,-0.009195551321958817,0.030489972207066174,0.044468355000093274,-0.006797922228103714,-0.021299798647557933,-0.008330153866042411,-0.011564561177703103,-0.01605441762327109,0.01531255964960665,-0.11220743495558749,0.13873798301875584,-0.006453173412847679,0.0024779515203978697,0.003154941066207506,0.012515821744130351,0.0017550783404380876,-0.021494877565469972,0.0538332339109997,-0.0007599100014359372,0.012722389430688041,-0.004320324673857789,-0.0038723442434348554,0.055994141374969164,-0.014038646252686027,0.0029617021500629725,0.013081343029978543,0.06515494132673494,0.02195848791420585,0.087804940885849,0.0322105836471136,0.030475018611214155,0.00822348479992474,0.009379961260687075,0.04476662533305875,0.005451629925373069,-0.025388331543970688,0.07997489575221373,0.047958940646409154
