name,lookback,threshold,desc,cost_bp,Sharpe,Calmar,AnnRet,MaxDD,turnover_x,n_ww_rebal,n_rebound
Base,999,999.0,"基线 (无反弹检测, C2_WW_M)",20,0.6922669872795314,0.6490544084593822,0.1323102444418589,-0.20385077540096375,0.0,0,0
Y1,10,0.1,10d/0.10 (标准),20,0.6922669872795314,0.6490544084593822,0.1323102444418589,-0.20385077540096375,76.04929982878356,100,39
Y2,15,0.15,15d/0.15 (略宽松),20,0.6922669872795314,0.6490544084593822,0.1323102444418589,-0.20385077540096375,76.04929982878356,100,16
Y3,5,0.05,5d/0.05 (灵敏),20,0.6922669872795314,0.6490544084593822,0.1323102444418589,-0.20385077540096375,76.04929982878356,100,38
Y4,20,0.2,20d/0.20 (宽松),20,0.6922669872795314,0.6490544084593822,0.1323102444418589,-0.20385077540096375,76.04929982878356,100,14
