version,coef,cost_bp,period,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
D_3_source_avg,0.3,5,Full Sample,1.1055023687984193,1.4746198443540444,0.8583789528324731,-0.2094270946671839,427,0.17976781021516453,0.1626118724743718,0.12190790114716761,0.5199017199017198,1.1129898294419667
D_3_source_avg,0.3,5,OOS 22-26,1.0775475214351309,1.57388209880753,0.9680426918904342,-0.16408608721708007,330,0.15884233757139077,0.14741098133643027,0.10092391144911014,0.510818438381938,1.160763565068336
D_3_source_avg,0.3,10,Full Sample,1.0469482880836636,1.3958692624729632,0.7801529637117021,-0.21812510354766368,448,0.17017094599263172,0.16253997253686042,0.12191037553986385,0.5194103194103195,1.1051645227001625
D_3_source_avg,0.3,10,OOS 22-26,1.008769659288888,1.4736207067003753,0.8739791288486851,-0.17006729266532838,341,0.14863526428929807,0.1473431153689491,0.10086399004402659,0.5098777046095955,1.152727321164604
D_3_source_avg,0.3,15,Full Sample,0.9886189653908938,1.3180647648613988,0.7085257557975219,-0.22673360524497854,588,0.1606465990208954,0.16249597129403312,0.12188065662903007,0.5174447174447174,1.1038768481919354
D_3_source_avg,0.3,15,OOS 22-26,0.9403120602725944,1.3740865509164588,0.7869620348062033,-0.1760094436986822,347,0.13851274995822282,0.14730508711976775,0.10080351187910293,0.5070555032925682,1.1533379673276756
D_3_source_avg,0.3,20,Full Sample,0.9305413766258354,1.2404732826610039,0.6426866698278941,-0.23525345853012825,594,0.1511942618282227,0.1624798914116604,0.121884335552869,0.515970515970516,1.1003721546320284
D_3_source_avg,0.3,20,OOS 22-26,0.8722119727170629,1.2747879168183467,0.7062403348345591,-0.1819127718551934,348,0.12847413690569454,0.1472969196988658,0.10078079279755339,0.5061147695202258,1.1452505556520198
D_3_source_avg,0.5,5,Full Sample,1.0797323504155465,1.4351529622491792,0.8450490621201958,-0.19708014803369256,427,0.16654239425838124,0.15424414596291908,0.11604504790721062,0.5199017199017198,1.110183471243469
D_3_source_avg,0.5,5,OOS 22-26,1.0810312708248704,1.5857133061057174,0.9768768708914743,-0.15186246291851357,330,0.1483509275817101,0.13723093085782093,0.09355469681088728,0.510818438381938,1.1634927995707771
D_3_source_avg,0.5,10,Full Sample,1.018896966239258,1.3535572852118285,0.7650021418264689,-0.20534866448880607,445,0.1570921681551416,0.15417865923673105,0.11605875116734128,0.518918918918919,1.103991966551471
D_3_source_avg,0.5,10,OOS 22-26,1.0090220002639265,1.4801389162462366,0.8800091359388496,-0.1572604878081989,330,0.1383906659934151,0.13715326916282966,0.09349843077188058,0.5089369708372531,1.1589683504330643
D_3_source_avg,0.5,15,Full Sample,0.9583027310847247,1.2729964847983026,0.6917077782895924,-0.21354879476246746,588,0.14771336238156652,0.1541406046233077,0.11603595465149354,0.5164619164619164,1.1043080557494804
D_3_source_avg,0.5,15,OOS 22-26,0.9373268817021646,1.3751316682345567,0.7901662064308071,-0.1626391458373483,346,0.1285119568834443,0.13710473837053458,0.09345429230673784,0.5070555032925682,1.1543850028585156
D_3_source_avg,0.5,20,Full Sample,0.897978799033249,1.1926513039333317,0.6216558861014846,-0.22264001287824908,594,0.13840547448747387,0.15413000244157124,0.11604856677808204,0.5144963144963145,1.1024025726919342
D_3_source_avg,0.5,20,OOS 22-26,0.8659871668959358,1.270587876155429,0.7023525011836397,-0.1690236319889179,347,0.11871417068655954,0.13708536941959698,0.09343247556065727,0.504233301975541,1.154124730086225
D_3_source_avg,0.8,5,Full Sample,1.1025960889516009,1.4743292238439494,0.8678699028958845,-0.187394734757389,425,0.16263425025709521,0.14750120364723526,0.11031067391655343,0.5199017199017198,1.1157669977774871
D_3_source_avg,0.8,5,OOS 22-26,1.0998438177815455,1.6377282737532561,0.9976589018552243,-0.14288192829044044,329,0.14254742767319772,0.12960697270702026,0.08703973055708156,0.510818438381938,1.1690336548404843
D_3_source_avg,0.8,10,Full Sample,1.0396902382732298,1.389711774099613,0.7825073616497855,-0.19589709021384816,427,0.15329091521810834,0.14743902517802,0.11030410627226982,0.5174447174447174,1.1156785493606909
D_3_source_avg,0.8,10,OOS 22-26,1.0255044438338343,1.5267866135882766,0.8952313858382651,-0.14837125198657142,330,0.13282660153449677,0.12952318474401373,0.0869974889433473,0.5079962370649106,1.1682418785718378
D_3_source_avg,0.8,15,Full Sample,0.9770268720836696,1.3053862401419563,0.7030135256588097,-0.2048577762234085,448,0.1440177875214419,0.14740412125441382,0.110325804802248,0.515970515970516,1.111091451687409
D_3_source_avg,0.8,15,OOS 22-26,0.9514604659407668,1.4162724658110453,0.7977998302388044,-0.15440459630494596,341,0.12318396072017701,0.1294682912530449,0.08697758637116075,0.5070555032925682,1.158595871409563
D_3_source_avg,0.8,20,Full Sample,0.9146374881648143,1.2219049831539743,0.6307859021950344,-0.21372445761248793,592,0.1348143748162376,0.14739651125249367,0.11033130781434043,0.513022113022113,1.11308324053823
D_3_source_avg,0.8,20,OOS 22-26,0.8777570078939464,1.306321863314958,0.7083534210480045,-0.16039862026074259,347,0.11361891139307678,0.1294423289945463,0.08697619980481253,0.5032925682031985,1.1620680717291298
