profile,clip_low,clip_high,cost_bp,desc,Sharpe,Calmar,AnnRet,MaxDD,rs_mean,rs_min,rs_max
R1_极保守,0.5,1.0,5,clip_low=0.5 激进时只允许小幅减仓,0.8412184614617784,0.7211414811986003,0.12413764702897678,-0.1721404887466037,0.960840399634677,0.7475814656427062,1.0
R1_极保守,0.5,1.0,10,clip_low=0.5 激进时只允许小幅减仓,0.7802926867652216,0.6498143145766421,0.11515453376508367,-0.17721144514969256,0.960840399634677,0.7475814656427062,1.0
R1_极保守,0.5,1.0,15,clip_low=0.5 激进时只允许小幅减仓,0.7196761832853383,0.5829091614024562,0.10623792149819855,-0.18225467797176897,0.960840399634677,0.7475814656427062,1.0
R1_极保守,0.5,1.0,20,clip_low=0.5 激进时只允许小幅减仓,0.6594034559259354,0.5200362520003451,0.09738735597669312,-0.18727032125565835,0.960840399634677,0.7475814656427062,1.0
R2_标准,0.3,1.5,5,"v9 默认 [0.3, 1.5]",0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168,1.000150214876495,0.7475814656427062,1.2795851709717962
R2_标准,0.3,1.5,10,"v9 默认 [0.3, 1.5]",0.7732790618517033,0.6392704441532048,0.1180215731226506,-0.18461916111104626,1.000150214876495,0.7475814656427062,1.2795851709717962
R2_标准,0.3,1.5,15,"v9 默认 [0.3, 1.5]",0.7081550928721827,0.570813794570489,0.1081107311757139,-0.18939754470555892,1.000150214876495,0.7475814656427062,1.2795851709717962
R2_标准,0.3,1.5,20,"v9 默认 [0.3, 1.5]",0.6434691764378655,0.5062145584536141,0.0982820380216467,-0.19415095117350833,1.000150214876495,0.7475814656427062,1.2795851709717962
R3_温和,0.4,1.3,5,"温和动态 [0.4, 1.3]",0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168,1.000150214876495,0.7475814656427062,1.2795851709717962
R3_温和,0.4,1.3,10,"温和动态 [0.4, 1.3]",0.7732790618517033,0.6392704441532048,0.1180215731226506,-0.18461916111104626,1.000150214876495,0.7475814656427062,1.2795851709717962
R3_温和,0.4,1.3,15,"温和动态 [0.4, 1.3]",0.7081550928721827,0.570813794570489,0.1081107311757139,-0.18939754470555892,1.000150214876495,0.7475814656427062,1.2795851709717962
R3_温和,0.4,1.3,20,"温和动态 [0.4, 1.3]",0.6434691764378655,0.5062145584536141,0.0982820380216467,-0.19415095117350833,1.000150214876495,0.7475814656427062,1.2795851709717962
R4_激进,0.1,2.0,5,"极宽 [0.1, 2.0]",0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168,1.000150214876495,0.7475814656427062,1.2795851709717962
R4_激进,0.1,2.0,10,"极宽 [0.1, 2.0]",0.7732790618517033,0.6392704441532048,0.1180215731226506,-0.18461916111104626,1.000150214876495,0.7475814656427062,1.2795851709717962
R4_激进,0.1,2.0,15,"极宽 [0.1, 2.0]",0.7081550928721827,0.570813794570489,0.1081107311757139,-0.18939754470555892,1.000150214876495,0.7475814656427062,1.2795851709717962
R4_激进,0.1,2.0,20,"极宽 [0.1, 2.0]",0.6434691764378655,0.5062145584536141,0.0982820380216467,-0.19415095117350833,1.000150214876495,0.7475814656427062,1.2795851709717962
R5_保守防御,0.6,1.2,5,"窄幅 [0.6, 1.2]",0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168,0.9988762126437803,0.7475814656427062,1.2
R5_保守防御,0.6,1.2,10,"窄幅 [0.6, 1.2]",0.7732790618517033,0.6392704441532048,0.1180215731226506,-0.18461916111104626,0.9988762126437803,0.7475814656427062,1.2
R5_保守防御,0.6,1.2,15,"窄幅 [0.6, 1.2]",0.7081550928721827,0.570813794570489,0.1081107311757139,-0.18939754470555892,0.9988762126437803,0.7475814656427062,1.2
R5_保守防御,0.6,1.2,20,"窄幅 [0.6, 1.2]",0.6434691764378655,0.5062145584536141,0.0982820380216467,-0.19415095117350833,0.9988762126437803,0.7475814656427062,1.2
