version,zwin,coef,cost_bp,clip_type,period,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A+_v7_10_v9_dynamic_clip,4,0.8,5,dynamic,Full Sample,1.1928539019684077,1.5949761995084075,1.0901748654905228,-0.1812672664860543,418,0.197613017859269,0.16566405788099833,0.12389715778842085,0.518918918918919,1.1387243533095446
A+_v7_10_v9_dynamic_clip,4,0.8,5,dynamic,OOS 22-26,1.2371960079411173,1.8380538695727988,1.2912001664830426,-0.15320961601308636,303,0.19782428170290012,0.15989728420811014,0.10762703149112736,0.510818438381938,1.1951886611990128
A+_v7_10_v9_dynamic_clip,4,0.8,10,dynamic,Full Sample,1.123165192561128,1.5021102061258287,0.9730662560552604,-0.19114764255121908,424,0.18599932089110394,0.16560281793186088,0.12382534925371724,0.5169533169533169,1.1353167293442055
A+_v7_10_v9_dynamic_clip,4,0.8,10,dynamic,OOS 22-26,1.1584158884823454,1.7222047305199306,1.1564118107301544,-0.16011193352906783,329,0.18515533097185544,0.15983493735952609,0.10751063894474228,0.5079962370649106,1.194093772461382
A+_v7_10_v9_dynamic_clip,4,0.8,15,dynamic,Full Sample,1.0538899477668744,1.4099240280603673,0.8684910867309193,-0.20091436334163304,427,0.17449233375842566,0.16556978660643248,0.12376009649149308,0.514987714987715,1.1318409738170758
A+_v7_10_v9_dynamic_clip,4,0.8,15,dynamic,OOS 22-26,1.0801492908852026,1.607077034666501,1.0338516477394095,-0.16696178356453695,330,0.17261371504770717,0.159805423661619,0.1074084884073574,0.5051740357478833,1.1929126340153524
A+_v7_10_v9_dynamic_clip,4,0.8,20,dynamic,Full Sample,0.9850581188931357,1.31805521602237,0.7745270256577299,-0.21056867368992016,448,0.16309112852974694,0.16556498078814366,0.12373618839878629,0.5135135135135135,1.1261117770304343
A+_v7_10_v9_dynamic_clip,4,0.8,20,dynamic,OOS 22-26,1.0024370241180784,1.492038676098654,0.921953532232374,-0.17375953723295268,346,0.16019821911098342,0.15980876130540192,0.10736867728513967,0.504233301975541,1.1827729036653338
A+_v7_10_v9_dynamic_clip,4,1.0,5,dynamic,Full Sample,1.1883045297201689,1.5812374529769566,1.069010206944168,-0.1806725454276279,407,0.19314079517671812,0.16253476305623477,0.12214534560454328,0.518918918918919,1.1394251071900736
A+_v7_10_v9_dynamic_clip,4,1.0,5,dynamic,OOS 22-26,1.258516693674567,1.871100192900774,1.3444670630323126,-0.1463243110485356,303,0.19672821672565122,0.1563175265885842,0.10514039679546111,0.510818438381938,1.2007543734392763
A+_v7_10_v9_dynamic_clip,4,1.0,10,dynamic,Full Sample,1.1167762489394002,1.486491806485215,1.0031348941995861,-0.180878800109177,423,0.18144583601046738,0.16247286435647793,0.12206312555431638,0.5169533169533169,1.1355562653533458
A+_v7_10_v9_dynamic_clip,4,1.0,10,dynamic,OOS 22-26,1.176885543042331,1.7513617414397136,1.2002609304316787,-0.15321025785233178,329,0.18389228664151713,0.15625333128499716,0.1049996024752418,0.5079962370649106,1.1989957605045036
A+_v7_10_v9_dynamic_clip,4,1.0,15,dynamic,Full Sample,1.0456822648505633,1.392631194330323,0.8937005627039898,-0.19006334708982475,424,0.1698597202435801,0.16243913275879693,0.12197035434443276,0.5144963144963145,1.133863586122895
A+_v7_10_v9_dynamic_clip,4,1.0,15,dynamic,OOS 22-26,1.0957941413997698,1.6322774643476787,1.0696251567485697,-0.16004433556254105,330,0.17118744751280368,0.1562222693526436,0.10487643875008519,0.5051740357478833,1.1971540609103528
A+_v7_10_v9_dynamic_clip,4,1.0,20,dynamic,Full Sample,0.9750538120031866,1.2990539934057588,0.7929972097757456,-0.19972515046706962,427,0.15838148704242716,0.16243358581106654,0.12192063443582887,0.5125307125307126,1.1299010660445274
A+_v7_10_v9_dynamic_clip,4,1.0,20,dynamic,OOS 22-26,1.015286126622291,1.513319155867897,0.9507604473091713,-0.16682690825116298,346,0.1586124259120818,0.15622436055514935,0.10481095497738327,0.5032925682031985,1.1908140346242753
A+_v7_10_v9_dynamic_clip,4,1.5,5,dynamic,Full Sample,1.1779353952770801,1.5577098568593628,1.0337562259522897,-0.18067254542762734,406,0.18677136869445765,0.15855824474187255,0.11990125623973645,0.5184275184275184,1.1422230252845162
A+_v7_10_v9_dynamic_clip,4,1.5,5,dynamic,OOS 22-26,1.3049004876703652,1.9510993690748557,1.484256158969304,-0.13327555465923746,300,0.1978150628430233,0.15159398338196803,0.1013864624110972,0.5098777046095955,1.2163880241973888
A+_v7_10_v9_dynamic_clip,4,1.5,10,dynamic,Full Sample,1.1050392189422136,1.4621602511244254,0.9682559815877599,-0.1808788001091769,407,0.17513698014812729,0.15848937951340333,0.11977960692984511,0.515970515970516,1.1401444069060376
A+_v7_10_v9_dynamic_clip,4,1.5,10,dynamic,OOS 22-26,1.2204867614482824,1.8272704936788102,1.3208685660349737,-0.1400079010826304,303,0.18493203553658044,0.1515231802409164,0.10120671032358224,0.5070555032925682,1.2139142064127515
A+_v7_10_v9_dynamic_clip,4,1.5,15,dynamic,Full Sample,1.0325828219758049,1.367047620056325,0.9035040240300292,-0.18108505479072623,424,0.16361107569511946,0.15844838032658376,0.11968206029895166,0.514004914004914,1.1357286336579722
A+_v7_10_v9_dynamic_clip,4,1.5,15,dynamic,OOS 22-26,1.1366151876497819,1.7037797636824732,1.1737638353015536,-0.1466914355881328,329,0.17218110204181758,0.15148583611472088,0.10105830912656989,0.5051740357478833,1.2067970031685846
A+_v7_10_v9_dynamic_clip,4,1.5,20,dynamic,Full Sample,0.9605985796420421,1.2717632786621367,0.8333419665744096,-0.18262934100642647,425,0.1521926941884839,0.15843526881457295,0.1196706153904576,0.5135135135135135,1.1246144168141208
A+_v7_10_v9_dynamic_clip,4,1.5,20,dynamic,OOS 22-26,1.0533330568645962,1.5801665645120082,1.0406614995796952,-0.153326487661814,330,0.159560972575431,0.15148197574885588,0.10097731223967968,0.504233301975541,1.1952305025204841
A+_v7_10_v9_dynamic_clip,8,0.8,5,dynamic,Full Sample,1.1627189628325763,1.5475513331684643,1.0359428568368685,-0.183120706453337,424,0.18970258778925553,0.16315429080739213,0.1225824201907781,0.5194103194103195,1.131412405178181
A+_v7_10_v9_dynamic_clip,8,0.8,5,dynamic,OOS 22-26,1.2014118017317479,1.7838416439455496,1.2364307536503714,-0.15403318360108598,329,0.19045136528705675,0.15852296857125503,0.10676472652909438,0.510818438381938,1.1883020975249496
A+_v7_10_v9_dynamic_clip,8,0.8,10,dynamic,Full Sample,1.0976974741858587,1.4607225547964218,0.9325150204913963,-0.1919983919011703,425,0.17904138435803496,0.16310630986085356,0.12257042500653906,0.5184275184275184,1.12431831641663
A+_v7_10_v9_dynamic_clip,8,0.8,10,dynamic,OOS 22-26,1.127984554911567,1.6752572767708518,1.1167468127114093,-0.16008416519558888,330,0.17877348124774062,0.1584892988732069,0.10671404549415603,0.5098777046095955,1.179261267557779
