method,marginal,pa_std,worst10,min,extreme,width_bps
Normal-Vol,0.9552005012531328,0.007713947997978744,0.9365079365079364,0.9325396825396826,0.840080971659919,597.245951985255
PerAsset-CP,0.9509189640768588,0.02802064953198612,0.8941798941798941,0.8888888888888888,0.7884615384615384,649.6942136345148
Vol-CP,0.9580200501253133,0.011095456081907437,0.9351851851851851,0.9246031746031746,0.847165991902834,606.8743982903845
Global-CP,0.9638680033416875,0.029274057943839808,0.9034391534391534,0.8849206349206349,0.8390688259109311,724.2979364447743
CA-GCP,0.9985380116959064,0.002677298445714572,0.9920634920634921,0.9920634920634921,0.9979757085020243,862.1541566113589
