k,eta,tau,marginal,pa_std,worst10,extreme,width_bps,score,runtime_s
4,0.7,30,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5889682769775391
4,0.7,90,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5995817184448242
2,0.7,20,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5858588218688965
2,0.7,60,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5797951221466064
2,0.7,90,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.6170511245727539
2,0.7,120,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.6594302654266357
2,0.7,180,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.6159932613372803
4,0.7,45,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5835387706756592
2,0.7,45,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5805244445800781
4,0.7,180,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5973904132843018
4,0.7,120,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.6088166236877441
2,0.7,30,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5828366279602051
4,0.7,60,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5864882469177246
4,0.7,20,0.996520226185298,0.005394303537228424,0.9820936639118457,1.0,918.2978443637394,9.054730637950119,0.5984277725219727
4,0.5,90,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5941903591156006
2,0.5,180,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5842106342315674
2,0.5,120,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5942177772521973
2,0.5,90,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5713388919830322
2,0.5,60,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5782842636108398
2,0.5,45,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5779576301574707
2,0.5,30,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5748443603515625
2,0.5,20,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5790469646453857
4,0.5,180,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5994744300842285
4,0.5,120,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5921852588653564
4,0.5,60,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5794687271118164
4,0.5,20,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5895950794219971
4,0.5,45,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.5899219512939453
