,0
2022-04-12,1.0
2022-04-13,1.0003557160232142
2022-04-14,1.0066648518390766
2022-04-15,1.0016745191716963
2022-04-18,0.9989812740802021
2022-04-19,0.9995292211174137
2022-04-20,0.9967627011495468
2022-04-21,0.9984728150422579
2022-04-22,0.9957233784719508
2022-04-25,0.9845144828632182
2022-04-26,0.9848802095504374
2022-04-27,0.9857924233191805
2022-04-28,0.9873324064545671
2022-04-29,0.9917060200292738
2022-05-05,0.9914398447248398
2022-05-06,0.9828791384621776
2022-05-09,0.9793298049933798
2022-05-10,0.9803299602278404
2022-05-11,0.9844728479036501
2022-05-12,0.9810909490034088
2022-05-13,0.9852791497475829
2022-05-16,0.984630346029196
2022-05-17,0.9910604933239486
2022-05-18,0.9904770151867451
2022-05-19,0.9882855434224957
2022-05-20,0.9924065874145368
2022-05-23,0.9919902424870932
2022-05-24,0.9824401464551746
2022-05-25,0.9847090079769426
2022-05-26,0.9856797947226246
2022-05-27,0.989779096223186
2022-05-30,0.9955268412443011
2022-05-31,1.0013704458701604
2022-06-01,1.0004551061855569
2022-06-02,1.0065104372778868
2022-06-06,1.0125469361045039
2022-06-07,1.0123788283229755
2022-06-08,1.0178272483041668
2022-06-09,1.01497123345764
2022-06-10,1.0185265907298957
2022-06-13,1.0185629392033833
2022-06-14,1.012922953533334
2022-06-15,1.0127664455640275
2022-06-16,1.0139875931093931
2022-06-17,1.0188448559345429
2022-06-20,1.0170823961131967
2022-06-21,1.0155874981527893
2022-06-22,1.011859431866849
2022-06-23,1.0179503226426685
2022-06-24,1.0197503298139983
2022-06-27,1.0236542602585639
2022-06-28,1.0242924723373559
2022-06-29,1.0190128409793044
2022-06-30,1.023320482567535
2022-07-01,1.0202579440362247
2022-07-04,1.0259844352994658
2022-07-05,1.025478949793626
2022-07-06,1.0176597800216498
2022-07-07,1.0156062725239992
2022-07-08,1.0145408663004192
2022-07-11,1.0107797488318562
2022-07-12,1.0068826865646423
2022-07-13,1.0063706601880225
2022-07-14,1.0076773261398326
2022-07-15,1.0031518684261636
2022-07-18,1.0067042419368555
2022-07-19,1.0039140365105481
2022-07-20,1.0081358036672114
2022-07-21,1.005632152880336
2022-07-22,1.008375092308242
2022-07-25,1.0068812315474949
2022-07-26,1.0084733603308365
2022-07-27,1.0078960429626909
2022-07-28,1.01156131864159
2022-07-29,1.0146220994942219
2022-08-01,1.0160415408604333
2022-08-02,1.0154617211105001
2022-08-03,1.0138324244000791
2022-08-04,1.0161303098030612
2022-08-05,1.0212437067097024
2022-08-08,1.0195190017050086
2022-08-09,1.0198196520243532
2022-08-10,1.0180011336709405
2022-08-11,1.0225570289369141
2022-08-12,1.0231485487314191
2022-08-15,1.0256481350118978
2022-08-16,1.0261716861538317
2022-08-17,1.025712424935268
2022-08-18,1.0241474512108997
2022-08-19,1.0217574563936491
2022-08-22,1.0206918567522874
2022-08-23,1.019682930513075
2022-08-24,1.0176391781464103
2022-08-25,1.021375965508045
2022-08-26,1.0205544978288916
2022-08-29,1.0162772071669757
2022-08-30,1.0165062825452646
2022-08-31,1.012630712671135
2022-09-01,1.0084933934488407
2022-09-02,1.0090589618443606
2022-09-05,1.0123792456938594
2022-09-06,1.0155183705840385
2022-09-07,1.0126550447791633
2022-09-08,1.0145365723799387
2022-09-09,1.017261230259597
2022-09-13,1.0189785568508654
2022-09-14,1.0141007562155862
2022-09-15,1.012642269691204
2022-09-16,1.00807326871427
2022-09-19,1.0075201776492682
2022-09-20,1.0094417174239387
2022-09-21,1.008810856852003
2022-09-22,1.0075004193092658
2022-09-23,1.006108095008108
2022-09-26,1.0024398828369712
2022-09-27,1.005518453780373
2022-09-28,1.002838911176812
2022-09-29,1.0033165930276908
2022-09-30,1.0022894154644406
2022-10-10,1.0017915919534917
2022-10-11,1.0015067537103763
2022-10-12,1.0028942499295963
2022-10-13,1.0013507043602274
2022-10-14,1.0044981148371495
2022-10-17,1.0028831838178136
2022-10-18,1.0042104201156317
2022-10-19,1.0013802422683429
2022-10-20,1.0005036502975846
2022-10-21,0.9996292743727831
2022-10-24,0.9980815372253633
2022-10-25,0.9977681960414517
2022-10-26,1.0012487063083166
2022-10-27,0.9998673127991033
2022-10-28,0.9944064863830998
2022-10-31,0.9975058527815973
2022-11-01,1.0016818341917577
2022-11-02,1.0027142437652954
2022-11-03,1.0007053293476573
2022-11-04,1.0035416385242157
2022-11-07,1.0046146852485258
2022-11-08,1.0049331784631685
2022-11-09,1.0083946353342683
2022-11-10,1.0055850681264693
2022-11-11,1.0110878486842807
2022-11-14,1.0083619926896594
2022-11-15,1.0151518134124293
2022-11-16,1.0151209913281756
2022-11-17,1.0153935784631758
2022-11-18,1.0137412294962684
2022-11-21,1.011390028031518
2022-11-22,1.008771070069646
2022-11-23,1.010232578499163
2022-11-24,1.012281627791684
2022-11-25,1.0128067362648572
2022-11-28,1.0087102010971467
2022-11-29,1.017164695296909
2022-11-30,1.0184739296434948
2022-12-01,1.0250219658395652
2022-12-02,1.024871223485972
2022-12-05,1.0317980815272518
2022-12-06,1.0278349383603447
2022-12-07,1.0251310789140544
2022-12-08,1.0275251829547296
2022-12-09,1.0325005734428836
2022-12-12,1.0277206598644046
2022-12-13,1.0290415943227802
2022-12-14,1.0334858148910526
2022-12-15,1.0281774824475938
2022-12-16,1.0272858488983518
2022-12-19,1.0246250445217446
2022-12-20,1.0173552753804944
2022-12-21,1.0201007039884527
2022-12-22,1.0261667325526667
2022-12-23,1.022618080875503
2022-12-26,1.0254997526499199
2022-12-27,1.029591985356438
2022-12-28,1.0277933774683448
2022-12-29,1.0257442822423601
2022-12-30,1.0279406278562313
2023-01-03,1.0286497825938428
2023-01-04,1.0301910805973697
2023-01-05,1.0339619589755986
2023-01-06,1.0310323808660786
2023-01-09,1.034747060727848
2023-01-10,1.0348070097737927
2023-01-11,1.034456314635804
2023-01-12,1.0344515937499847
2023-01-13,1.0386507190439596
2023-01-16,1.0429022509571044
2023-01-17,1.043530528425059
2023-01-18,1.043029071850077
2023-01-19,1.0450676148665485
2023-01-20,1.0488121480265447
2023-01-30,1.049480644613552
2023-01-31,1.0462546492769194
2023-02-01,1.0508499374499498
2023-02-02,1.0514469451307709
2023-02-03,1.0463178793383079
2023-02-06,1.0391409679022878
2023-02-07,1.0399190392336546
2023-02-08,1.038475299094717
2023-02-09,1.0423173532790408
2023-02-10,1.0396969065366257
2023-02-13,1.042696176374012
2023-02-14,1.043146217314798
2023-02-15,1.0397683964265245
2023-02-16,1.0380982599255726
2023-02-17,1.0340973907106885
2023-02-20,1.0426681118195196
2023-02-21,1.0422897740344845
2023-02-22,1.0401523551687668
2023-02-23,1.040040755474942
2023-02-24,1.0372836175526958
2023-02-27,1.0353810850472243
2023-02-28,1.0360329216229056
2023-03-01,1.0380947046499185
2023-03-02,1.036528880418954
2023-03-03,1.0390525116742226
2023-03-06,1.0410625474675266
2023-03-07,1.0375825327717398
2023-03-08,1.0352016888870268
2023-03-09,1.034821600497209
2023-03-10,1.0309416216047647
2023-03-13,1.03654984978544
2023-03-14,1.0349862397317602
2023-03-15,1.0371647595566043
2023-03-16,1.036944288243934
2023-03-17,1.0439483452823626
2023-03-20,1.04885798269909
2023-03-21,1.0501590437716077
2023-03-22,1.0512061203556842
2023-03-23,1.0518920149088486
2023-03-24,1.0549119581378466
2023-03-27,1.0536166915140248
2023-03-28,1.0490642700836181
2023-03-29,1.052186740433555
2023-03-30,1.0540199810765476
2023-03-31,1.0586213510548654
2023-04-03,1.0614066658316221
2023-04-04,1.0646404186630682
2023-04-06,1.0710280629104958
2023-04-07,1.0743509393831492
2023-04-10,1.0683414078897904
2023-04-11,1.0699657026231135
2023-04-12,1.0723285449456172
2023-04-13,1.0695071054986403
2023-04-14,1.0727606136476024
2023-04-17,1.0698068085744177
2023-04-18,1.068193162775022
2023-04-19,1.0665823775948648
