Fold,Period,Bare_Sharpe,Bare_MaxDD,Bare_Total,CAGCP_Sharpe,CAGCP_MaxDD,CAGCP_Total,Sharpe_Delta,Alerts,Turnover
1,2022-10-01 ~ 2023-09-01,2.025468358347393,-0.06878761822871848,0.2350360520548498,1.503943842194377,-0.058725094700318614,0.1310719434791432,-0.5215245161530162,3,38.26891033767813
2,2023-05-01 ~ 2024-04-01,2.1095916108359196,-0.09802235597592512,0.2972471358888935,1.1828935584077531,-0.09044859501965241,0.11049957324163784,-0.9266980524281665,3,42.03995686568
3,2024-01-01 ~ 2024-12-01,1.1346502965860412,-0.17920918367346972,0.20919973016789117,2.1440049104922685,-0.10898548640434558,0.2921652181266863,1.0093546139062273,3,28.056099968000005
4,2024-08-01 ~ 2025-07-01,1.9906637989660236,-0.11525933350037587,0.29094843878330234,0.6463958919805574,-0.07746856118866241,0.08147709611675436,-1.3442679069854662,3,29.104664000000003
