date,nav_bare
2023-05-04,1.0
2023-05-05,1.0
2023-05-08,1.0
2023-05-09,1.0
2023-05-10,1.0
2023-05-11,1.0
2023-05-12,1.0
2023-05-15,1.0
2023-05-16,1.0
2023-05-17,1.0
2023-05-18,1.0
2023-05-19,1.0
2023-05-22,1.0
2023-05-23,1.0
2023-05-24,1.0
2023-05-25,1.0
2023-05-26,1.0
2023-05-29,1.0
2023-05-30,1.0
2023-05-31,0.995135265700483
2023-06-01,0.9941700520577087
2023-06-02,1.0067178294137769
2023-06-05,1.0115438976276494
2023-06-06,1.0125091112704239
2023-06-07,1.0154047521987475
2023-06-08,0.994170052057709
2023-06-09,1.010578683984875
2023-06-12,1.0221612476981685
2023-06-13,1.0472568024103048
2023-06-14,1.0482220160530793
2023-06-15,1.0530480842669514
2023-06-16,1.0617350070519216
2023-06-19,1.0578741524808237
2023-06-20,1.056908938838049
2023-06-21,1.0617350070519216
2023-06-26,1.0530480842669512
2023-06-27,1.0385698796253342
2023-06-28,1.052082870624177
2023-06-29,1.0607697934091471
2023-06-30,1.0617350070519216
2023-07-03,1.0791088526218622
2023-07-04,1.0733175707652154
2023-07-05,1.0713871434796665
2023-07-06,1.072352357122441
2023-07-07,1.0675262889085686
2023-07-10,1.0569089388380493
2023-07-11,1.062700220694696
2023-07-12,1.0636654343374707
2023-07-13,1.0791088526218624
2023-07-14,1.086830561764058
2023-07-17,1.092621843620705
2023-07-18,1.1022739800484498
2023-07-19,1.1225434665467138
2023-07-20,1.1071000482623221
2023-07-21,1.088760989049607
2023-07-24,1.092621843620705
2023-07-25,1.088760989049607
2023-07-26,1.0916566299779307
2023-07-27,1.1013087664056753
2023-07-28,1.0945522709062538
2023-07-31,1.109030475547871
2023-08-01,1.1128913301189691
2023-08-02,1.0974479118345775
2023-08-03,1.0791088526218626
2023-08-04,1.088760989049607
2023-08-07,1.0791088526218626
2023-08-08,1.0810392799074116
2023-08-09,1.0800740662646369
2023-08-10,1.070421929836892
2023-08-11,1.0713871434796667
2023-08-14,1.0646306479802452
2023-08-15,1.0849001344785092
2023-08-16,1.0733175707652156
2023-08-17,1.06559586162302
2023-08-18,1.0453263751247557
2023-08-21,1.0482220160530793
2023-08-22,1.06559586162302
2023-08-23,1.06559586162302
2023-08-24,1.0945522709062538
2023-08-25,1.0530480842669516
2023-08-28,1.0665610752657944
2023-08-29,1.0723523571224411
2023-08-30,1.0955174845490285
2023-08-31,1.1003435527629006
2023-09-01,1.0993783391201262
2023-09-04,1.1022739800484493
2023-09-05,1.1013087664056749
2023-09-06,1.103239193691224
2023-09-07,1.0945522709062536
2023-09-08,1.1013087664056749
2023-09-11,1.0945522709062534
2023-09-12,1.1013087664056747
2023-09-13,1.0887609890496064
2023-09-14,1.096482698191802
2023-09-15,1.102273980048449
2023-09-18,1.0849001344785085
2023-09-19,1.0839349208357338
2023-09-20,1.0849001344785085
2023-09-21,1.0646306479802445
2023-09-22,1.0540132979097254
2023-09-25,1.0559437251952744
2023-09-26,1.047256802410304
2023-09-27,1.043395947839206
2023-09-28,1.0424307341964316
2023-10-09,1.0578741524808233
2023-10-10,1.0723523571224403
2023-10-11,1.0791088526218617
2023-10-12,1.0887609890496062
2023-10-13,1.0829697071929596
2023-10-16,1.0723523571224403
2023-10-17,1.080074066264636
2023-10-18,1.0752479980507639
2023-10-19,1.0617350070519211
2023-10-20,1.0482220160530786
2023-10-23,1.0414655205536572
2023-10-24,1.0482220160530784
2023-10-25,1.0443611614819805
2023-10-26,1.0125091112704228
2023-10-27,1.0163699658415208
2023-10-30,1.0183003931270698
2023-10-31,1.0173351794842953
2023-11-01,1.0318133841259123
2023-11-02,1.0530480842669507
2023-11-03,1.0607697934091465
2023-11-06,1.0723523571224403
2023-11-07,1.0713871434796658
2023-11-08,1.0810392799074104
2023-11-09,1.0877957754068317
2023-11-10,1.0771784253363126
2023-11-13,1.1003435527628997
2023-11-14,1.1042044073339976
2023-11-15,1.1235086801894871
2023-11-16,1.1186826119756148
2023-11-17,1.1206130392611637
2023-11-20,1.105169620976772
2023-11-21,1.1177173983328403
2023-11-22,1.1099956891906446
2023-11-23,1.1157869710472914
2023-11-24,1.116752184690066
2023-11-27,1.1109609028334193
2023-11-28,1.1138565437617427
2023-11-29,1.1138565437617427
2023-11-30,1.1128913301189685
2023-12-01,1.108065261905096
2023-12-04,1.109995689190645
2023-12-05,1.097447911834577
2023-12-06,1.1128913301189687
2023-12-07,1.1003435527629004
2023-12-08,1.1167521846900665
2023-12-11,1.1235086801894878
2023-12-12,1.1370216711883303
