method,marginal,pa_std,scarce_cov,scarce_cov_std,width_bps,extreme
PerAsset-CP,0.9674603174603175,0.016417156083923783,0.9785714285714284,0.008547880646245249,787.2725250707464,0.8769230769230769
Vol-CP,0.9581349206349207,0.008190889843387972,0.9626984126984126,0.008171135032529364,666.6791922241326,0.8615384615384616
CA-GCP,0.9988095238095238,0.0018657235951651807,0.9992063492063492,0.0015873015873015817,898.779777067201,0.9961538461538462
PerAsset-CP,0.9666666666666667,0.016254806917586583,0.9753968253968253,0.010765603147817882,777.869595357211,0.875
Vol-CP,0.9593253968253969,0.010528574004234858,0.9674603174603174,0.013137258220037166,668.895392232208,0.8634615384615385
CA-GCP,0.9994047619047619,0.0014537601132242933,0.9992063492063492,0.0015873015873015817,916.0817902035325,0.9980769230769231
PerAsset-CP,0.9638888888888889,0.016432294082606994,0.9642857142857142,0.015471102134617389,762.1255098134455,0.8673076923076923
Vol-CP,0.9591269841269842,0.010546270751439784,0.9666666666666666,0.013654484550861328,665.7746525700013,0.8634615384615385
CA-GCP,0.9996031746031746,0.0012214028001013694,1.0,0.0,928.1639324573995,0.9980769230769231
