target,n_neighbors,weighted_corr_sum,mean_corr,effective_sample_size,borrow_recommendation,H
510300,8,6.766689023600771,0.8458361279500963,1957.2056339473943,strong,40
510500,8,6.550263382920397,0.8187829228650496,1902.66637249594,strong,40
510050,8,6.433605985105727,0.8042007481382158,1873.2687082466432,strong,40
159915,8,6.240207882594127,0.7800259853242659,1824.5323864137201,strong,40
159901,8,6.671998906684069,0.8339998633355086,1933.3437244843853,strong,40
512760,8,4.7187651565682724,0.5898456445710341,1441.1288194552046,moderate,40
512480,8,4.563158235888093,0.5703947794860116,1401.9158754437995,moderate,40
515030,8,3.858340421859145,0.48229255273239313,1224.3017863085047,moderate,40
512690,8,4.031452704470565,0.5039315880588207,1267.9260815265825,moderate,40
512170,8,4.196370381983579,0.5245462977479474,1309.485336259862,moderate,40
512010,8,5.417567845220661,0.6771959806525826,1617.2270969956064,strong,40
515050,8,4.719472266004292,0.5899340332505365,1441.3070110330816,moderate,40
159928,8,5.688966573424787,0.7111208216780984,1685.6195765030463,strong,40
512880,8,6.123913125329719,0.7654891406662149,1795.2261075830893,strong,40
512000,8,6.12057329863616,0.76507166232952,1794.3844712563123,strong,40
512800,8,5.28308518846875,0.6603856485585937,1583.337467494125,strong,40
515220,8,2.821529481735974,0.35269118521699677,963.0254293974655,moderate,40
512200,8,5.52572532155693,0.6907156651946162,1644.4827810323463,strong,40
512400,8,5.419883112811746,0.6774853891014683,1617.81054442856,strong,40
512660,8,5.342984148501921,0.6678730185627402,1598.4320054224843,strong,40
