method,mean_bps,corr_vol
Normal-Vol,597.2459519852548,0.3570716424609575
PerAsset-CP,649.6942136345148,-2.597185517214812e-16
Vol-CP,606.8743982903844,0.35609445603005024
Global-CP,724.2979364447738,-2.597185517214812e-16
CA-GCP,862.1541566113588,0.7887176397334192
