code,n_neighbors,max_tv,weighted_tv_sum,bound,empirical_gap,ratio,bound_satisfied
510300,2,0.06198347107438015,0.10624447727468223,0.05312223863734111,0.0,,True
510500,2,0.06611570247933887,0.11128711865797161,0.055643559328985806,0.0,,True
510050,2,0.05371900826446285,0.09403475145066112,0.04701737572533056,0.0,,True
159915,2,0.05785123966942152,0.0970599172548714,0.0485299586274357,0.0,,True
159901,2,0.06198347107438015,0.10304003098894915,0.051520015494474575,0.0,,True
512760,2,0.09090909090909091,0.1325987981881365,0.06629939909406825,0.0,,True
512480,2,0.06198347107438017,0.106117687233412,0.053058843616706,0.0,,True
515030,2,0.08677685950413228,0.09161824097434773,0.045809120487173866,0.004081632653061273,11.223234519357462,True
512690,2,0.10743801652892562,0.09949190800601923,0.049745954003009615,0.0,,True
512170,2,0.06611570247933884,0.06969755523137985,0.03484877761568993,0.0,,True
512010,2,0.11983471074380167,0.1484146763343942,0.0742073381671971,0.0,,True
515050,2,0.09090909090909091,0.1380737863653726,0.0690368931826863,0.0,,True
159928,2,0.07438016528925617,0.11879784987970785,0.05939892493985392,0.0,,True
512880,2,0.07851239669421489,0.12473921041054026,0.06236960520527013,0.0,,True
512000,2,0.08264462809917356,0.12804800121620263,0.06402400060810132,0.0,,True
512800,2,0.0743801652892562,0.1039519298896387,0.05197596494481935,0.004081632653061273,12.734111411480587,True
515220,2,0.10330578512396696,0.08604982946034279,0.04302491473017139,0.008163265306122436,5.2705520544460045,True
512200,2,0.10743801652892565,0.14718757018289663,0.07359378509144832,0.0,,True
512400,2,0.09504132231404955,0.12302888059611758,0.06151444029805879,0.0,,True
512660,2,0.06611570247933879,0.09497268664104956,0.04748634332052478,0.0,,True
512980,2,0.05785123966942152,0.09593457708949811,0.047967288544749055,0.008163265306122436,5.875992846731768,True
515880,2,0.09917355371900827,0.1421970938759723,0.07109854693798615,0.004081632653061273,17.419143999806398,True
159996,2,0.07024793388429751,0.07432757489916436,0.03716378744958218,0.0,,True
512120,2,0.08677685950413225,0.12313866146232616,0.06156933073116308,0.0,,True
510900,2,0.07438016528925623,0.09699103037204543,0.048495515186022714,0.0,,True
159920,2,0.06198347107438018,0.08364024185956198,0.04182012092978099,0.0,,True
513050,2,0.06611570247933883,0.09185773194034764,0.04592886597017382,0.0,,True
518880,2,0.06611570247933884,0.08672149428385105,0.043360747141925525,0.008163265306122436,5.311691524885886,True
518800,2,0.05371900826446281,0.07753079203771077,0.03876539601885538,0.004081632653061273,9.497522024619455,True
159985,2,0.1198347107438017,0.03787669041214707,0.018938345206073535,0.008163265306122436,2.3199472877440117,True
161226,2,0.06611570247933884,0.09023240177090316,0.04511620088545158,0.008163265306122436,5.5267346084678275,True
159981,2,0.07024793388429751,0.04402033109135921,0.022010165545679604,0.0,,True
513100,2,0.05785123966942149,0.09483014170822876,0.04741507085411438,0.0,,True
513500,2,0.06611570247933884,0.09921774186366972,0.04960887093183486,0.0,,True
513520,2,0.10743801652892565,0.11343825844671278,0.05671912922335639,0.0,,True
513880,2,0.09504132231404949,0.10678690553134584,0.05339345276567292,0.0,,True
159941,2,0.06611570247933884,0.10593861281750179,0.052969306408750895,0.0,,True
511260,2,0.06611570247933884,0.02425685338827665,0.012128426694138324,0.004081632653061273,2.9714645400638537,True
