method,scope,marginal,pa_std,worst10,min,extreme,width_bps
Global CA-GCP,all,0.9986424394319131,0.002654190690714033,0.9920634920634921,0.9920634920634921,0.9979757085020243,873.1016414476101
Sector CA-GCP,宽基,1.0,0.0,1.0,1.0,1.0,788.9569612561287
Hybrid Sector CA-GCP,宽基,1.0,0.0,1.0,1.0,1.0,851.4596401606047
Sector CA-GCP,科技,0.9992063492063492,0.0017746571249998267,0.996031746031746,0.996031746031746,1.0,1010.685123777532
Hybrid Sector CA-GCP,科技,1.0,0.0,1.0,1.0,1.0,1075.5820717978745
Sector CA-GCP,周期,1.0,0.0,1.0,1.0,1.0,859.3004211825058
Hybrid Sector CA-GCP,周期,0.998015873015873,0.003968253968253954,0.9920634920634921,0.9920634920634921,1.0,867.9339914088168
