date,realized_ret_v10,realized_ret_v10_2,width_z_today,stress_today,alert_level,applied_scale
2022-04-12,0.007587330427620476,0.010900697442533698,0.0,0.6241371593939864,yellow,0.7
2022-04-13,0.009453470019047172,0.004108936721720801,0.0,0.666492761392404,yellow,0.7
2022-04-14,0.014194880897198205,0.014194880897198205,0.0,0.16312510354778104,green,1.0
2022-04-15,-0.00488788976750536,-0.00488788976750536,0.0,0.07849939182492623,green,1.0
2022-04-18,-0.0019518133675875179,-0.003908168662124945,0.0,0.9978309243108283,red,0.4
2022-04-19,0.009570746866599646,0.009570746866599646,0.0,0.10617996734865498,green,1.0
2022-04-20,-0.016362491569499184,-0.017626790823050287,0.0,0.9987582703072063,red,0.4
2022-04-21,0.00495989869113851,-0.008983782459028483,0.0,0.9995656419855216,red,0.4
2022-04-22,-0.005008173322173359,-0.005008173322173359,0.0,0.07479496596414718,green,1.0
2022-04-25,-0.03607321234304055,-0.04605134938287436,0.0,0.9999999997898288,red,0.4
2022-04-26,-0.012095490388593854,-0.010027011375962175,0.0,0.8796575102324043,red,0.4
2022-04-27,0.011563109547859886,0.023118992001755198,0.0,0.9999581154077831,red,0.4
2022-04-28,0.015358400317123124,0.015358400317123124,0.0,0.10353621174163223,green,1.0
2022-04-29,0.012426572486592092,0.021772645236585845,0.0,0.9999973448592633,red,0.4
2022-05-05,-0.00519391883921112,-0.00519391883921112,0.0,0.03837399513790137,green,1.0
2022-05-06,-0.013889991828658044,-0.021475033930587965,0.0,0.9898179530732589,red,0.4
2022-05-09,-0.008983977426154444,-0.008983977426154444,0.0,0.0342722760791971,green,1.0
2022-05-10,-0.0073676909333150195,-0.0073676909333150195,0.0,0.17827008241074177,green,1.0
2022-05-11,0.005265663590497517,0.005265663590497517,0.0,0.37696586452168557,green,1.0
2022-05-12,-0.0019829754917945813,-0.0019829754917945813,0.0,0.243342402182339,green,1.0
2022-05-13,0.009563577560806948,0.00898207089124816,0.0,0.944570849621246,red,0.4
2022-05-16,0.00771290240352045,0.00771290240352045,0.0,0.08238506830473583,green,1.0
2022-05-17,0.005435534556446298,0.005435534556446298,0.0,0.326257566319044,green,1.0
2022-05-18,-0.012242285377534402,-0.012242285377534402,0.0,0.013859914431381494,green,1.0
2022-05-19,0.0026902902192337706,0.0026902902192337706,0.0,0.5698174088090427,green,1.0
2022-05-20,0.01729442584476333,0.01729442584476333,0.0,0.429519770461299,green,1.0
2022-05-23,0.00465161261807503,0.00465161261807503,0.0,0.02080180667864644,green,1.0
2022-05-24,-0.008989405307827103,-0.016882286562774323,0.0,0.9922358560533181,red,0.4
2022-05-25,0.008135765630382874,0.008135765630382874,0.0,0.014075205019080703,green,1.0
2022-05-26,0.010754197158799973,0.010754197158799973,0.0,0.0653990499837028,green,1.0
2022-05-27,0.01127899062653046,0.01127899062653046,0.0,0.5810724148226192,green,1.0
2022-05-30,-0.005947229955297019,-0.005947229955297019,0.0,0.08390671661230797,green,1.0
2022-05-31,0.0013797690788692083,0.0013797690788692083,0.0,0.4919543040339064,green,1.0
2022-06-01,-0.0033999175282939612,-0.0033999175282939612,0.0,0.013624925924483548,green,1.0
2022-06-02,-0.008935503824827684,-0.008935503824827684,0.0,0.3530604860256541,green,1.0
2022-06-06,0.007055209516140115,0.015942083806456064,0.0,0.9878481355178345,red,0.4
2022-06-07,0.0020418497882574325,0.0020418497882574325,0.0,0.030063832213049816,green,1.0
2022-06-08,0.028086213655404712,0.028086213655404712,0.0,0.5303976511030459,green,1.0
2022-06-09,-0.008428308308548661,-0.008428308308548661,0.0,0.5280481554365555,green,1.0
2022-06-10,0.01825615023749414,0.01825615023749414,0.0,0.5433975051597372,green,1.0
2022-06-13,-0.0164879286556932,-0.014586974740965836,0.0,0.999793126289673,red,0.4
2022-06-14,0.0030834165467743535,0.0074638962137253614,0.0,0.9712639958608666,red,0.4
2022-06-15,-0.001879918617619847,-0.001879918617619847,0.0,0.45934903791806186,green,1.0
2022-06-16,-0.01962099602148868,-0.01579001312470964,0.0,0.7975848843977356,yellow,0.7
2022-06-17,0.010941104941454328,0.010941104941454328,0.0,0.5911845619104404,green,1.0
2022-06-20,-0.0005867677361615087,-0.0005867677361615087,0.0,0.3651212875803225,green,1.0
2022-06-21,-0.0005957903077764117,-0.0005957903077764117,0.0,0.07376942483936973,green,1.0
2022-06-22,-0.01700885512252637,-0.01700885512252637,0.0,0.4258146766480684,green,1.0
2022-06-23,0.02078381112966694,0.019717477822368483,0.0,0.9913793060994108,red,0.4
2022-06-24,0.015316804654487572,0.013289119275373764,0.0,0.8963424640514217,red,0.4
2022-06-27,0.017344604621816508,0.017344604621816508,0.0,0.4813153826738822,green,1.0
2022-06-28,0.004757004630513518,0.004757004630513518,0.0,0.37639276007517836,green,1.0
2022-06-29,-0.023467491943161625,-0.017302564059586526,0.0,0.9608785245039142,red,0.4
2022-06-30,0.020567089784103154,0.020567089784103154,0.0,0.4372240465251695,green,1.0
2022-07-01,-0.004116337537396042,-0.004116337537396042,0.0,0.0379702420646926,green,1.0
2022-07-04,0.012718118077433973,0.009136415705304754,0.0,0.9347443184103251,red,0.4
2022-07-05,-0.004324592201280831,-0.004324592201280831,0.0,0.08407535059728988,green,1.0
2022-07-06,-0.027990700756274127,-0.019691600676879716,0.0,0.9773057707424182,red,0.4
2022-07-07,0.005162840807430591,0.005162840807430591,0.0,0.13957877600013954,green,1.0
2022-07-08,-0.001936760593217657,-0.001936760593217657,0.0,0.014999960102837542,green,1.0
2022-07-11,-0.02276258148815729,-0.020172993760311557,0.0,0.922726330525162,red,0.4
2022-07-12,-0.013518703510028042,-0.010748727694812322,0.0,0.9425415027729986,red,0.4
2022-07-13,0.0055678011686569615,0.0055678011686569615,0.0,0.05246387415846637,green,1.0
2022-07-14,0.014261576032121415,0.014261576032121415,0.0,0.12977415977860562,green,1.0
2022-07-15,-0.0167059097424749,-0.01654971450897547,0.0,0.6223249019192421,yellow,0.7
2022-07-18,0.003970954113536274,0.008573954918003704,0.0,0.9815338663983507,red,0.4
2022-07-19,-0.006236060925730546,-0.006236060925730546,0.0,0.024938913094333538,green,1.0
2022-07-20,0.01237992739395044,0.006763291712297104,0.0,0.8814828026851906,red,0.4
2022-07-21,-0.012955053057041721,-0.012955053057041721,0.0,0.038130250811775526,green,1.0
2022-07-22,-0.002864330404368798,-0.002864330404368798,0.0,0.10661467804647494,green,1.0
2022-07-25,-0.01137146695080864,-0.01137146695080864,0.0,0.01756707485085602,green,1.0
2022-07-26,0.009027595208342998,0.009027595208342998,0.0,0.319046089994288,green,1.0
2022-07-27,0.004410770465190339,0.004410770465190339,0.0,0.01440070658626173,green,1.0
2022-07-28,-0.0003552604981347017,-0.0003552604981347017,0.0,0.34660609671675263,green,1.0
2022-07-29,-0.011531821695450285,-0.013608916734088672,0.0,0.9999899101394443,red,0.4
2022-08-01,0.0189407191171983,0.0189407191171983,0.0,0.5179293308620138,green,1.0
2022-08-02,-0.0228246959522298,-0.020069785930968996,0.0,0.9992262546662667,red,0.4
2022-08-03,-0.00037449183784914446,-0.007212313083557115,0.0,0.8889062316775176,red,0.4
2022-08-04,-0.002838602308007077,-0.002838602308007077,0.0,0.3663787609457038,green,1.0
2022-08-05,0.018332550251565348,0.01757192795045551,0.0,0.999843547323296,red,0.4
2022-08-08,0.0026357793071152265,0.0026357793071152265,0.0,0.03441395787985688,green,1.0
2022-08-09,0.010845587649359523,0.010845587649359523,0.0,0.05341166270534755,green,1.0
2022-08-10,-0.007769045192068468,-0.007769045192068468,0.0,0.3530334883191743,green,1.0
2022-08-11,0.01293787963252191,0.01898990852490834,0.0,0.9999984637355832,red,0.4
2022-08-12,-0.015800357697322267,-0.015800357697322267,0.0,0.08050531164699501,green,1.0
2022-08-15,0.01406751558261106,0.01406751558261106,0.0,0.19210993522196854,green,1.0
2022-08-16,0.00010597979171405019,0.00010597979171405019,0.0,0.016758833311392517,green,1.0
2022-08-17,0.004656057986067408,0.004656057986067408,0.0,0.017808266480889085,green,1.0
2022-08-18,0.001789128638550941,0.001789128638550941,0.0,0.021799837934877084,green,1.0
2022-08-19,-0.018830222976839894,-0.018830222976839894,0.0,0.0998748695080269,green,1.0
