,0
2022-04-12,1.0
2022-04-13,1.0003557160232142
2022-04-14,1.0066648518390766
2022-04-15,1.0016745191716963
2022-04-18,0.9989812740802021
2022-04-19,0.9995292211174137
2022-04-20,1.0019490023694242
2022-04-21,1.004715386115226
2022-04-22,1.0012076190392991
2022-04-25,0.9813976578337632
2022-04-26,0.9847561010231244
2022-04-27,0.9748274952582906
2022-04-28,0.9756312556964415
2022-04-29,0.9827487922283664
2022-05-05,0.9817600842851875
2022-05-06,0.9608952302198162
2022-05-09,0.9567164679312632
2022-05-10,0.9576935289564839
2022-05-11,0.9617407547674693
2022-05-12,0.9584369460257744
2022-05-13,0.9625284385980651
2022-05-16,0.9618946161628947
2022-05-17,0.9681762873391898
2022-05-18,0.9676062820767193
2022-05-19,0.9654654127646922
2022-05-20,0.9694912992762148
2022-05-23,0.9690845680132695
2022-05-24,0.9567182493032931
2022-05-25,0.9586630576701549
2022-05-26,0.9596081667149814
2022-05-27,0.9635990400379684
2022-05-30,0.9691947548857193
2022-05-31,0.9748837938130173
2022-06-01,0.9739926652321469
2022-06-02,0.9798878303755069
2022-06-06,0.9925007909254635
2022-06-07,0.9916611107609538
2022-06-08,0.9969980321378956
2022-06-09,0.9942004638997805
2022-06-10,0.9976830629458289
2022-06-13,0.9917588326052575
2022-06-14,0.9852353643777371
2022-06-15,0.9848318994339119
2022-06-16,0.9860193647788185
2022-06-17,0.9907426525566614
2022-06-20,0.9890288056365399
2022-06-21,0.9875751405746135
2022-06-22,0.9839499033664896
2022-06-23,0.9973512681598623
2022-06-24,1.0003014933903709
2022-06-27,1.003875890587298
2022-06-28,1.0045017715549787
2022-06-29,0.9965495261970757
2022-06-30,1.0005080891776124
2022-07-01,0.9975138223509519
2022-07-04,1.0055821261730107
2022-07-05,1.0048302691041426
2022-07-06,0.9923801565449508
2022-07-07,0.989702841593233
2022-07-08,0.9886646089676036
2022-07-11,0.9849994202552969
2022-07-12,0.9787117569987814
2022-07-13,0.977964484784091
2022-07-14,0.9792342683190245
2022-07-15,0.9748365477808146
2022-07-18,0.9791754470631383
2022-07-19,0.9762673591635486
2022-07-20,0.9803728635425542
2022-07-21,0.9779381605171175
2022-07-22,0.9806055624402295
2022-07-25,0.9791528409453476
2022-07-26,0.9807011242706449
2022-07-27,0.9801397055814933
2022-07-28,0.9837040436398422
2022-07-29,0.9902237748449556
2022-08-01,0.99093573114761
2022-08-02,0.9868571376096046
2022-08-03,0.9851114504842373
2022-08-04,0.9870930354107396
2022-08-05,0.9941461295678955
2022-08-08,0.9917911683431125
2022-08-09,0.9920836418830727
2022-08-10,0.9903145817288547
2022-08-11,1.0011314380228316
2022-08-12,1.0010297943521334
2022-08-15,1.0034753437725135
2022-08-16,1.0039875766174826
2022-08-17,1.003538243855644
2022-08-18,1.002007102236557
2022-08-19,0.9996687750959075
2022-08-22,0.998626211930298
2022-08-23,0.9976390969830037
2022-08-24,0.9885180719073098
2022-08-25,0.9927523318771478
2022-08-26,0.991700733641003
2022-08-29,0.9870329958059704
2022-08-30,0.9873788584765726
2022-08-31,0.9836143409089264
2022-09-01,0.9795955742755976
2022-09-02,0.980144936622243
2022-09-05,0.9833700795784945
2022-09-06,0.9864192545849878
2022-09-07,0.9836379757938867
2022-09-08,0.9854655892642078
2022-09-09,0.9857845513956679
2022-09-13,0.9876089836295571
2022-09-14,0.982367790939267
2022-09-15,0.979101367253073
2022-09-16,0.9747770902334425
2022-09-19,0.9734821881507189
2022-09-20,0.9753388107633095
2022-09-21,0.9747292631397384
2022-09-22,0.9734630973250596
2022-09-23,0.97211781120834
2022-09-26,0.968573525654386
2022-09-27,0.9706400389695466
2022-09-28,0.9696063080413266
2022-09-29,0.9693121127695432
2022-09-30,0.9683197483843207
2022-10-10,0.9700405672384288
2022-10-11,0.9690083706648428
2022-10-12,0.9700777453061882
2022-10-13,0.9678282922735116
2022-10-14,0.9684931659155076
2022-10-17,0.96618094054978
2022-10-18,0.9674596043415846
2022-10-19,0.9647330017436558
2022-10-20,0.9638884901709704
2022-10-21,0.9630461135442105
2022-10-24,0.9664060146403245
2022-10-25,0.9653490657483064
2022-10-26,0.9678155910151488
2022-10-27,0.9661973300165609
2022-10-28,0.9625815350929753
2022-10-31,0.9630713193078764
2022-11-01,0.9657939822206975
2022-11-02,0.9660363282399095
2022-11-03,0.9641008971638776
2022-11-04,0.9648873281116411
2022-11-07,0.9651666754953607
2022-11-08,0.9654726624987943
2022-11-09,0.9687981990151389
2022-11-10,0.9660989545372808
2022-11-11,0.971175974799225
2022-11-14,0.9678196260213069
2022-11-15,0.9729728553987764
2022-11-16,0.9722038545838082
2022-11-17,0.9724649173197984
2022-11-18,0.9708824261207513
2022-11-21,0.9686306284075125
2022-11-22,0.9661223943671607
2022-11-23,0.9675221133571347
2022-11-24,0.9694845332434722
2022-11-25,0.9699874412574477
2022-11-28,0.966064098804175
2022-11-29,0.9691152611833079
2022-11-30,0.9696261215364435
2022-12-01,0.975860102353899
2022-12-02,0.9757165898697681
2022-12-05,0.9889272022754958
2022-12-06,0.98461448429048
2022-12-07,0.9820243221205212
2022-12-08,0.9843177540981376
2022-12-09,0.9890839294408948
2022-12-12,0.9845050112047286
2022-12-13,0.9857704003756687
2022-12-14,0.9900277414910459
2022-12-15,0.9849426244005561
2022-12-16,0.9840884840376458
2022-12-19,0.9803553603895795
2022-12-20,0.973149696392916
2022-12-21,0.9757758321008217
2022-12-22,0.9815782828261771
2022-12-23,0.9781838252696029
2022-12-26,0.9812956655232774
2022-12-27,0.9849612724623589
2022-12-28,0.9832406305582712
2022-12-29,0.9812803594315649
2022-12-30,0.9833814979421339
2023-01-03,0.9840599122680659
2023-01-04,0.985831087400327
2023-01-05,0.989532635510949
2023-01-06,0.9860560591185619
2023-01-09,0.9896086949555727
2023-01-10,0.9896660288677653
2023-01-11,0.9893306319664315
2023-01-12,0.9893261170179656
2023-01-13,0.9953065635497754
2023-01-16,1.0037844455275686
2023-01-17,1.0037065837630894
2023-01-18,1.0032242641259819
2023-01-19,1.0051850108326497
2023-01-20,1.0087866424892526
2023-01-30,1.0101075569522355
2023-01-31,1.0058809140406009
2023-02-01,1.0100423758196513
2023-02-02,1.0106161999546008
2023-02-03,1.0056863107153
2023-02-06,0.9987880996391536
2023-02-07,0.999535956196102
2023-02-08,0.9981482806888481
2023-02-09,1.0047272435171146
2023-02-10,1.0015180859819324
2023-02-13,1.0044072193129996
2023-02-14,1.0048407342525902
2023-02-15,1.0015869506839898
2023-02-16,0.9999781434429124
2023-02-17,0.9916756599259768
2023-02-20,1.0047943149708625
2023-02-21,1.0037464597644512
2023-02-22,1.001688081496771
2023-02-23,1.0015806086994952
2023-02-24,0.9989254282520994
2023-02-27,0.9970932503736174
2023-02-28,0.997720982383932
2023-03-01,0.999706521785471
2023-03-02,0.9981986008909196
2023-03-03,1.0006289096220717
2023-03-06,0.9995800671928181
2023-03-07,0.9902595920906198
2023-03-08,0.9873139592224626
2023-03-09,0.9869514534643732
2023-03-10,0.9772924304790983
2023-03-13,0.981944253111526
2023-03-14,0.9750634970281288
2023-03-15,0.9764528436087884
2023-03-16,0.9721583589259841
2023-03-17,0.9836619631043998
2023-03-20,0.9877443285715065
2023-03-21,0.9901316282885179
2023-03-22,0.9904455641442238
2023-03-23,0.9910918134425275
2023-03-24,0.9939372015326543
2023-03-27,0.9927168023577387
2023-03-28,0.9884275145343994
2023-03-29,0.9913695035957076
2023-03-30,0.9930967814603443
2023-03-31,0.9974321885662972
2023-04-03,1.008952601172561
2023-04-04,1.0113404561590413
2023-04-06,1.0218522431874606
2023-04-07,1.024327691607329
2023-04-10,1.0167448757215138
2023-04-11,1.0180314537015105
2023-04-12,1.0202796078232257
2023-04-13,1.0175951160729808
2023-04-14,1.0211480989486292
2023-04-17,1.0182763024459571
2023-04-18,1.0160479549298556
