date,nav_cagcp
2024-01-02,1.0
2024-01-03,1.0
2024-01-04,1.0
2024-01-05,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-12,1.0
2024-01-15,1.0
2024-01-16,1.0
2024-01-17,1.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-22,0.9999182432600119
2024-01-23,0.9994141272473265
2024-01-24,0.9995215618074068
2024-01-25,0.9996042037766996
2024-01-26,1.000356245697263
2024-01-29,1.000934739482312
2024-01-30,1.003818944210627
2024-01-31,0.9800567161999939
2024-02-01,0.9707523802867027
2024-02-02,0.9947885813960381
2024-02-05,0.9994407493526837
2024-02-06,1.000991472004899
2024-02-07,0.9916871360916079
2024-02-08,1.0141726145487282
2024-02-19,1.008745085265975
2024-02-20,1.0071943626137598
2024-02-21,0.9940132200699309
2024-02-22,1.011071169244298
2024-02-23,1.0242523117881268
2024-02-26,1.0141726145487282
2024-02-27,1.012621891896513
2024-02-28,1.0149479758748357
2024-02-29,1.0079697239398675
2024-03-01,1.024252311788127
2024-03-04,1.0382088156580636
2024-03-05,1.0304552023969875
2024-03-06,1.0265783957664496
2024-03-07,1.0196001438314812
2024-03-08,1.0366580930058482
2024-03-11,1.0211508664836964
2024-03-12,1.0250276731142345
2024-03-13,1.0312305637230952
2024-03-14,1.0265783957664496
2024-03-15,1.020375505157589
2024-03-18,1.020375505157589
2024-03-19,1.0149479758748357
2024-03-20,1.0188247825053736
2024-03-21,1.0366580930058482
2024-03-22,1.0374334543319559
2024-03-25,1.0343320090275254
2024-03-26,1.0397595383102785
2024-03-27,1.0405348996363861
2024-03-28,1.0382088156580633
2024-03-29,1.0366580930058482
2024-04-01,1.0420856222886015
2024-04-02,1.038984176984171
2024-04-03,1.0289044797447722
2024-04-08,1.0281291184186647
2024-04-09,1.0296798410708798
2024-04-10,1.0335566477014178
2024-04-11,1.0242523117881266
2024-04-12,1.0397595383102785
2024-04-15,1.0337365330840622
2024-04-16,1.0169722637543015
2024-04-17,1.0166487080915876
2024-04-18,1.0159538367352758
2024-04-19,1.0042265635581753
2024-04-22,1.0006988509878636
2024-04-23,1.003093496967657
2024-04-24,1.0155849013675091
2024-04-25,1.005861488484185
2024-04-26,1.015368714948779
2024-04-29,1.0171170821816105
2024-04-30,1.0170869918149266
2024-05-06,1.019435922511959
2024-05-07,1.029614622199098
2024-05-08,1.0311805759971195
2024-05-09,1.0288316453000874
2024-05-10,1.0343124835931625
2024-05-13,1.0382273680882161
2024-05-14,1.0382273680882161
2024-05-15,1.0452741601793125
2024-05-16,1.0632826288565593
2024-05-17,1.060933698159527
2024-05-20,1.0624996519575485
2024-05-21,1.0679804902506238
2024-05-22,1.0718953747456774
2024-05-23,1.081291097533806
2024-05-24,1.0632826288565596
2024-05-27,1.075810259240731
2024-05-28,1.0805081206347953
2024-05-29,1.075810259240731
2024-05-30,1.0640656057555702
2024-05-31,1.059367744361506
2024-06-03,1.0640656057555702
2024-06-04,1.0609336981595272
2024-06-05,1.0695464440486453
2024-06-06,1.0906868203219346
2024-06-07,1.0914697972209453
2024-06-11,1.092252774119956
2024-06-12,1.1024314738070953
2024-06-13,1.1243548269793957
2024-06-14,1.123571850080385
2024-06-17,1.1282697114744495
2024-06-18,1.1431462725556532
2024-06-19,1.1447122263536746
2024-06-20,1.1525419953437819
2024-06-21,1.135316503565546
2024-06-24,1.1306186421714814
2024-06-25,1.1188739886863206
2024-06-26,1.14001436495961
2024-06-27,1.1392313880605993
2024-06-28,1.1548909260408138
2024-07-01,1.1533249722427923
2024-07-02,1.1541079491418027
2024-07-03,1.175248325415092
2024-07-04,1.1822951175061887
2024-07-05,1.1971716785873925
2024-07-08,1.215180147264639
2024-07-09,1.2277077776488106
2024-07-10,1.212048239668596
2024-07-11,1.217529077961671
2024-07-12,1.1682015333239955
2024-07-15,1.2050014475774993
2024-07-16,1.2026525168804671
2024-07-17,1.191690840294317
2024-07-18,1.1705504640210276
2024-07-19,1.1517590184447704
2024-07-22,1.1454952032526846
2024-07-23,1.1564568798388348
2024-07-24,1.1337505497675238
2024-07-25,1.1016484969080842
2024-07-26,1.1032144507061057
2024-07-29,1.125137803878406
2024-07-30,1.1118271965952236
2024-07-31,1.1188739886863202
2024-08-01,1.1454952032526848
2024-08-02,1.0930357510189663
2024-08-05,1.042213181963466
2024-08-06,1.0626478082585542
2024-08-07,1.0647453124389519
2024-08-08,1.0537289119143194
2024-08-09,1.0701693997613588
2024-08-12,1.0744201419186192
2024-08-13,1.0823812168086957
2024-08-14,1.0998551229580698
2024-08-15,1.1035067000666392
2024-08-16,1.1258009897877579
2024-08-19,1.1140900815428245
2024-08-20,1.1259554268602028
2024-08-21,1.1259120232185085
2024-08-22,1.1277792724122633
2024-08-23,1.1215393403054592
2024-08-26,1.122956880278518
2024-08-27,1.1137110774270598
2024-08-28,1.1142625245421447
2024-08-29,1.097487894640508
2024-08-30,1.1044101025809472
2024-09-02,1.1137629051433828
2024-09-03,1.1153217055704556
2024-09-04,1.0568666895552328
2024-09-05,1.059984290409378
2024-09-06,1.0693370929718136
2024-09-09,1.063101891263523
2024-09-10,1.0662194921176682
2024-09-11,1.0732340940394949
2024-09-12,1.1075277034350923
2024-09-13,1.1184393064246005
2024-09-18,1.109865904075701
2024-09-19,1.122336307492282
2024-09-20,1.124674508132891
