date,nav_cagcp
2024-08-01,1.0
2024-08-02,0.9879975550122251
2024-08-05,0.9492055686475533
2024-08-06,0.9591702474059025
2024-08-07,0.959264053857329
2024-08-08,0.954907044332527
2024-08-09,0.9632309491611083
2024-08-12,0.967350114510552
2024-08-13,0.9724870864945561
2024-08-14,0.9764200348489528
2024-08-15,0.9841757911361652
2024-08-16,0.99582087975726
2024-08-19,0.9926702438343449
2024-08-20,0.99623068753389
2024-08-21,0.994724379843768
2024-08-22,0.9933704346018445
2024-08-23,0.9918822365815013
2024-08-26,0.9936546746196623
2024-08-27,0.9866752753733486
2024-08-28,0.983336009164664
2024-08-29,0.9738137852021629
2024-08-30,0.982950520255607
2024-09-02,0.9754974157314689
2024-09-03,0.9781409566544553
2024-09-04,0.9594210458549277
2024-09-05,0.962210458164666
2024-09-06,0.9612562705355038
2024-09-09,0.9533343840123755
2024-09-10,0.9551105294424386
2024-09-11,0.9568166655570235
2024-09-12,0.9637912174929961
2024-09-13,0.9665350465607313
2024-09-18,0.9659837254832968
2024-09-19,0.972569312728646
2024-09-20,0.9760317891049527
2024-09-23,0.9795772717416675
2024-09-24,0.9884306973674898
2024-09-25,0.9947262495734687
2024-09-26,1.0022557097674265
2024-09-27,0.9942521210628509
2024-09-30,1.0322607963091306
2024-10-08,1.0475574271617076
2024-10-09,1.0251944337588728
2024-10-10,1.0335912202391933
2024-10-11,1.0310024632482955
2024-10-14,1.0379160534428966
2024-10-15,1.0344040122591653
2024-10-16,1.036543401597022
2024-10-17,1.0364542927003062
2024-10-18,1.04669618651424
2024-10-21,1.0509022731427615
2024-10-22,1.0517432019335775
2024-10-23,1.0541889618215725
2024-10-24,1.047298624695271
2024-10-25,1.0492181680425177
2024-10-28,1.051556223557089
2024-10-29,1.05287400257823
2024-10-30,1.0551966404170148
2024-10-31,1.035499958804754
2024-11-01,1.0234345034931152
2024-11-04,1.0241442361585056
2024-11-05,1.020595572831553
2024-11-06,1.050042468542629
2024-11-07,1.051404408452394
2024-11-08,1.0574761774753756
2024-11-11,1.061662820793173
2024-11-12,1.057271250515962
2024-11-13,1.055230162276681
2024-11-14,1.0494828790570614
2024-11-15,1.0448334829702013
2024-11-18,1.0448594327217808
2024-11-19,1.0507630312529757
