date,w_target,w_adj,turnover,cost,port_ret,alert_level,width_z,stress
2023-05-05,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,0.0,0.6304038116080581
2023-05-08,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",1.0,0.001,0.012067578439259874,yellow,0.0,0.9790051222139989
2023-05-09,"{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.009273979862215231,green,0.0,0.00728543040593562
2023-05-10,"{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.008290986894891605,green,0.0,0.7675222309109164
2023-05-11,"{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.0013484358144553177,green,0.0,0.8405354621188323
2023-05-12,"{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.01377261679719144,green,0.0,0.8890537295492231
2023-05-15,"{'510300': 1.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}",0.30000000000000004,0.00030000000000000003,0.014346073511806234,yellow,0.0,0.9230093404624359
2023-05-16,"{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}","{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.0034129416930902545,green,0.0,0.0034583905729074333
2023-05-17,"{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}","{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.005255687740112425,green,-1.363357694343069,0.009296377297764023
2023-05-18,"{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}","{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0021294208342349354,green,0.5490497502405888,0.9095666681140084
2023-05-19,"{'510300': 0.85, '513100': 0.15000000000000002, '518880': 0.0, '511260': 0.0}","{'510300': 0.51, '513100': 0.09000000000000001, '518880': 0.4, '511260': 0.0}",0.8,0.0008,-0.00016923050391467456,red,0.8334224925241936,0.9802912416558641
2023-05-22,"{'510300': 0.51, '513100': 0.09000000000000001, '518880': 0.4, '511260': 0.0}","{'510300': 0.51, '513100': 0.09000000000000001, '518880': 0.4, '511260': 0.0}",0.0,0.0,0.003808827048381582,green,-1.351175199407435,0.007038533132694982
2023-05-23,"{'510300': 0.51, '513100': 0.09000000000000001, '518880': 0.4, '511260': 0.0}","{'510300': 0.306, '513100': 0.054000000000000006, '518880': 0.24, '511260': 0.4}",0.8,0.0008,-0.004364664647733005,red,0.9601200270963774,0.99987883871759
