date,w_target,w_adj,w_prev,turnover,cost,port_ret,alert_level,applied_scale,width_z,stress,is_month_end,is_monday,days_since_month_end
2022-10-11,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-12,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-13,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-14,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-17,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0008955269183708254,False,True,-1
2022-10-18,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-19,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-20,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-21,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,1.0,0.0,0.0,False,False,-1
2022-10-24,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 0.0}",1.0,0.001,0.0006236844156857213,red,0.6,2.63834378280947,0.999579153466717,False,True,-1
2022-10-25,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,-0.0002510496472318824,green,1.0,0.0,0.0,False,False,-1
2022-10-26,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,2.5977174722413565e-05,green,1.0,0.0,0.0,False,False,-1
2022-10-27,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,0.002147390660582227,green,1.0,0.0,0.0,False,False,-1
2022-10-28,"{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",0.0,0.0,0.0009504307179208915,green,1.0,0.0,0.0,False,False,-1
2022-10-31,"{'510300': 0.0, '513100': 0.0, '518880': 1.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.0, '511260': 1.0}",1.2,0.0012,-0.001081998069578738,red,0.6,2.0841840324759797,0.9811411422245412,True,True,0
2022-11-01,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,-0.00013687459761246867,green,1.0,0.0,0.0,False,False,1
2022-11-02,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.00010191372782095685,green,1.0,0.0,0.0,False,False,2
