event,date,lead_days,realized_dd_5d,warned
A-share_底部_10月,2022-10-31,,0.042817489930149666,False
A-share_底部_11月初,2022-11-01,0.0,0.06575367171316371,True
硅谷银行_3月,2023-03-13,,0.025116814703710855,False
AI主线_切换,2023-04-10,,-0.005915480230247239,False
