date,w_target,w_adj,turnover,cost,port_ret,alert_level,width_z,stress
2024-02-02,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.024760383386581486,green,1.5563350129991438,0.8588729599693257
2024-02-05,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.4, '513100': 0.6, '518880': 0.0, '511260': 0.0}",0.8,0.0008,0.005493192679338722,red,1.780378546446852,0.9966205997603743
2024-02-06,"{'510300': 0.4, '513100': 0.6, '518880': 0.0, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.8,0.0008,0.007945308831620233,red,1.92152514846643,0.999715514415921
2024-02-07,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,-0.0003240476129699178,green,-0.34530353609188635,0.004551417992793499
2024-02-08,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,0.011573462217410499,green,1.0955075213963372,0.6645760445076427
2024-02-19,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,-0.0014145170458151224,green,-0.3334295746028588,0.003349991793283693
2024-02-20,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,0.0001805445991878241,green,-0.3693891077846142,0.0014277326085488445
2024-02-21,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,-0.0011000311307709466,green,-0.31833381595582355,0.010350631457537599
2024-02-22,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,0.007846453354033143,green,-0.4290308620001081,0.005315815364399767
2024-02-23,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,0.0041378104523732955,green,-0.4457432846243384,0.0036275328959206156
2024-02-26,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,-0.004299681976230424,green,-0.43600319484714845,0.004526387516108805
2024-02-27,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,0.002064080689322445,green,-0.6158903870675665,0.0036639469602607164
2024-02-28,"{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}","{'510300': 0.24, '513100': 0.36, '518880': 0.4, '511260': 0.0}",0.0,0.0,-0.0018989230576108528,green,-0.601436618442379,0.0032862494276658864
2024-02-29,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",1.28,0.00128,-0.006875477463712643,green,-0.5728353700805454,0.007559429925289686
2024-03-01,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.016153846153846185,green,0.7492699383366155,0.6049446067849119
2024-03-04,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.01362604087812258,green,0.7377425291466617,0.5619283650426408
2024-03-05,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.007468259895444418,green,1.045051637343927,0.6551090645536356
2024-03-06,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.003762227238525151,green,0.42942756132829846,0.46096156811149774
2024-03-07,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.006797583081571079,green,0.8328035364699294,0.6372606392367645
2024-03-08,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.016730038022813698,green,-0.6056298117883078,0.005118564724420906
2024-03-11,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.014958863126402377,green,-0.623244195013976,0.012018014377798276
2024-03-12,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0037965072133638866,green,0.13892204765318353,0.3746327607232954
2024-03-13,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.00605143721633894,green,-0.8264516498876603,0.0026071399343926215
2024-03-14,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.004511278195488688,green,-0.8466322889274077,0.0016091851438587903
2024-03-15,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.0060422960725075026,green,-0.9166933105206466,0.002362838003972261
2024-03-18,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0,green,-0.8857310304743576,0.003974870915602977
2024-03-19,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.005319148936170248,green,-0.864375837774877,0.002455038071227256
2024-03-20,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0038197097020626902,green,-0.94292758505156,0.0013638623541837207
2024-03-21,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.4, '513100': 0.6, '518880': 0.0, '511260': 0.0}",0.8,0.0008,0.010264258707522032,red,1.5833840120330924,0.9987750497587453
2024-03-22,"{'510300': 0.4, '513100': 0.6, '518880': 0.0, '511260': 0.0}","{'510300': 0.4, '513100': 0.6, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.0032428089796821434,green,-0.791026299593271,0.002490871566908261
