date,turnover,cost,port_ret,alert_level,applied_scale,is_month_end,is_monday,days_since_month_end
2025-06-26,0.0,0.0,0.0017586580086579318,green,1.0,False,False,27
2025-06-27,0.0,0.0,-0.010668467251856883,green,1.0,False,False,28
2025-06-30,0.0,0.0,-0.0016380016380015405,green,1.0,True,True,0
2025-07-01,0.0,0.0,0.011348099535138045,green,1.0,False,False,1
2025-07-02,0.0,0.0,-0.0004055698256050233,green,1.0,False,False,2
2025-07-03,0.0,0.0,0.0068974844468487895,green,1.0,False,False,3
2025-07-04,0.0,0.0,-0.005104096709200867,green,1.0,False,False,4
2025-07-07,0.0,0.0,-0.007020386121236566,green,1.0,False,True,7
2025-07-08,0.0,0.0,0.005846363018354728,green,1.0,False,False,8
2025-07-09,0.0,0.0,-0.01135442011354415,green,1.0,False,False,9
2025-07-10,0.0,0.0,0.007793273174733439,green,1.0,False,False,10
2025-07-11,0.0,0.0,0.0006783340116673919,green,1.0,False,False,11
2025-07-14,0.0,0.0,0.008676789587852562,green,1.0,False,True,14
2025-07-15,0.0,0.0,-0.0005376344086022167,green,1.0,False,False,15
2025-07-16,0.0,0.0,-0.004572350726196883,green,1.0,False,False,16
2025-07-17,0.0,0.0,-0.0006754931099702821,green,1.0,False,False,17
2025-07-18,0.0,0.0,0.0008111396512098246,green,1.0,False,False,18
2025-07-21,0.0,0.0,0.005808456031338727,green,1.0,False,True,21
2025-07-22,0.0,0.0,0.0037604082728983634,green,1.0,False,False,22
2025-07-23,0.0,0.0,0.00990099009900991,green,1.0,False,False,23
2025-07-24,0.0,0.0,-0.016428192898781058,green,1.0,False,False,24
2025-07-25,0.0,0.0,-0.002020474137931161,green,1.0,False,False,25
2025-07-28,0.0,0.0,-0.0028343906060196433,green,1.0,False,True,28
2025-07-29,0.0,0.0,-0.0033838657282078133,green,1.0,False,False,29
2025-07-30,0.0,0.0,0.0019013988863234577,green,1.0,False,False,30
2025-07-31,0.0,0.0,-0.0036600244001626647,green,1.0,True,False,0
2025-08-01,0.0,0.0,0.00027210884353756626,green,1.0,False,False,1
2025-08-04,0.0,0.0,0.012785636561479796,green,1.0,False,True,4
2025-08-05,0.0,0.0,0.001208702659145855,green,1.0,False,False,5
2025-08-06,0.0,0.0,0.001743796109993312,green,1.0,False,False,6
2025-08-07,0.0,0.0,0.002142474558114671,green,1.0,False,False,7
2025-08-08,0.0,0.0,0.003206841261357507,green,1.0,False,False,8
2025-08-11,0.0,0.0,-0.010522109749600439,green,1.0,False,True,11
2025-08-12,0.0,0.0,-0.004038228563736701,green,1.0,False,False,12
2025-08-13,0.0,0.0,0.002162454385727708,green,1.0,False,False,13
2025-08-14,0.0,0.0,0.0012137559002023401,green,1.0,False,False,14
2025-08-15,0.0,0.0,-0.0030980603448276245,green,1.0,False,False,15
2025-08-18,0.0,0.0,0.0016214025131739973,green,1.0,False,True,18
2025-08-19,0.0,0.0,-0.0029677593416970183,green,1.0,False,False,19
2025-08-20,0.0,0.0,-0.0023000947097822078,green,1.0,False,False,20
2025-08-21,0.0,0.0,0.002712232167073614,green,1.0,False,False,21
2025-08-22,0.0,0.0,-0.002163916689207457,green,1.0,False,False,22
2025-08-25,0.0,0.0,0.006641366223908873,green,1.0,False,True,25
2025-08-26,0.0,0.0,0.0029621650733808735,green,1.0,False,False,26
2025-08-27,0.0,0.0,0.00013424620754465266,green,1.0,False,False,27
2025-08-28,0.0,0.0,0.002416107382550381,green,1.0,False,False,28
2025-08-29,2.0,0.002,0.009467989179440917,green,1.0,True,False,0
2025-09-01,0.0,0.0,0.0033497096918269076,green,1.0,False,True,3
2025-09-02,0.0,0.0,-0.005786779434676315,green,1.0,False,False,4
2025-09-03,0.0,0.0,-0.009178419520931125,green,1.0,False,False,5
2025-09-04,0.0,0.0,-0.021012200632625433,green,1.0,False,False,6
2025-09-05,0.0,0.0,0.022617124394184174,green,1.0,False,False,7
2025-09-08,0.0,0.0,0.00022568269013767406,green,1.0,False,True,10
2025-09-09,0.0,0.0,-0.0060920577617328275,green,1.0,False,False,11
2025-09-10,0.0,0.0,0.002270147559591429,green,1.0,False,False,12
2025-09-11,0.0,0.0,0.027633069082672712,green,1.0,False,False,13
2025-09-12,0.0,0.0,-0.008595988538681931,green,1.0,False,False,14
2025-09-15,0.0,0.0,0.0017785682525566227,green,1.0,False,True,17
2025-09-16,0.0,0.0,-0.001997336884154488,green,1.0,False,False,18
2025-09-17,0.0,0.0,0.007338225483655814,green,1.0,False,False,19
2025-09-18,0.0,0.0,-0.013024282560706424,green,1.0,False,False,20
2025-09-19,0.0,0.0,0.002236636099306688,green,1.0,False,False,21
2025-09-22,0.0,0.0,0.0033474670832405184,green,1.0,False,True,24
2025-09-23,0.0,0.0,0.0006672597864767482,green,1.0,False,False,25
2025-09-24,0.0,0.0,0.009113136252500542,green,1.0,False,False,26
2025-09-25,0.0,0.0,0.007048458149779835,green,1.0,False,False,27
2025-09-26,0.0,0.0,-0.009623797025371972,green,1.0,False,False,28
2025-09-29,0.0,0.0,0.01700530035335701,green,1.0,False,True,31
2025-09-30,2.0,0.002,0.009686402712192788,green,1.0,True,False,0
2025-10-09,0.0,0.0,0.04676819762561446,green,1.0,False,False,9
2025-10-10,0.0,0.0,-0.014549203803413735,green,1.0,False,False,10
2025-10-13,0.0,0.0,0.029876772843524746,green,1.0,False,True,13
2025-10-14,0.0,0.0,0.0132069082289199,green,1.0,False,False,14
2025-10-15,0.0,0.0,0.02350713012477712,green,1.0,False,False,15
2025-10-16,0.0,0.0,0.006204419288124541,green,1.0,False,False,16
2025-10-17,0.0,0.0,0.035049762007788754,green,1.0,False,False,17
2025-10-20,0.0,0.0,-0.031354515050167064,green,1.0,False,True,20
2025-10-21,0.0,0.0,0.023953388001726417,green,1.0,False,False,21
2025-10-22,0.0,0.0,-0.04099051633298201,green,1.0,False,False,22
2025-10-23,0.0,0.0,-0.011756949785737936,green,1.0,False,False,23
2025-10-24,0.0,0.0,-0.004892150322437283,green,1.0,False,False,24
2025-10-27,0.0,0.0,-0.004022346368715013,green,1.0,False,True,27
2025-10-28,0.0,0.0,-0.03556203724478346,green,1.0,False,False,28
2025-10-29,0.0,0.0,0.01105036640688617,green,1.0,False,False,29
2025-10-30,0.0,0.0,0.0013805798435342354,green,1.0,False,False,30
2025-10-31,0.0,0.0,0.010340073529411686,green,1.0,True,False,0
2025-11-03,0.0,0.0,0.0003411416875143125,green,1.0,False,True,3
2025-11-04,0.0,0.0,-0.00682050699101977,green,1.0,False,False,4
2025-11-05,0.0,0.0,-0.003548128648277471,green,1.0,False,False,5
2025-11-06,0.0,0.0,0.005628302320239031,green,1.0,False,False,6
2025-11-07,0.0,0.0,0.004340376927469913,green,1.0,False,False,7
2025-11-10,0.0,0.0,0.016262936426703067,green,1.0,False,True,10
2025-11-11,0.0,0.0,0.01410026857654434,green,1.0,False,False,11
2025-11-12,0.0,0.0,-0.003641580225115848,green,1.0,False,False,12
2025-11-13,0.0,0.0,0.016170118507033093,green,1.0,False,False,13
2025-11-14,0.0,0.0,-0.008610354223433259,green,1.0,False,False,14
2025-11-17,0.0,0.0,-0.023526824978012395,green,1.0,False,True,17
2025-11-18,0.0,0.0,-0.011821661787885684,green,1.0,False,False,18
2025-11-19,0.0,0.0,0.020166343853252888,green,1.0,False,False,19
2025-11-20,0.0,0.0,-0.005695778423051134,green,1.0,False,False,20
2025-11-21,0.0,0.0,-0.00842412669886572,green,1.0,False,False,21
2025-11-24,0.0,0.0,0.003285002265518866,green,1.0,False,True,24
2025-11-25,0.0,0.0,0.017274472168905985,green,1.0,False,False,25
2025-11-26,0.0,0.0,0.00011098779134299797,green,1.0,False,False,26
2025-11-27,0.0,0.0,-0.00011097547442007194,green,1.0,False,False,27
2025-11-28,0.0,0.0,0.0063263041065482195,green,1.0,True,False,0
2025-12-01,0.0,0.0,0.01036726590934145,green,1.0,False,True,3
2025-12-02,0.0,0.0,-0.005348761052286766,green,1.0,False,False,4
2025-12-03,0.0,0.0,-0.0017559262510974394,green,1.0,False,False,5
2025-12-04,0.0,0.0,-0.0035180299032542273,green,1.0,False,False,6
2025-12-05,0.0,0.0,0.007943512797881747,green,1.0,False,False,7
2025-12-08,0.0,0.0,-0.002845884413309907,green,1.0,False,True,10
2025-12-09,0.0,0.0,-0.007025246981339217,green,1.0,False,False,11
2025-12-10,0.0,0.0,0.005416758788414855,green,1.0,False,False,12
2025-12-11,0.0,0.0,0.0016492578339746267,green,1.0,False,False,13
2025-12-12,0.0,0.0,0.01284302963776085,green,1.0,False,False,14
2025-12-15,0.0,0.0,0.013438820851847888,green,1.0,False,True,17
2025-12-16,0.0,0.0,-0.011870388193776171,green,1.0,False,False,18
