,50,100,200,500,1000
2010-03-31,1.0,1.0,1.0,1.0,1.0
2010-04-01,1.0051454125037445,1.0051454125038044,1.0051454125037451,1.0051454125037445,1.0051454125037445
2010-04-02,1.0092846947568996,1.009284694757044,1.009284694756901,1.0092846947568996,1.0092846947568996
2010-04-05,1.010858861613754,1.0108588616138987,1.0108588616137555,1.0108588616137542,1.0108588616137542
2010-04-06,1.010858861613754,1.010858861613911,1.0108588616137555,1.0108588616137542,1.0108588616137542
2010-04-07,1.0112303533861418,1.0112303533862739,1.011230353386143,1.0112303533861422,1.0112303533861422
2010-04-08,1.0086831708489303,1.0086831708490267,1.0086831708489314,1.0086831708489308,1.0086831708489308
2010-04-09,1.0146456005132436,1.0146456005133413,1.0146456005132445,1.0146456005132438,1.0146456005132438
2010-04-12,1.0164867636493617,1.016486763649457,1.0164867636493629,1.0164867636493622,1.0164867636493622
2010-04-13,1.014267492024089,1.0142674920241819,1.0142674920240904,1.0142674920240895,1.0142674920240895
2010-04-14,1.0173900259303632,1.0173900259305209,1.0173900259303648,1.0173900259303634,1.0173900259303634
2010-04-15,1.0153912964691902,1.0153912964693932,1.0153912964691925,1.0153912964691905,1.0153912964691905
2010-04-16,1.0132874975368498,1.0132874975369996,1.0132874975368513,1.01328749753685,1.01328749753685
2010-04-19,0.9963129861683319,0.9963129861683995,0.9963129861683325,0.9963129861683321,0.9963129861683321
2010-04-20,1.0012774511814728,1.0012774511815663,1.0012774511814737,1.001277451181473,1.001277451181473
2010-04-21,1.007709683326365,1.0077096833264994,1.0077096833263663,1.0077096833263652,1.0077096833263652
2010-04-22,1.006976472335957,1.0069764723360901,1.0069764723359587,1.0069764723359576,1.0069764723359576
2010-04-23,1.0045894797571209,1.0045894797573236,1.0045894797571229,1.0045894797571213,1.0045894797571213
2010-04-26,1.0074467595969474,1.0074467595971324,1.0074467595969492,1.007446759596948,1.007446759596948
2010-04-27,0.999164032747818,0.9991640327479547,0.9991640327478195,0.9991640327478186,0.9991640327478186
