,42,7,123
2010-03-31,1.0,1.0,1.0
2010-04-01,1.0051454125037445,1.0051454125037445,1.0051454125037445
2010-04-02,1.0092846947568996,1.0092846947568996,1.0092846947568996
2010-04-05,1.0108588616137542,1.0108588616137542,1.0108588616137542
2010-04-06,1.0108588616137542,1.0108588616137542,1.0108588616137542
2010-04-07,1.0112303533861422,1.011230353386142,1.0112303533861422
2010-04-08,1.0086831708489308,1.0086831708489306,1.0086831708489308
2010-04-09,1.0146456005132438,1.0146456005132436,1.0146456005132438
2010-04-12,1.0164867636493622,1.016486763649362,1.0164867636493622
2010-04-13,1.0142674920240895,1.0142674920240895,1.0142674920240895
2010-04-14,1.0173900259303634,1.0173900259303632,1.0173900259303634
2010-04-15,1.0153912964691905,1.0153912964691905,1.0153912964691905
2010-04-16,1.01328749753685,1.01328749753685,1.01328749753685
2010-04-19,0.9963129861683321,0.996312986168332,0.9963129861683321
2010-04-20,1.001277451181473,1.001277451181473,1.001277451181473
2010-04-21,1.0077096833263652,1.0077096833263652,1.0077096833263652
2010-04-22,1.0069764723359576,1.0069764723359576,1.0069764723359576
2010-04-23,1.0045894797571213,1.0045894797571213,1.0045894797571213
2010-04-26,1.007446759596948,1.0074467595969478,1.007446759596948
2010-04-27,0.9991640327478186,0.9991640327478185,0.9991640327478186
2010-04-28,0.9956996694161837,0.9956996694161837,0.9956996694161837
2010-04-29,0.9893228256643933,0.9893228256643933,0.9893228256643933
2010-04-30,0.9870372590541644,0.9870372590541644,0.9870372590541644
2010-05-03,0.9830823511993779,0.9830823511993779,0.9830823511993779
2010-05-04,0.9829066093900926,0.9829066093900926,0.9829066093900926
2010-05-05,0.9849455764471267,0.9849455764471265,0.9849455764471267
2010-05-06,0.9750885945315022,0.975088594531502,0.9750885945315022
2010-05-07,0.9697378141986808,0.9697378141986805,0.9697378141986808
2010-05-10,0.9714060768124246,0.9714060768124244,0.9714060768124246
2010-05-11,0.9635484133820585,0.9635484133820583,0.9635484133820585
2010-05-12,0.9627822341062866,0.9627822341062864,0.9627822341062866
2010-05-13,0.9703895205083594,0.9703895205083592,0.9703895205083594
2010-05-14,0.9681623538362442,0.9681623538362438,0.9681623538362442
2010-05-17,0.9487541937715105,0.9487541937715102,0.9487541937715105
2010-05-18,0.9531682864999066,0.9531682864999063,0.9531682864999066
2010-05-19,0.9509578079323155,0.9509578079323152,0.9509578079323155
2010-05-20,0.9462117595583679,0.9462117595583676,0.9462117595583679
2010-05-21,0.9497478421069712,0.9497478421069708,0.9497478421069712
2010-05-24,0.9614384420733797,0.9614384420733793,0.9614384420733797
2010-05-25,0.9543726005441147,0.9543726005441143,0.9543726005441147
2010-05-26,0.9582923814905094,0.958292381490509,0.9582923814905094
2010-05-27,0.9640391575851857,0.9640391575851852,0.9640391575851857
2010-05-28,0.9658080633080348,0.9658080633080344,0.9658080633080348
2010-05-31,0.9579203199596062,0.9579203199596059,0.9579203199596062
2010-06-01,0.9522502158605679,0.9522502158605676,0.9522502158605679
2010-06-02,0.9542318252997973,0.954231825299797,0.9542318252997973
2010-06-03,0.9542861908287708,0.9542861908287704,0.9542861908287708
2010-06-04,0.9539794970462016,0.9539794970462011,0.9539794970462016
2010-06-07,0.9470077405386075,0.947007740538607,0.9470077405386075
2010-06-08,0.9511119065619228,0.9511119065619223,0.9511119065619228
2010-06-09,0.9585487087341387,0.9585487087341382,0.9585487087341387
2010-06-10,0.9573430903684044,0.9573430903684039,0.9573430903684044
2010-06-11,0.958008117588639,0.9580081175886386,0.958008117588639
2010-06-14,0.9577512517646697,0.9577512517646692,0.9577512517646697
2010-06-15,0.9577888659096072,0.9577888659096068,0.9577888659096072
2010-06-16,0.9580683549565989,0.9580683549565985,0.9580683549565989
2010-06-17,0.9580683549565989,0.9580683549565985,0.9580683549565989
2010-06-18,0.9501689254988752,0.9501689254988748,0.9501689254988752
2010-06-21,0.9627712793936488,0.9627712793936484,0.9627712793936488
2010-06-22,0.9613997402265809,0.9613997402265805,0.9613997402265809
2010-06-23,0.9604507534976138,0.9604507534976133,0.9604507534976138
2010-06-24,0.9604389946836945,0.960438994683694,0.9604389946836945
2010-06-25,0.9574200862366581,0.9574200862366575,0.9574200862366581
2010-06-28,0.955651890143381,0.9556518901433805,0.955651890143381
2010-06-29,0.939172147689159,0.9391721476891584,0.939172147689159
2010-06-30,0.9351540111432364,0.935154016500556,0.9351540165005676
2010-07-01,0.9304595708554493,0.9304595761858758,0.9304595761858869
2010-07-02,0.9291685451103844,0.9291685504334151,0.929168550433426
2010-07-05,0.9282599678979698,0.9282599732157955,0.9282599732158063
2010-07-06,0.9341239119809831,0.9341239173324016,0.9341239173324132
2010-07-07,0.9359180461075968,0.9359180514692934,0.9359180514693052
2010-07-08,0.9369460628359403,0.936946068203526,0.936946068203538
2010-07-09,0.9438099747963329,0.94380998020324,0.9438099802032527
2010-07-12,0.9461885574862914,0.9461885629068248,0.9461885629068377
2010-07-13,0.9415017596899754,0.9415017650836593,0.941501765083672
2010-07-14,0.9452583217711661,0.9452583271863703,0.9452583271863831
2010-07-15,0.9400091879794373,0.9400091933645708,0.9400091933645832
2010-07-16,0.942423277460578,0.9424232828595412,0.9424232828595539
2010-07-19,0.9470236436421158,0.9470236490674333,0.9470236490674462
2010-07-20,0.953933134992167,0.953933140457067,0.9539331404570807
2010-07-21,0.9545730553564398,0.9545730608250057,0.9545730608250194
2010-07-22,0.958249447174945,0.9582494526645721,0.9582494526645862
2010-07-23,0.9612445797282788,0.9612445852350642,0.9612445852350786
2010-07-26,0.9642869339905379,0.9642869395147522,0.9642869395147668
2010-07-27,0.9616315827258664,0.9616315882348687,0.961631588234883
2010-07-28,0.9672460645230898,0.9672460700642562,0.967246070064271
2010-07-29,0.9698805135604774,0.9698805191167359,0.9698805191167511
2010-07-30,0.9703277783074065,0.9703277838662269,0.9703277838662424
2010-08-02,0.9786841406752208,0.9786841462819127,0.9786841462819289
2010-08-03,0.9739894529482519,0.9739894585280492,0.9739894585280651
2010-08-04,0.9778504586248955,0.9778504642268114,0.9778504642268278
2010-08-05,0.9770443157912073,0.977044321388505,0.9770443213885214
2010-08-06,0.9837336537831173,0.9837336594187365,0.9837336594187532
2010-08-09,0.9889550815350033,0.9889550872005346,0.9889550872005518
2010-08-10,0.9782746091699879,0.9782746147743338,0.97827461477435
2010-08-11,0.9804471441892166,0.9804471498060083,0.9804471498060249
2010-08-12,0.9771282580912013,0.97712826368898,0.9771282636889962
2010-08-13,0.9847724015161098,0.9847724071576796,0.9847724071576963
2010-08-16,0.9912091816401892,0.9912091873186334,0.9912091873186508
