n_days,n_years,start_nav,end_nav,ann_pct,vol_pct,sharpe,max_dd_pct,calmar,bootstrap_times,random_state,period,elapsed_sec
4173,16.56,1.0,1.6389,3.028,7.126,0.425,-18.239,0.166,500,42,full,129.1
1105,4.38,1.4232,1.6389,3.27,7.021,0.4658,-8.979,0.3642,500,42,oos_2022,129.1
845,3.35,1.3875,1.6389,5.091,6.73,0.7565,-8.471,0.601,500,42,oos_2023,129.1
4173,16.56,1.0,1.6131,2.929,7.264,0.4033,-21.37,0.1371,500,7,full,129.9
1105,4.38,1.3909,1.6131,3.437,6.995,0.4914,-8.436,0.4074,500,7,oos_2022,129.9
845,3.35,1.368,1.6131,5.037,6.737,0.7476,-8.436,0.597,500,7,oos_2023,129.9
4173,16.56,1.0,1.5958,2.863,7.209,0.3971,-21.584,0.1326,500,123,full,126.2
1105,4.38,1.3779,1.5958,3.405,6.96,0.4892,-9.941,0.3425,500,123,oos_2022,126.2
845,3.35,1.3292,1.5958,5.604,6.743,0.8311,-8.451,0.6631,500,123,oos_2023,126.2
