lag_days,strategy,ann,sharpe,dd,calmar
0,A_topk,0.16939872796986055,0.8503572560260383,-0.1824611665411786,0.9284097607236876
0,B_bl,0.1684604088570707,0.8199912390941246,-0.1682595882555037,1.0011935165398245
0,C_beta,0.16446316709035913,0.7679453942042368,-0.19152976312487613,0.8586820367084683
0,D_momentum,0.1842378880546065,0.8890611204262473,-0.22915538948501546,0.8039867116747602
0,E_iv,0.1584365619085033,0.9568188584098195,-0.1676229318348752,0.9451962221050915
1,A_topk,0.16939872796986055,0.8503572560260383,-0.1824611665411786,0.9284097607236876
1,B_bl,0.1684604088570707,0.8199912390941246,-0.1682595882555037,1.0011935165398245
1,C_beta,0.15489710375784282,0.7608585275329561,-0.20330390418584776,0.7618993072373345
1,D_momentum,0.18290637047953506,0.901335543290038,-0.21476265395997796,0.8516674901662397
1,E_iv,0.1584365619085033,0.9568188584098195,-0.1676229318348752,0.9451962221050915
3,A_topk,0.19586202494263372,0.9277755838623564,-0.1824611665411786,1.0734449891748925
3,B_bl,0.23314647363753815,1.0021599393232883,-0.17544686504356843,1.3288722689894816
3,C_beta,0.15711354911514275,0.7866975026235319,-0.18672868503808093,0.8414001795337521
3,D_momentum,0.16899177083311856,0.8198977475023043,-0.24366857810636477,0.6935312388097544
3,E_iv,0.1584365619085033,0.9568188584098195,-0.1676229318348752,0.9451962221050915
5,A_topk,0.19603259335355716,0.932395413758082,-0.1824611665411786,1.074379809521363
5,B_bl,0.24445921726104358,1.0088092645548803,-0.1682595882555037,1.4528694607871622
5,C_beta,0.16145751190625068,0.8153625477716143,-0.24269439263321035,0.6652708789620251
5,D_momentum,0.17133753584945377,0.8315559322010259,-0.24366857810636466,0.7031581059034316
5,E_iv,0.1584365619085033,0.9568188584098195,-0.1676229318348752,0.9451962221050915
10,A_topk,0.19586202494263372,0.9277755838623564,-0.1824611665411786,1.0734449891748925
10,B_bl,0.23314647363753815,1.0021599393232883,-0.17544686504356843,1.3288722689894816
10,C_beta,0.1788731412793998,0.872494156882265,-0.18792587078671363,0.9518281891183135
10,D_momentum,0.17133753584945377,0.8315559322010259,-0.24366857810636466,0.7031581059034316
10,E_iv,0.1584365619085033,0.9568188584098195,-0.1676229318348752,0.9451962221050915
