fold,oos_start,oos_end,train_desc,strategy,oos_ann,oos_sharpe,oos_dd,oos_calmar
1,2020-01-01,2020-12-31,训练 2018-2019 (1y OOS),baseline,0.3131503813487071,6.101643142348124,-0.1783977051976211,1.7553498292021914
1,2020-01-01,2020-12-31,训练 2018-2019 (1y OOS),A_topk,0.4918720030679631,2.3739750853836146,-0.05719287491932756,8.600232175105111
1,2020-01-01,2020-12-31,训练 2018-2019 (1y OOS),B_bl,0.5093789816572976,2.4839343894236103,-0.05767108657895004,8.832484558097802
1,2020-01-01,2020-12-31,训练 2018-2019 (1y OOS),C_beta,0.5117117050571509,2.352410735885132,-0.06102090502543722,8.385842603347793
1,2020-01-01,2020-12-31,训练 2018-2019 (1y OOS),D_momentum,0.5799804142999281,2.686873257325714,-0.05719287491932756,10.140780912272893
1,2020-01-01,2020-12-31,训练 2018-2019 (1y OOS),E_iv,0.49187739410450515,2.403402185436753,-0.06065467851571871,8.109471621006692
2,2021-01-01,2021-12-31,训练 2018-2020 (1y OOS),baseline,0.11924658158100399,3.879509861511309,-0.10420030762629928,1.1443975962975674
2,2021-01-01,2021-12-31,训练 2018-2020 (1y OOS),A_topk,0.23411791988432173,2.519253863728533,-0.023057309455250863,10.153739764767126
2,2021-01-01,2021-12-31,训练 2018-2020 (1y OOS),B_bl,0.23411791988432173,2.51925386372853,-0.023057309455250974,10.153739764767078
2,2021-01-01,2021-12-31,训练 2018-2020 (1y OOS),C_beta,0.18560939632265483,1.961201952575981,-0.01359505021327212,13.652718703565679
2,2021-01-01,2021-12-31,训练 2018-2020 (1y OOS),D_momentum,0.24949542105265476,2.28283835591702,-0.026823964324886318,9.30121357271497
2,2021-01-01,2021-12-31,训练 2018-2020 (1y OOS),E_iv,0.19440508852217975,2.3527829798233544,-0.022949503140101246,8.470993351593846
3,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),baseline,-0.06839414485369799,-2.0144791640500292,-0.2096362767541322,-0.3262514766655235
3,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),A_topk,0.003522391509056755,0.02862607657872201,-0.12179479099422896,0.02892070736607822
3,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),B_bl,0.05785190487171721,0.6036014161532395,-0.061192391379703115,0.9454101002973073
3,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),C_beta,0.043640218336032266,0.39877107013834473,-0.08603483504892795,0.5072389377071985
3,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),D_momentum,-0.05640046240542895,-0.5233314458777234,-0.13348089868999258,-0.4225358306615705
3,2022-01-01,2023-06-30,训练 2018-2021 (1.5y OOS),E_iv,-0.0018206035417792643,-0.01500026581184686,-0.11045821120187438,-0.016482283408083748
4,2023-07-01,2024-12-31,训练 2018-2023.6 (1.5y OOS),baseline,0.11330791972216758,3.016062749314525,-0.15286733407741715,0.7412173464396563
4,2023-07-01,2024-12-31,训练 2018-2023.6 (1.5y OOS),A_topk,0.15160424482698875,0.8295319187284059,-0.11595697240075042,1.3074181024927107
4,2023-07-01,2024-12-31,训练 2018-2023.6 (1.5y OOS),B_bl,0.1426979758450868,0.6074454534594476,-0.16694459661630012,0.854762470528226
4,2023-07-01,2024-12-31,训练 2018-2023.6 (1.5y OOS),C_beta,0.095033449797703,0.48342977621539907,-0.10282341907475068,0.9242393479311896
4,2023-07-01,2024-12-31,训练 2018-2023.6 (1.5y OOS),D_momentum,0.13021033314422525,0.6513500973003907,-0.10445138233670503,1.2466118708174179
4,2023-07-01,2024-12-31,训练 2018-2023.6 (1.5y OOS),E_iv,0.11272079667152668,0.5988747956603913,-0.11295308312104235,0.9979435138634795
5,2025-01-01,2026-06-30,训练 2018-2024 (1.5y OOS),baseline,0.3918568532951394,9.986332316576672,-0.11709989275409005,3.346346816201099
5,2025-01-01,2026-06-30,训练 2018-2024 (1.5y OOS),A_topk,0.38599516282406854,1.2575800431663013,-0.037588352620145704,10.269009837297101
5,2025-01-01,2026-06-30,训练 2018-2024 (1.5y OOS),B_bl,0.28580717134905487,0.879731463994281,-0.1343252738169044,2.127724464858578
5,2025-01-01,2026-06-30,训练 2018-2024 (1.5y OOS),C_beta,0.4676502055232963,1.4265234275716512,-0.05867201608061945,7.9705835381677055
5,2025-01-01,2026-06-30,训练 2018-2024 (1.5y OOS),D_momentum,0.44059534262472533,1.428534936733046,-0.03159151202148969,13.946636752461119
5,2025-01-01,2026-06-30,训练 2018-2024 (1.5y OOS),E_iv,0.36926237321740896,2.1219146398952016,-0.0006797302323396925,543.2484177529881
