strategy,calmar_mean,calmar_min,calmar_std,ann_mean,ann_min,dd_min,sharpe_mean,folds_positive
E_iv,2.5996411815210014,-0.02702025977576318,2.151600182189691,0.17564858856299698,-0.003007777795567268,-0.03623544558049974,1.1852383216745381,4
A_topk,2.2306948042351538,0.012030290581960843,1.6577318923762143,0.195934321500877,0.0010972223876111187,-0.05066772189612179,1.0192818191000093,5
B_bl,1.8243493205469008,-0.21729879951326872,1.2521014143486004,0.16966088844466864,-0.05166672602234579,-0.05922784323274621,0.8955078871220671,4
D_momentum,1.6608399943500651,-0.5493744703121145,1.6761742297415152,0.15989679001123508,-0.09067060008881034,-0.06470617616465602,0.7603094276504159,4
C_beta,1.5305475451330142,0.024952928038258465,1.8279435317785613,0.14764382252490474,0.001614608557467534,-0.0647061761646559,0.6750529358656834,5
baseline,1.332212022294998,-0.3262514766655235,1.3574640616369815,0.17383351821866402,-0.06839414485369799,-0.10420030762629928,4.19381378114012,4
