factor,n,mean,std,icir,hit_rate,min,max,skew
momentum,309,-0.014529992649499297,0.22736519341197506,-0.06390596745022283,0.47249190938511326,-0.5026760050177747,0.5075757575757576,0.04119053618699406
reversal,309,-0.056846534747053125,0.1288052926737358,-0.4413369479392867,0.32038834951456313,-0.3659090909090909,0.32634032634032634,0.1987825076397021
value,309,0.0437029788977289,0.25507093817077175,0.17133656703951688,0.5954692556634305,-0.6532634032634034,0.5804195804195803,-0.44008822283645377
low_vol,309,-0.014578695294873063,0.22434897927015596,-0.06498222252804516,0.5145631067961165,-0.7226107226107227,0.6258741258741258,-0.33260390985841015
dividend,309,-0.03484288456701273,0.12860890783350198,-0.2709212383027199,0.32362459546925565,-0.30694573832276906,0.36508032111315775,0.5955520928334758
quality,309,-0.011635152228803378,0.15150637580779522,-0.07679645273519066,0.46601941747572817,-0.4640427223307657,0.4089910738924489,-0.35243826524184424
