top_k,mom_windows,corr,Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years
4,None,True(0.5),1.0146823289368163,0.8886746756768765,-0.24720037442180964,0.21968071256650412,0.1949518582372039,0.46744186046511627,4.166415946717973,430,8.26923076923077
4,None,True(0.6),0.8145655046210971,0.7464712657621771,-0.2294730919926874,0.17129506943814188,0.1923948148850435,0.4697674418604651,2.6967289269300743,430,8.26923076923077
3,None,False(0.7),0.8062395927515296,0.7230687865068357,-0.257882152215391,0.18646653486415388,0.21645096626998642,0.4627906976744186,3.111836228178647,430,8.26923076923077
5,None,False(0.7),0.7894663877922793,0.5141796623813404,-0.3376322690441371,0.1736036461061603,0.20376684436493836,0.4813953488372093,2.7574128317703854,430,8.26923076923077
4,None,True(0.7),0.7592758228658713,0.47022299352869146,-0.34794176428790646,0.16361021797711373,0.1996645085879624,0.46744186046511627,2.500883194142592,430,8.26923076923077
4,None,False(0.7),0.7375625799055637,0.47781328748904994,-0.349258974721243,0.16688057889661212,0.21298059565966418,0.45813953488372094,2.5830829778685027,430,8.26923076923077
6,None,False(0.7),0.7272217546860288,0.44913975538056555,-0.3520453289233909,0.15811755291552254,0.20259614051545907,0.4418604651162791,2.3665519882998156,430,8.26923076923077
4,None,True(0.8),0.689593963379623,0.4246319746040815,-0.34448894292078724,0.1462810200617266,0.19741128789155551,0.4604651162790698,2.092372487699497,430,8.26923076923077
4,"(5, 20, 60)",True(0.5),0.6370428230282178,0.29054545210010496,-0.4108993347096669,0.11938493297085251,0.16771739557522466,0.46744186046511627,1.5411039576718562,430,8.26923076923077
4,"(5, 20, 60, 120)",False(0.7),0.5787395529169569,0.2679637287484033,-0.41915125359505434,0.11231733282289835,0.17619929913152335,0.4558139534883721,1.411436485079645,430,8.26923076923077
5,"(5, 20, 60)",True(0.7),0.5672846855740579,0.26521442613515345,-0.3995560745594242,0.10596803502309227,0.16670432260904192,0.4744186046511628,1.2999449841166717,430,8.26923076923077
4,"(5, 20, 60)",True(0.7),0.5637375532817704,0.25369400790805635,-0.4264635778535668,0.10819125429248078,0.17336772366220976,0.46744186046511627,1.3384570756660974,430,8.26923076923077
4,"(5, 20, 60)",False(0.7),0.5386083009171755,0.2221042523251635,-0.48356793170096657,0.10740249391886891,0.1835101878973718,0.45348837209302323,1.3247292549730143,430,8.26923076923077
4,"(20, 60, 120)",True(0.7),0.4163448855798808,0.14958311851854547,-0.5217676269387118,0.07804762877951354,0.16509612733748205,0.44651162790697674,0.8616186850475975,430,8.26923076923077
4,"(20, 60, 120)",False(0.7),0.40480191991304687,0.1540355667332855,-0.5126879691389006,0.07897218188364774,0.17696111590203545,0.4441860465116279,0.8748622167027915,430,8.26923076923077
3,"(5, 20, 60)",True(0.7),0.39352561041949097,0.13281048735751766,-0.5917805343772975,0.07859466117934111,0.18472376202713325,0.44651162790697674,0.8694445441736915,430,8.26923076923077
