Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years,模式,策略数
0.6094233980466968,0.5639767561864387,-0.21630176014473845,0.12198916504384671,0.18389972295017024,0.37906976744186044,1.5904057185158975,430,8.26923076923077,v4B++ (Smart β top-4 黄金点),1
0.5980167898628421,0.4279573840095306,-0.286586360409507,0.12264674909366513,0.19092379289311237,0.38372093023255816,1.6029868816237536,430,8.26923076923077,v4B+++ (Stage 29 最优),1
0.5751400848565362,0.5180649221437824,-0.21265704230638172,0.11017015406578268,0.17312225467432976,0.386046511627907,1.3732125869318748,430,8.26923076923077,v4C (大类+Smart β),2
0.5369659424437294,0.5454087721875317,-0.19240976524913334,0.10494197382142101,0.17818225802062196,0.3813953488372093,1.2823597086878316,430,8.26923076923077,v4B+ (Smart β top-5 最优),1
0.5167154674469322,0.4672530562948726,-0.2120916535940468,0.09910047335645178,0.17341783383079717,0.386046511627907,1.1844780673689215,430,8.26923076923077,v4B+++ corr=0.7,1
0.5004932051846167,0.37852008322306874,-0.22724709591988412,0.08601758965979522,0.14629139412942344,0.3953488372093023,0.9785328257201369,430,8.26923076923077,v4+IR (行业轮动),3
0.4751269494766476,0.40340987227355435,-0.22431432681339358,0.09049061392891944,0.1712088860238624,0.37906976744186044,1.0469368130813974,430,8.26923076923077,v4B+++ corr=0.8,1
0.4507794510558358,0.33597684144385787,-0.2550795017439359,0.08570080531300062,0.17017164619954112,0.3883720930232558,0.9737654999874863,430,8.26923076923077,v4C++ (大类+Smart β top-4),2
0.4041686198299887,0.3310871140226156,-0.23141676148087464,0.07661910769516278,0.16804670536856908,0.3697674418604651,0.8413178621625603,430,8.26923076923077,v4C+ (大类+Smart β 最优),2
0.3476494151257884,0.37315457656329876,-0.1410445232450711,0.052631409348086855,0.10631503433129773,0.3511627906976744,0.5282980885872057,430,8.26923076923077,v4B (Smart β 默认),1
0.343599909731981,0.2733013201151834,-0.23858993865338152,0.06520694520016979,0.16537515078564743,0.37209302325581395,0.6860016264501172,430,8.26923076923077,v4E (HMM 择时),2
0.3206992115248913,0.2409136740965569,-0.2546558890245868,0.06135008585523827,0.16636225245596326,0.37209302325581395,0.6361805351025911,430,8.26923076923077,v4F (IC+HMM 融合),2
0.24248811600515133,0.1340487999336471,-0.3587186766985143,0.048085808125221785,0.17022470257439154,0.32790697674418606,0.4745726681368214,430,8.26923076923077,v4A (大类轮动),1
-0.012748737581839526,0.17469358295285958,-0.09890611442199382,0.0172782635043236,0.0644667143930134,0.08837209302325581,0.15218212366274542,430,8.26923076923077,v4D (IC 择时),2
