配置,Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years,stability,total_rebalances
Stage 29++: 多窗口+相关性0.5,0.7848957166562313,0.3881445152875175,-0.37960235493677097,0.14734057205893314,0.16756266957769536,0.4720930232558139,2.1160888193666203,430,8.26923076923077,0.0,93
Stage 28: 单窗口动量,0.7375625799055637,0.47781328748904994,-0.349258974721243,0.16688057889661212,0.21298059565966418,0.45813953488372094,2.5830829778685027,430,8.26923076923077,0.0,93
Stage 29+: 多窗口+相关性0.7,0.6667202789437019,0.30643586074626544,-0.4218618947517663,0.12927361283430794,0.17546880647851382,0.46511627906976744,1.7328047664451525,430,8.26923076923077,0.0,93
"Stage 29a: 多窗口 (5, 20, 60)",0.666243914486834,0.3103410309023994,-0.43275210779703766,0.13430073525891895,0.1848007239656874,0.4558139534883721,1.835046769453803,430,8.26923076923077,0.0,93
"Stage 29c: 多窗口 (5, 20, 60, 120)",0.5919393353703108,0.2816285878997392,-0.4038859235982243,0.11374582233554986,0.17370094717622583,0.45813953488372094,1.4371651454009378,430,8.26923076923077,0.0,93
"Stage 29b: 多窗口 (20, 60, 120)",0.5486734052049161,0.24478513511835379,-0.4254384812379126,0.10414101611436966,0.17062442939398736,0.4511627906976744,1.268714652939233,430,8.26923076923077,0.010869565217391304,93
