组合,value,quality,low_vol,Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years,stability,selected_codes,total_rebalances,momentum
6.偏动量 (1:2:2:5),0.1,0.2,0.2,0.28994025218422537,0.12571056156825774,-0.44141021478801334,0.055489925982966426,0.16286208015487394,0.4511627906976744,0.5629579866688761,430,8.26923076923077,0.0,"['159996', '512120', '512800']",93,0.5
5.加动量 (2:3:2:3),0.2,0.3,0.2,0.2751000548691228,0.11984017253260738,-0.4492385648534931,0.053836827120343544,0.1697185482410991,0.4511627906976744,0.5428306650749499,430,8.26923076923077,0.0,"['159996', '512800', '512120']",93,0.3
3.偏质量 (1:2:1),0.25,0.5,0.25,0.21159822980889542,0.09093221011827332,-0.4596978515501313,0.04180134162807536,0.15489109478540478,0.4511627906976744,0.40303189746037016,430,8.26923076923077,0.0,"['159996', '512800', '512010']",93,
7.质量+动量 (1:4:0:5),0.1,0.4,0.0,0.18851423034745277,0.08322130083297,-0.46003489575389545,0.03828470245319893,0.16667945999183179,0.43953488372093025,0.3643460408783292,430,8.26923076923077,0.0,"['159996', '512120', '512800']",93,0.5
2.偏价值 (2:1:1),0.5,0.25,0.25,0.17280935937601752,0.07538818233254176,-0.47473228671272105,0.035789204189843105,0.16758211075387675,0.42093023255813955,0.33746543351280134,430,8.26923076923077,0.010869565217391304,"['159928', '512800', '512010']",93,
8.低波动+质量 (1:4:5:0),0.1,0.4,0.5,0.12855729424684204,0.06484864840489388,-0.441138409626017,0.028607229623731634,0.15004115742376992,0.4418604651162791,0.2626836049176038,430,8.26923076923077,0.16304347826086957,"['512800', '159996', '159928']",93,0.0
4.偏低波 (1:1:2),0.25,0.25,0.5,0.0825033983350842,0.04650635994020112,-0.46835300199562013,0.021781393289882045,0.1460934806036654,0.4372093023255814,0.1950425750408351,430,8.26923076923077,0.1956521739130435,"['159928', '512800', '512010']",93,
1.默认 (1:1:1),0.33,0.33,0.34,0.07971271682957339,0.04533247796388498,-0.47032973607755113,0.021321212396495426,0.1467497974770045,0.43953488372093025,0.1905992481786336,430,8.26923076923077,0.1956521739130435,"['159928', '512800', '512010']",93,
