date,nav,return
2018-01-31,1.0,0.0
2018-02-28,0.9913307860800153,-0.008669213919984653
2018-03-31,1.0044209109250681,0.013204598332726691
2018-04-30,1.0145270634253087,0.010061670750097118
2018-05-31,1.0290470664872693,0.014312090416727985
2018-06-30,1.0596103052088663,0.029700525580357517
2018-07-31,1.0599683496973733,0.0003379020445033465
2018-08-31,1.0508747827866896,-0.008579092869405058
2018-09-30,1.0541677824858224,0.003133579521625407
2018-10-31,1.064734602305256,0.010023850088186181
2018-11-30,1.0729530916538916,0.007718814933638685
2018-12-31,1.0800852117135193,0.0066471872024096434
2019-01-31,1.0875449977588663,0.006906664367260618
2019-02-28,1.0783659575623572,-0.008440147502332795
2019-03-31,1.1145738782478933,0.033576654039955134
2019-04-30,1.118810541485577,0.003801150664273223
2019-05-31,1.1164684773886406,-0.002093351832229251
2019-06-30,1.1118917391683174,-0.004099299096225195
2019-07-31,1.102855649746434,-0.00812677089285907
2019-08-31,1.1011744334285531,-0.0015244210049314422
2019-09-30,1.0922088659160603,-0.008141823166542439
2019-10-31,1.0945228397818012,0.002118618460215549
2019-11-30,1.0759993920692568,-0.016923765351700815
2019-12-31,1.0731402317122487,-0.0026572137290055142
2020-01-31,1.0505309330298884,-0.02106835436249188
2020-02-29,1.0230265417200035,-0.02618141974226129
2020-03-31,1.0258424623677214,0.002752539189240899
2020-04-30,1.0388871424497692,0.012716065634424734
2020-05-31,1.0401038829773135,0.0011711960595404136
2020-06-30,1.0547883876904638,0.01411830582837137
2020-07-31,1.0671071025673822,0.011678849540514014
2020-08-31,1.0702009066559468,0.002899244209996432
2020-09-30,1.0675444292214502,-0.002482223120887861
2020-10-31,1.0480640840954196,-0.018247807391245874
2020-11-30,1.0367562186820007,-0.010789288159968491
2020-12-31,1.0612002268524494,0.023577392380171647
2021-01-31,1.0521792211281844,-0.008500757440489393
2021-02-28,1.0194219662716788,-0.031132771108501878
2021-03-31,1.0120140498936823,-0.00726678119865265
2021-04-30,1.000773139839905,-0.011107464422018931
2021-05-31,1.0171719612661274,0.016386152638794726
2021-06-30,1.0331895125319932,0.01574714195417637
2021-07-31,1.032154763299439,-0.001001509616583629
2021-08-31,1.023533419623327,-0.008352762572690686
2021-09-30,1.026153934271798,0.0025602629071315164
2021-10-31,1.038409746341125,0.011943444019463012
2021-11-30,1.041230147134637,0.002716076966197356
2021-12-31,1.0440228306524781,0.0026821001346593043
2022-01-31,1.0357487997072603,-0.00792514368679742
2022-02-28,1.0343016503431621,-0.001397201101760559
2022-03-31,1.0176415435494592,-0.01610758987784211
2022-04-30,1.0409860930418586,0.022939855040680968
2022-05-31,1.0603583959619403,0.018609569378082558
2022-06-30,1.082390028392339,0.02077753381715075
2022-07-31,1.0569317675790215,-0.023520413294208176
2022-08-31,1.0485335665883426,-0.007945830798439912
2022-09-30,1.0433053439155062,-0.004986223464307105
2022-10-31,1.0286747978592485,-0.014023263794805785
2022-11-30,1.0247438210791306,-0.0038213989380303515
2022-12-31,1.0263766453255054,0.0015933975036368508
2023-01-31,1.0172282843889997,-0.008913259063493606
2023-02-28,1.0192640875473036,0.0020013237830156516
2023-03-31,1.0249870936787011,0.0056148413363301675
2023-04-30,1.048048034447045,0.022498762092289182
2023-05-31,1.0421433655613375,-0.005633967806468854
2023-06-30,1.0469990505494429,0.00465932533715252
2023-07-31,1.051440932075747,0.0042424885905800735
2023-08-31,1.0370219046022549,-0.013713587738139688
2023-09-30,1.0325854788889024,-0.004278044363059119
2023-10-31,1.0258817030569571,-0.006492223616352599
2023-11-30,1.0247335890013745,-0.0011191485842485527
2023-12-31,1.0182135848354372,-0.0063626334062993894
2024-01-31,0.9956681117994299,-0.022142184480529292
2024-02-29,0.9949904267095733,-0.000680633518162943
2024-03-31,0.9991933576626496,0.004224091850788314
2024-04-30,0.9947443735696262,-0.004452575729116726
2024-05-31,0.9934837285687466,-0.0012673054850823595
2024-06-30,1.0009949997844696,0.007560537731749362
2024-07-31,1.0116835454920183,0.010677921178277705
2024-08-31,1.027679117790292,0.015810845564849352
2024-09-30,1.12592313745003,0.09559795266734783
2024-10-31,1.138407592055374,0.011088194380318495
2024-11-30,1.155054408490976,0.014622896537035857
2024-12-31,1.1189221971968155,-0.031281826231342236
2025-01-31,1.1066624440575492,-0.010956752104820278
2025-02-28,1.0691150724054774,-0.033928477336237495
2025-03-31,1.0703624527716489,0.0011667409789339889
2025-04-30,1.0652187733626608,-0.004805549181652213
2025-05-31,1.0521963959944673,-0.012225073096566508
2025-06-30,1.0577355061591622,0.00526433105623747
2025-07-31,1.0433203014991679,-0.01362836415725388
2025-08-31,1.042050380660379,-0.0012171917262265852
2025-09-30,1.050552675583087,0.008159197559449938
2025-10-31,1.0431565629117856,-0.0070402111604697115
2025-11-30,1.0473705616136322,0.0040396608252972754
2025-12-31,1.0395597065497988,-0.00745758507075045
2026-01-31,1.0215939593745482,-0.017282073422100197
2026-02-28,1.0215356417584953,-5.708492646983032e-05
2026-03-31,1.007197294261473,-0.01403607168550658
2026-04-30,1.003468417709282,-0.00370223050978824
2026-05-31,0.9897377771068083,-0.013683181613047712
