date,v7.6 TV-PR
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0067945410179593
2018-01-09,1.0135352404577591
2018-01-10,1.017728569078903
2018-01-11,1.0136716681837843
2018-01-12,1.0211871455621853
2018-01-15,1.018572180149205
2018-01-16,1.0269457458488478
2018-01-17,1.0269271395895843
2018-01-18,1.0325190699459073
2018-01-19,1.0339054868789916
2018-01-22,1.0356005561915873
2018-01-23,1.0446444572533293
2018-01-24,1.0588888928881242
2018-01-25,1.049182454501764
2018-01-26,1.0534063447625577
2018-01-29,1.0407572990552643
2018-01-30,1.0308335164115616
2018-01-31,1.0172764383062403
2018-02-01,1.0049595172107175
2018-02-02,1.00540586166532
2018-02-05,0.9981199388803794
2018-02-06,0.9507914450415518
2018-02-07,0.9398683763858341
2018-02-08,0.9381872940113892
2018-02-09,0.8937956425691939
2018-02-12,0.9061528005111518
2018-02-13,0.9153027119476606
2018-02-14,0.9217664009465217
2018-02-22,0.9422380078059738
2018-02-23,0.9485079826587247
2018-02-26,0.9659275096743929
2018-02-27,0.9590266685480734
2018-02-28,0.9514914878635443
2018-03-01,0.9596884103391208
2018-03-02,0.9515799019349707
2018-03-05,0.9494168287031832
2018-03-06,0.9635199538410915
2018-03-07,0.954112179709155
2018-03-08,0.9622001194605792
2018-03-09,0.9732784274620179
2018-03-12,0.9828376834013182
2018-03-13,0.9749313032569331
2018-03-14,0.9648406443610457
2018-03-15,0.9690578952828851
2018-03-16,0.9615111771250745
2018-03-19,0.9643258229384105
2018-03-20,0.9638603614858878
2018-03-21,0.96090030822344
2018-03-22,0.9537717312489199
2018-03-23,0.9127311898354229
2018-03-26,0.9126357479435601
2018-03-27,0.9268796130854969
2018-03-28,0.9094794388719047
2018-03-29,0.9225584522736154
2018-03-30,0.9254266062477696
2018-04-02,0.9253133674219925
2018-04-03,0.9207705409574192
2018-04-04,0.9155107975282731
2018-04-09,0.9187218967937163
2018-04-10,0.9358439907285584
2018-04-11,0.9353094920809844
2018-04-12,0.9285444449681679
2018-04-13,0.923779047899448
2018-04-16,0.9095562252913796
2018-04-17,0.9026649268581082
2018-04-18,0.9081046186637195
2018-04-19,0.9174837956599662
2018-04-20,0.9041890169729514
2018-04-23,0.9040166500429923
2018-04-24,0.9190447674737477
2018-04-25,0.9150666994780862
2018-04-26,0.9025170056782041
2018-04-27,0.9105141054084924
2018-05-02,0.9150429702686876
2018-05-03,0.9163223051224093
2018-05-04,0.9127619182466953
2018-05-07,0.9235785833657616
2018-05-08,0.9322089979864288
2018-05-09,0.9313018954869832
2018-05-10,0.9401503640570585
2018-05-11,0.934982125268972
2018-05-14,0.9427267391259105
2018-05-15,0.9440302662027112
2018-05-16,0.9391795125517383
2018-05-17,0.9321958678120266
2018-05-18,0.9409076941773493
2018-05-21,0.9446255189872804
2018-05-22,0.945427067581151
2018-05-23,0.9349308928119109
2018-05-24,0.9326243657039875
2018-05-25,0.9336088599660397
2018-05-28,0.9357030841944625
2018-05-29,0.9231040749891395
2018-05-30,0.9070184877040909
2018-05-31,0.9186891696506962
2018-06-01,0.9140252084645849
2018-06-04,0.9173806757154573
2018-06-05,0.928222002083478
2018-06-06,0.9282258109713847
2018-06-07,0.9277259678379428
2018-06-08,0.9168820298396396
2018-06-11,0.9105150865467564
2018-06-12,0.9205561311847336
2018-06-13,0.9075510414180701
2018-06-14,0.9019465551380036
2018-06-15,0.8934153214630455
2018-06-19,0.8570851668555578
2018-06-20,0.8666235814595545
2018-06-21,0.8583448693319716
2018-06-22,0.8637155418356737
2018-06-25,0.8544754107392583
2018-06-26,0.8504308489126777
2018-06-27,0.8298440177816216
2018-06-28,0.8202810667955505
2018-06-29,0.8468668565336358
2018-07-02,0.8283127340066809
2018-07-03,0.8285421771911324
2018-07-04,0.8145377584996663
2018-07-05,0.8041754494037462
2018-07-06,0.8125303692611491
2018-07-09,0.8313116994718822
2018-07-10,0.836518443498339
2018-07-11,0.8284724989113018
2018-07-12,0.8447181008218241
2018-07-13,0.8492318845010913
2018-07-16,0.8462708060841326
2018-07-17,0.8403442223441823
2018-07-18,0.8395972479856643
2018-07-19,0.8383183196317575
2018-07-20,0.8523710612346348
2018-07-23,0.8589461563890666
2018-07-24,0.8681511197970644
2018-07-25,0.867617283135726
2018-07-26,0.8634763660458032
2018-07-27,0.8613167378434151
2018-07-30,0.8578680314654077
2018-07-31,0.8576800463418878
2018-08-01,0.8468209103301569
2018-08-02,0.8340942675985069
2018-08-03,0.8301677778377193
2018-08-06,0.8176543143242232
2018-08-07,0.8404366836632015
2018-08-08,0.8270923168036907
2018-08-09,0.8473068483286532
2018-08-10,0.8498986417478573
2018-08-13,0.8474263145019858
2018-08-14,0.8414210532445782
2018-08-15,0.8231438433674627
2018-08-16,0.8187893436201857
2018-08-17,0.8087661573522789
2018-08-20,0.8164204882433604
2018-08-21,0.82516979835926
2018-08-22,0.8235835030376809
2018-08-23,0.8282972107751231
2018-08-24,0.8281195878713634
2018-08-27,0.8443061385159675
2018-08-28,0.8444295157912213
2018-08-29,0.8404110753810666
2018-08-30,0.8339917493662407
2018-08-31,0.8281864409267358
2018-09-03,0.8265114928145731
2018-09-04,0.833005602728854
2018-09-05,0.8221134972326644
2018-09-06,0.8177524827360233
2018-09-07,0.8186228548808385
2018-09-10,0.8064953297420191
2018-09-11,0.8077554763813352
2018-09-12,0.8068984801172215
2018-09-13,0.8117432885293671
2018-09-14,0.8114633747439799
2018-09-17,0.8021791827136153
2018-09-18,0.8145335878427532
2018-09-19,0.8232014181352079
2018-09-20,0.8221023954115736
2018-09-21,0.8421661784773402
2018-09-25,0.8326892233812759
2018-09-26,0.8417155025832813
2018-09-27,0.8369799508211605
2018-09-28,0.8440696187163462
2018-10-08,0.8059865959719313
2018-10-09,0.8045875329201989
2018-10-10,0.8017963576504785
2018-10-11,0.7571335870697041
2018-10-12,0.7693864290110396
2018-10-15,0.759999225732843
2018-10-16,0.7544618986697814
2018-10-17,0.7651003751932146
2018-10-18,0.7491941085289953
2018-10-19,0.7616830317203802
2018-10-22,0.7957933829173055
2018-10-23,0.7732979341534151
2018-10-24,0.7700002488984845
2018-10-25,0.7646998618643666
