factor_name,factor_type,ic_mean,ic_std,icir,ic_positive_ratio,panel_ic,panel_t_stat,composite_score
vix,macro,-0.08313150273462705,0.05261620191091101,-1.5799601589522578,0.11627906976744186,-0.137614959652265,-2.840570246238547,0.10492488550168223
宏观通胀因子_生活端,macro,0.047126497911842334,0.054171872191706584,0.8699440503933172,0.8604651162790697,0.08998494283006278,1.8494488225531867,0.06426987587913052
信用利差因子,macro,-0.03964833014699184,0.037533365213890606,-1.056348929040834,0.16279069767441862,-0.06351189320665518,-1.3026860472190434,0.04919375537085718
期限利差因子_股,macro,-0.03318632557402993,0.03939312155367086,-0.8424396002438007,0.13953488372093023,-0.06431238652065181,-1.3191726505823353,0.04563674995267869
期限利差因子_加权,macro,-0.02972935504405361,0.03967575393855701,-0.7493078793182689,0.23255813953488372,-0.058262275345556336,-1.194628335051118,0.0411425231646547
dxy_logret,macro,-0.021979078600431825,0.07703072866159046,-0.2853287120908564,0.4418604651162791,-0.05790241278453776,-0.818186764323063,0.0363484122740742
期限利差因子_债,macro,0.031695060802081065,0.03635495823361657,0.8718222311908309,0.8837209302325582,0.03991079891092452,0.8176051084662406,0.034981356045618445
宏观汇率因子,macro,0.020339060824958708,0.06685153929660376,0.3042422214800369,0.5116279069767442,0.03607586986559478,0.7389356463195279,0.026633784441213136
real_rate,macro,-0.018833223402512304,0.025518634485276217,-0.7380184630717105,0.16279069767441862,-0.03290767496922753,-0.666690715236438,0.024463004029198394
宏观增长因子,macro,-0.018429227899129076,0.05675507350221369,-0.32471507412302547,0.4418604651162791,-0.02737990561128358,-0.5606628826132791,0.022009498983990877
无风险收益率,macro,-0.006642548541347277,0.043857676835696864,-0.15145691747951273,0.5348837209302325,0.012303159721825718,0.25185846096964004,0.008906793013538652
宏观通胀因子_生产端,macro,0.006093534847447516,0.054356608143751255,0.11210292649851476,0.5348837209302325,0.009994665553012495,0.20459592063813345,0.007653987129673507
f16_52w_high,pv,0.04670910327630827,0.34630692200710445,0.13487776393724535,0.5547619047619048,,,0.04670910327630827
f4_vol_vol,pv,0.04563941532052406,0.2283512039783091,0.19986500848429647,0.6,,,0.04563941532052406
f12_amihud,pv,0.03859305916190373,0.20571689904398088,0.1876027654570702,0.5595238095238095,,,0.03859305916190373
f17_idio_vol,pv,-0.03337817042771422,0.23770211998238894,-0.14042016297619545,0.4595238095238095,,,0.03337817042771422
f3_amt_vol,pv,0.031918809395656805,0.18895165918714502,0.16892579579861314,0.5880952380952381,,,0.031918809395656805
f10_first_div,pv,0.018216075595810052,0.23910980175076302,0.07618288946095839,0.55,,,0.018216075595810052
f6_ls_total,pv,-0.017976249947789076,0.33129107620911935,-0.05426119578434407,0.47668393782383417,,,0.017976249947789076
f15_max5,pv,-0.017263346606851724,0.318014111895343,-0.05428484448052737,0.47619047619047616,,,0.017263346606851724
f9_pv_corr,pv,0.014855827436123863,0.24314372599936623,0.061098954435544785,0.530952380952381,,,0.014855827436123863
f11_vol_range,pv,-0.012814135503301521,0.2741670112235022,-0.04673842941977939,0.4714285714285714,,,0.012814135503301521
f1_second_mom,pv,0.01272504357036356,0.3320847077059193,0.038318667722671354,0.5285714285714286,,,0.01272504357036356
f13_rv,pv,-0.011477493595289576,0.3493977064738106,-0.03284936730444704,0.48333333333333334,,,0.011477493595289576
f2_mom_term,pv,0.010109356594566136,0.35172995028222365,0.028741813389660212,0.5095238095238095,,,0.010109356594566136
f7_ls_change,pv,-0.003972236481075228,0.28198056177245556,-0.014086915977848953,0.4880952380952381,,,0.003972236481075228
f8_pv_rankcov,pv,0.003516663110978518,0.22756673394036217,0.01545332681137886,0.5095238095238095,,,0.003516663110978518
f14_rs,pv,0.002943817583278112,0.2669455442287581,0.011027783182458431,0.5142857142857142,,,0.002943817583278112
f5_turnover,pv,-0.0015322230163216047,0.2229054799926134,-0.006873868764340739,0.4976190476190476,,,0.0015322230163216047
