lambda_tv,lambda_l1,mean_nav
0.01,0.01,3.8654472147277175
0.01,0.05,2.133275909920481
0.05,0.01,3.8713396800329414
0.05,0.05,2.3543675783257654
0.1,0.05,2.140822515347978
0.5,0.1,1.8939294696998565
