category,avg_weight,return_contrib,frequency,n_codes
a_broad,0.13793867940494095,0.19338478045743868,0.6712783619258439,6.0
a_sector,0.1247391398221529,0.08915679889832018,0.9286109573879358,20.0
hk,0.06287765982209007,-0.002827565515146624,0.45766463752075265,5.0
commodity,0.408672130966381,0.7216974819335498,0.9186496956281129,6.0
overseas,0.21596608118532057,0.2651382316883617,0.8693967902600996,6.0
