code,avg_weight,vol_contrib,var_contrib
518880,0.18970590653743072,0.16645582581062154,0.02111765227495984
161226,0.08286308579819976,0.14803054430669488,0.018780103042463442
518800,0.13610313863074858,0.11944906617891743,0.015154073651978388
513500,0.13416663428136455,0.11501730773185137,0.01459183238829181
513100,0.08179944690395868,0.09068547820308215,0.011504940639686151
159915,0.044799781645384576,0.062451835429972166,0.007923039870311432
510900,0.05563713083947777,0.06171048671012671,0.007828987623092434
510050,0.05382054563878544,0.055477615352141005,0.007038245638716061
159901,0.03931835212077101,0.04884695371708095,0.006197037431792612
512400,0.016296878310647283,0.028691520712513855,0.0036399900976491584
512800,0.045616875098125495,0.027612086309913946,0.0035030461351490527
512010,0.021442837818350886,0.0224706011626414,0.0028507643962058906
159928,0.012164619459666567,0.012054821438032447,0.0015293518633269518
512980,0.008335468785542963,0.010062348198876473,0.0012765739456617
159920,0.00724052898261167,0.007542423085770275,0.0009568801047380507
512000,0.0061282215643802245,0.0074428924927232645,0.0009442530161729523
512660,0.006313758310693162,0.007026229518150316,0.0008913924823344276
512200,0.004907198028138823,0.005057979352242362,0.0006416876588993805
512880,0.0019537891985404784,0.002362563773040989,0.00029972997336397914
512120,0.0015794932480670699,0.0015514205156063863,0.00019682314404596832
510500,0.0,0.0,0.0
512690,0.0,0.0,0.0
515790,0.0,0.0,0.0
515030,0.0,0.0,0.0
512480,0.0,0.0,0.0
512760,0.0,0.0,0.0
588000,0.0,0.0,0.0
510300,0.0,0.0,0.0
512170,0.0,0.0,0.0
515880,0.0,0.0,0.0
515050,0.0,0.0,0.0
515220,0.0,0.0,0.0
159996,0.0,0.0,0.0
513050,0.0,0.0,0.0
159740,0.0,0.0,0.0
513010,0.0,0.0,0.0
159981,0.0,0.0,0.0
159985,0.0,0.0,0.0
159766,0.0,0.0,0.0
513300,0.0,0.0,0.0
513520,0.0,0.0,0.0
513880,0.0,0.0,0.0
159941,0.0,0.0,0.0
511260,0.0,-0.0,-0.0
