code,frequency,avg_weight,total_return,return_contrib
518880,0.872093023255814,0.22493344692463227,1.348666830964333,0.3033602790417278
518800,0.5581395348837209,0.2548584160681483,0.6831332033787731,0.17410224617667433
161226,0.6744186046511628,0.127541393558218,1.2536843284128887,0.15989664632787845
513500,0.8372093023255814,0.16894711369088677,0.8739761160722341,0.1476557422451754
513100,0.7325581395348837,0.11815475663905013,1.1778992912246404,0.13917440409995702
159915,0.47674418604651164,0.10043822014045814,0.9000777294959934,0.09040220513864232
512010,0.20930232558139536,0.10586668835453593,0.6505102040816304,0.06886736104695554
512800,0.29069767441860467,0.16585451368674564,0.37131259841065134,0.06158387043516046
159901,0.3953488372093023,0.10296849606120766,0.5021983390327296,0.051710607694636646
512400,0.2558139534883721,0.06929049201726957,0.5085843240213548,0.035240058043710124
510050,0.2558139534883721,0.231556490403061,0.11139149242970658,0.025793423047781996
510900,0.4418604651162791,0.13512942933728153,0.09855238768462193,0.013317327907649494
512980,0.11627906976744186,0.0738342749778243,0.007282123561194398,0.0005376703134397203
515030,0.0,0.0,0.0,0.0
512480,0.0,0.0,0.0,0.0
512760,0.0,0.0,0.0,0.0
588000,0.0,0.0,0.0,0.0
510300,0.0,0.0,0.0,0.0
510500,0.0,0.0,0.0,0.0
512690,0.0,0.0,0.0,0.0
515790,0.0,0.0,0.0,0.0
159740,0.0,0.0,0.0,0.0
515880,0.0,0.0,0.0,0.0
159996,0.0,0.0,0.0,0.0
515220,0.0,0.0,0.0,0.0
515050,0.0,0.0,0.0,0.0
512170,0.0,0.0,0.0,0.0
513300,0.0,0.0,0.0,0.0
159985,0.0,0.0,0.0,0.0
159766,0.0,0.0,0.0,0.0
159981,0.0,0.0,0.0,0.0
513880,0.0,0.0,0.0,0.0
513520,0.0,0.0,0.0,0.0
513050,0.0,0.0,0.0,0.0
513010,0.0,0.0,0.0,0.0
159941,0.0,0.0,0.0,0.0
512880,0.046511627906976744,0.04413121352203302,-0.06818181818181845,-0.0030089463765022636
512000,0.06976744186046512,0.09384488446470397,-0.05118829981718431,-0.00480376008228829
512200,0.05813953488372093,0.08609035763928971,-0.1546349466776037,-0.013312577863007395
159928,0.12790697674418605,0.09901561875503387,-0.14721407624633465,-0.014576492848981559
512660,0.05813953488372093,0.1097015506482938,-0.1528701353770877,-0.016770090898681117
512120,0.011627906976744186,0.12973383178441797,-0.1824034334763952,-0.023663896355526928
159920,0.046511627906976744,0.15763416712746128,-0.18393255961981458,-0.028994055843291587
