code,correlation,cov_i_p,marginal_sharpe
159740,0.3548088893185125,5.390135202968209e-05,0.10690738981849172
159766,0.23184392551411975,2.8598919597982676e-05,0.09133350822416508
513010,0.34944634276863146,5.324026030088564e-05,0.08902653887111799
512200,0.34058485097181224,5.245902562845976e-05,0.087027999422127
510900,0.5061192894895988,6.271028133661789e-05,-0.0016762470449064126
159985,0.03973517661067673,3.964570284116942e-06,-0.03317541733288444
159920,0.5264260172013798,6.0092667319069117e-05,-0.06638347175364524
159981,0.1222567595317169,1.558640878482761e-05,-0.06949537112751218
512170,0.41895112387972777,6.172286203444421e-05,-0.08230941595723641
513050,0.4737985499439272,7.74739177491588e-05,-0.09150515536117222
515790,0.2817988097919087,4.60365094155871e-05,-0.09542133613987255
512010,0.41652180753773793,5.9765202883836536e-05,-0.13703084092077847
512120,0.4094909671871223,5.6373221555393136e-05,-0.14257998254535872
512800,0.3225091504651555,3.193531583744741e-05,-0.1953127590871421
159928,0.39868364759667835,5.3211946135642633e-05,-0.20009725946626067
512980,0.41365608886879585,7.214698203660829e-05,-0.23193168896629496
588000,0.3221546378116418,4.684354097019603e-05,-0.23643600792882657
159996,0.42763509524294374,4.7370879091082307e-05,-0.26957861578603654
512000,0.3978019003443972,6.43729276754485e-05,-0.2761873690234635
512880,0.3965724891517813,6.431607812377118e-05,-0.2764403497903079
510050,0.5238372005319595,5.7360135494732174e-05,-0.3090558322746344
512660,0.38252387379899017,6.443822612811985e-05,-0.3888971431591976
515030,0.42573463497876257,7.21897693254151e-05,-0.42636953360990476
515220,0.26205862848512085,4.976325685601399e-05,-0.42713195518129743
510300,0.5642836580695496,6.455146954731307e-05,-0.48167733043182837
513300,0.4451578568691138,4.8532438608590855e-05,-0.5106107982983068
513880,0.4989617746909759,5.562195290143175e-05,-0.5164036764405413
513520,0.4600961340728629,5.6877693603733216e-05,-0.5237318493753343
510500,0.526668155508213,6.521762445680569e-05,-0.5752893105079733
159901,0.5460570356925901,7.287688574767564e-05,-0.6394654462557714
513500,0.5487299861707752,5.579287441257331e-05,-0.6908428080138675
518800,0.5905856555964665,5.429529720977453e-05,-0.7175572796455849
518880,0.5899262571738804,5.433639581842911e-05,-0.7197251587004144
161226,0.640002660940492,0.00011633723783881164,-0.7685924252226461
512690,0.36922991148603423,9.546005590091593e-05,-0.8021617333234005
159915,0.49618982980733095,8.232234834691162e-05,-0.81593023049458
515050,0.46180986095553556,8.169822408932327e-05,-0.8611492785795664
515880,0.4195805524854206,7.675889249460199e-05,-0.8704019752157631
512480,0.3957376292633591,7.82893278095515e-05,-0.9088484135041517
512760,0.40168366773030456,7.871335166028605e-05,-0.9324808706546387
512400,0.5849969267276796,0.00010800488090566733,-0.9642877502423806
159941,0.5651209518124537,7.615132190367696e-05,-0.9948866865617678
513100,0.5787095542487202,7.57643995432592e-05,-1.0388369962260793
