date,market_ret_5d,market_ret_20d,market_ret_60d,realized_vol_20d,vol_ratio_60_20,breadth_5d,breadth_20d,vix,vix_rank20,信用利差因子,real_rate,real_rate_diff,dxy_logret,宏观增长因子,cn_us_spread,vix_z,credit_z
2019-01-14,-0.0016684815414499269,-0.025181372183539132,0.014528708712588375,0.09350550960315138,0.7012841345031039,0.3157894736842105,0.18421052631578946,-0.16158391306686815,0.25,1.203778351137098,0.88,-0.030000000000000027,-0.005800719124974631,2.026791627828179,0.3944000000000001,-0.9516631053417539,1.153148440988536
2019-01-15,0.008775455511065247,-0.004065722001816985,0.01328172401554632,0.09392828301808025,0.7115891640543134,0.5526315789473685,0.23684210526315788,-0.16158391306686815,0.25,1.203778351137098,0.88,-0.030000000000000027,-0.005800719124974631,2.026791627828179,0.3944000000000001,-0.9446552302737424,1.1477461411952075
2019-01-16,0.005869680148310265,-0.0005807349587983515,-0.010240683224044929,0.09368016584200238,0.719138151483038,0.5789473684210527,0.2631578947368421,-0.16158391306686815,0.25,1.203778351137098,0.88,-0.030000000000000027,-0.005800719124974631,2.026791627828179,0.3944000000000001,-0.937698146501104,1.1423828256292103
2019-01-17,0.004526044537113791,0.0025677915790652817,-0.0019918088491914596,0.09132901658654562,0.7110417283710724,0.47368421052631576,0.42105263157894735,-0.16158391306686815,0.25,1.203778351137098,0.88,-0.030000000000000027,-0.005800719124974631,2.026791627828179,0.3944000000000001,-0.930790809991119,1.1370579288803435
2019-01-18,0.010591539488955944,0.0180226695094846,0.007100286464620086,0.09443032989202776,0.7452546153729979,0.5789473684210527,0.6578947368421053,-0.16158391306686815,0.25,1.203778351137098,0.88,-0.030000000000000027,-0.005800719124974631,2.026791627828179,0.3944000000000001,-0.9239321998106006,1.1317708967386764
2019-01-21,0.018811221841053702,0.023548005453000335,0.010779129354983867,0.09275090543402163,0.7421373467718985,0.5789473684210527,0.6578947368421053,-0.02167353523199143,0.55,1.20360637607842,0.96,0.07999999999999996,0.007405211631843913,2.021276483646893,0.2913000000000001,-0.17307015341215132,1.081795663018263
2019-01-22,0.0016945051322704765,0.021647342975941123,0.006417126851083584,0.09472168658022684,0.7683469631345882,0.39473684210526316,0.6052631578947368,-0.02167353523199143,0.55,1.20360637607842,0.96,0.07999999999999996,0.007405211631843913,2.021276483646893,0.2913000000000001,-0.17683316436900964,1.0741754517721895
2019-01-23,-0.000525400713019071,0.020629693870155178,0.016650657560839888,0.09495582945920251,0.7803974039976862,0.34210526315789475,0.5789473684210527,-0.02167353523199143,0.55,1.20360637607842,0.96,0.07999999999999996,0.007405211631843913,2.021276483646893,0.2913000000000001,-0.18061462627135932,1.0666230490909507
2019-01-24,0.006661747951581821,0.03172977581694522,0.014531103346881449,0.0897655419029973,0.7483659947788903,0.5526315789473685,0.5526315789473685,-0.02167353523199143,0.55,1.20360637607842,0.96,0.07999999999999996,0.007405211631843913,2.021276483646893,0.2913000000000001,-0.18441485480616426,1.059137066318821
2019-01-25,-0.0005207180044308059,0.035797813930369744,0.010456913360691614,0.08900665950099865,0.7530382958194295,0.23684210526315788,0.5789473684210527,-0.02167353523199143,0.55,1.20360637607842,0.96,0.07999999999999996,0.007405211631843913,2.021276483646893,0.2913000000000001,-0.18823417196130313,1.0517161507091763
