date,width_z,stress,trend_ok,momentum_score,vol_high,vol_low,breadth,top_sector_conc,y_reg,y_cls
2020-11-20,0.0,0.0,0,1.0,0.0,1.0,0.6842105263157895,1.0,0.01765418205919045,0
2020-11-23,0.0,0.47229893368729814,0,0.5,0.0,1.0,0.6842105263157895,1.0,0.0034173780984791957,0
2020-11-24,0.0,0.06989705499213059,0,1.0,0.0,1.0,0.39473684210526316,1.0,0.007989698828797076,0
2020-11-25,0.0,0.16085058339223085,0,1.0,0.0,0.0,0.21052631578947367,1.0,0.010707516006252193,0
2020-11-26,0.0,2.5927929716170207e-06,0,1.0,0.0,0.0,0.5263157894736842,1.0,0.008238800926810619,0
2020-11-27,0.0,0.7461519157192713,0,1.0,0.0,1.0,0.7105263157894737,1.0,-0.004473680731375884,0
2020-11-30,0.0,0.5779264390342169,0,-0.5,0.0,1.0,0.39473684210526316,1.0,0.0041448723930990194,0
2020-12-01,0.0,0.9919275230416154,0,1.0,0.0,1.0,0.9210526315789473,1.0,-0.007862279487515611,0
2020-12-02,0.0,0.00017011840208049333,0,1.0,0.0,1.0,0.4473684210526316,1.0,-0.008670756497564547,0
2020-12-03,-0.9560383046683393,0.004460893817842804,0,1.0,0.0,1.0,0.5263157894736842,1.0,0.003909356605789283,0
2020-12-04,-0.8789826508581142,0.015233903140133752,0,1.0,0.0,1.0,0.631578947368421,1.0,0.0006688649073485209,0
2020-12-07,-0.998140379397432,0.0014907092855121781,0,0.5,0.0,1.0,0.21052631578947367,1.0,0.01997444815920546,0
2020-12-08,-1.0098947637630709,0.0004597379623544546,0,1.0,0.0,1.0,0.47368421052631576,1.0,-0.0005865750490900989,0
2020-12-09,1.260217237459518,0.9884982186412061,0,0.5,0.0,1.0,0.2631578947368421,1.0,0.015799621199006575,0
2020-12-10,-1.0728783026718078,0.002622795322687083,0,0.5,0.0,1.0,0.3684210526315789,1.0,0.012811470739990005,0
2020-12-11,-0.9615422448333374,0.031058718934494453,0,0.0,0.0,1.0,0.23684210526315788,1.0,0.026403184182128614,0
2020-12-14,-0.6192760477866918,0.18345099743510354,0,0.5,0.0,1.0,0.6578947368421053,1.0,0.022731466093150576,0
2020-12-15,-0.9762273467449765,0.0004653780809392539,0,0.0,0.0,1.0,0.5789473684210527,1.0,0.01957384638207116,0
2020-12-16,-0.9438461106591495,0.0009616042689990476,0,0.0,0.0,1.0,0.6052631578947368,1.0,0.030809785779161603,0
2020-12-17,0.7243162693416562,0.7256858130279923,0,1.0,0.0,1.0,0.8947368421052632,1.0,0.033397701403902635,0
2020-12-18,-0.8323011170083686,0.031330414561428745,1,1.0,0.0,1.0,0.3684210526315789,1.0,0.046831498274104044,0
