feature,importance
real_rate_lag20_z,0.15855371707713892
信用利差因子_lag20,0.11430803460289703
width_z,0.09501891142272754
信用利差因子_lag5_z,0.08268936211013177
宏观增长因子_lag5_z,0.07926500694044401
real_rate_diff_lag5_z,0.0633192784669409
real_rate_diff_lag1_z,0.06303919645804357
dxy_logret_lag20_z,0.05858266140021994
real_rate_diff_lag0_z,0.052927597968684736
vol_high,0.05038471634270949
real_rate_lag5_z,0.04953717714708468
信用利差因子_lag0,0.047557921289591416
信用利差因子_lag0_z,0.044914291553142756
cn_us_spread_lag5,0.044234742720814235
宏观增长因子_lag0_z,0.038201345942950125
信用利差因子_lag1_z,0.03772056718884001
real_rate_lag5,0.03535693024677843
宏观增长因子_lag20_z,0.034595203598557556
信用利差因子_lag1,0.0315118628396203
momentum_score,0.031277984943439606
信用利差因子_lag5,0.030721081299975778
dxy_logret_lag5,0.0303749437512858
dxy_logret_lag0_z,0.02828256355360588
vix_lag20_z,0.02761654114407843
dxy_logret_lag20,0.026921170022692644
宏观增长因子_lag1_z,0.024850853570153375
cn_us_spread_lag0,0.02384702305683787
cn_us_spread_lag5_z,0.023619687094881003
宏观增长因子_lag0,0.023340623847516232
cn_us_spread_lag0_z,0.022616463013461277
cn_us_spread_lag20_z,0.020171773541581287
dxy_logret_lag5_z,0.019958264381567677
宏观增长因子_lag20,0.01984003507055443
vix_lag20,0.01956830299722325
vix_lag0,0.018521058146079974
dxy_logret_lag0,0.016170154084212157
real_rate_diff_lag5,0.01508259686198755
real_rate_diff_lag0,0.014659594884259197
real_rate_lag0_z,0.013872830661616679
信用利差因子_lag20_z,0.013290891498902271
cn_us_spread_lag20,0.012878530428706405
宏观增长因子_lag5,0.01251017644607934
vix_lag5,0.011989731610479644
real_rate_diff_lag20,0.01122002957923687
dxy_logret_lag1_z,0.011186379479015969
real_rate_lag1_z,0.010570051573090135
real_rate_lag0,0.010277557717658132
real_rate_lag20,0.010156641206491894
cn_us_spread_lag1,0.010153981648107753
cn_us_spread_lag1_z,0.009699687697148346
stress,0.008343625287010718
dxy_logret_lag1,0.006755602111969363
vix_rank20_lag0_z,0.006713818412501313
vix_lag1_z,0.006258507698601489
breadth,0.00615819755425708
宏观增长因子_lag1,0.005412935313801664
vix_rank20_lag1_z,0.0053046005707224255
vix_rank20_lag20_z,0.0048303715854979895
vix_lag1,0.004337888849853982
vix_lag5_z,0.004062287036052592
real_rate_diff_lag20_z,0.0038359117643228234
vix_lag0_z,0.0033659945440225013
vix_rank20_lag20,0.0032501649243797375
vix_rank20_lag5_z,0.0026051795683505806
vix_rank20_lag0,0.0020439384895523157
real_rate_lag1,0.0018405375320292858
vix_rank20_lag1,0.0011225115843137472
vix_rank20_lag5,0.0009341600272370462
top_sector_conc,0.0005079082079323849
real_rate_diff_lag1,0.0003934388506831201
trend_ok,0.0
