date,width_z,stress,trigger,cross_dispersion,anomaly_frac,max_hw,top_assets,fwd_5d_ret,fwd_10d_ret,classification
2020-11-27,0.0,0.746,stress,0.0086,0.158,0.1605,"515220:0.1605, 515030:0.1406, 515880:0.1062",0.0158,-0.0043,neutral
2020-12-01,0.0,0.992,stress,0.0116,0.342,0.1786,"515220:0.1786, 515030:0.1531, 515880:0.1151",0.0028,-0.0078,neutral
2020-12-09,1.26,0.988,stress,0.0142,0.263,0.1898,"515220:0.1898, 515030:0.1299, 512690:0.1121",-0.0002,0.0161,FP
2020-12-17,0.72,0.726,stress,0.0132,0.184,0.1877,"515220:0.1877, 515030:0.1080, 512690:0.0854",-0.0005,0.0334,FP
2020-12-21,1.4,0.926,stress,0.0145,0.211,0.2154,"515220:0.2154, 515030:0.1383, 512690:0.0913",-0.0071,0.0407,FP
2020-12-22,1.72,1.0,stress,0.0172,0.395,0.2448,"515220:0.2448, 515030:0.1513, 512690:0.0953",0.0094,0.0597,FP
2020-12-29,1.82,0.993,stress,0.0215,0.237,0.2589,"515220:0.2589, 515030:0.1698, 515880:0.1102",0.0503,0.0594,FP
2020-12-31,1.68,0.926,stress,0.013,0.289,0.2438,"515220:0.2438, 515030:0.1731, 515880:0.1050",0.0294,0.0222,FP
2021-01-04,1.95,0.999,stress,0.0237,0.316,0.2538,"515220:0.2538, 515030:0.2024, 515880:0.1113",0.0044,0.0175,FP
2021-01-05,1.77,0.957,stress,0.0191,0.263,0.2515,"515220:0.2515, 515030:0.1969, 515880:0.1100",0.0138,0.0034,neutral
2021-01-18,1.73,0.778,stress,0.0169,0.237,0.209,"515220:0.2090, 515030:0.1873, 515880:0.1100",0.0195,-0.0164,TP
2021-01-26,2.6,0.994,both,0.0164,0.342,0.2116,"515220:0.2116, 515030:0.2076, 512690:0.1268",-0.0073,0.0069,neutral
2021-01-28,2.56,0.999,both,0.0125,0.447,0.2029,"515220:0.2029, 515030:0.1987, 515050:0.1309",0.0018,0.0408,FP
2021-02-18,2.63,1.0,both,0.0305,0.316,0.2476,"515220:0.2476, 515030:0.1809, 515050:0.1241",-0.0292,-0.0622,TP
2021-03-04,1.38,0.796,stress,0.0153,0.5,0.1677,"515220:0.1677, 515030:0.1143, 512690:0.1126",-0.0213,-0.0171,TP
2021-03-08,1.97,0.965,stress,0.029,0.447,0.1782,"515220:0.1782, 512690:0.1340, 515030:0.1311",-0.011,-0.002,neutral
2021-04-19,0.0,0.661,stress,0.0151,0.263,0.1125,"515220:0.1125, 515030:0.1063, 512690:0.0852",0.0015,0.0052,neutral
2021-05-06,1.0,0.997,stress,0.0244,0.316,0.1357,"515220:0.1357, 515030:0.1093, 512690:0.0922",-0.0125,0.0135,FP
2021-05-11,1.09,0.921,stress,0.0197,0.263,0.1605,"515220:0.1605, 515030:0.1084, 512690:0.0862",0.0256,0.0423,FP
2021-05-14,1.49,0.969,stress,0.0206,0.289,0.1714,"515220:0.1714, 515030:0.1107, 159985:0.0946",0.0072,0.0357,FP
2021-05-25,1.29,0.874,stress,0.0137,0.395,0.1628,"515220:0.1628, 515030:0.0945, 512690:0.0846",0.0175,0.0071,neutral
2021-06-15,1.38,0.933,stress,0.014,0.211,0.1282,"515220:0.1282, 515030:0.0962, 512690:0.0893",0.0017,0.0135,FP
2021-06-16,1.81,0.998,stress,0.0153,0.316,0.1315,"515220:0.1315, 515030:0.1195, 512690:0.0934",0.0254,0.0374,FP
2021-06-17,1.81,0.971,stress,0.0228,0.184,0.1262,"515220:0.1262, 515030:0.1182, 512690:0.0937",0.0136,0.0266,FP
2021-06-23,1.21,0.819,stress,0.016,0.211,0.1163,"515220:0.1163, 515030:0.1138, 512690:0.0836",0.012,0.0034,neutral
2021-06-25,0.73,0.652,stress,0.0117,0.237,0.1098,"515220:0.1098, 515030:0.1039, 512690:0.0773",-0.0159,-0.0103,TP
2021-07-01,1.87,0.959,stress,0.0173,0.237,0.1418,"515220:0.1418, 515030:0.1147, 512690:0.0887",-0.0116,0.0072,neutral
2021-07-02,2.17,1.0,both,0.0175,0.474,0.1417,"515220:0.1417, 515030:0.1161, 512690:0.0938",0.0056,0.0178,FP
2021-07-08,1.38,0.739,stress,0.0181,0.211,0.1236,"515220:0.1236, 515030:0.1078, 512760:0.0750",0.0188,0.0235,FP
2021-07-13,1.64,0.805,stress,0.019,0.211,0.1366,"515220:0.1366, 515030:0.1149, 512760:0.0813",-0.0056,-0.0452,TP
2021-07-26,2.33,1.0,both,0.0261,0.579,0.1331,"515030:0.1331, 515220:0.1225, 512690:0.1007",0.0051,0.0058,neutral
2021-07-27,2.51,1.0,both,0.0227,0.526,0.1453,"515030:0.1453, 515220:0.1249, 512690:0.1053",0.0208,0.0372,FP
2021-07-29,2.53,0.997,both,0.0228,0.368,0.1502,"515030:0.1502, 515220:0.1230, 512690:0.1041",0.006,0.0121,FP
2021-08-02,2.62,1.0,both,0.0235,0.474,0.1502,"515030:0.1502, 515220:0.1303, 512690:0.1271",0.0008,-0.0007,neutral
2021-08-31,1.11,0.719,stress,0.019,0.184,0.1105,"512690:0.1105, 515220:0.0839, 515030:0.0782",0.0297,0.0193,FP
2021-09-01,1.76,0.94,stress,0.0231,0.211,0.1264,"512690:0.1264, 515220:0.0972, 512400:0.0832",0.0215,0.0087,neutral
2021-09-06,1.91,0.963,stress,0.0166,0.289,0.1292,"512690:0.1292, 515220:0.1030, 512400:0.0836",0.0064,-0.015,TP
2021-09-17,1.08,0.728,stress,0.0222,0.158,0.1145,"515220:0.1145, 512690:0.0936, 512400:0.0795",-0.0007,-0.0126,TP
2021-09-22,1.87,0.996,stress,0.02,0.289,0.1346,"515220:0.1346, 512690:0.1085, 512400:0.0893",-0.0102,-0.0014,neutral
2021-09-27,1.84,0.981,stress,0.0257,0.211,0.1451,"515220:0.1451, 512690:0.1157, 512400:0.0946",0.0011,-0.0007,neutral
2021-10-08,2.01,0.997,both,0.0224,0.289,0.1519,"515220:0.1519, 512690:0.1132, 512400:0.0872",0.0081,0.0089,neutral
2021-10-18,1.81,0.957,stress,0.0243,0.211,0.1482,"515220:0.1482, 512690:0.1212, 159981:0.0881",0.0093,-0.0043,neutral
2021-11-01,1.22,0.782,stress,0.0147,0.237,0.1363,"515220:0.1363, 159981:0.1295, 512690:0.0897",0.0007,0.0129,FP
2021-11-11,1.66,0.994,stress,0.0143,0.316,0.1392,"515220:0.1392, 159981:0.1282, 512690:0.0928",-0.0045,0.0068,neutral
2021-11-22,1.44,0.909,stress,0.0161,0.158,0.1186,"515220:0.1186, 159981:0.0895, 512690:0.0779",-0.0135,-0.017,TP
2021-11-26,1.28,0.924,stress,0.0107,0.211,0.1086,"515220:0.1086, 159981:0.0831, 512690:0.0755",0.0023,0.0125,FP
2021-12-07,1.37,0.99,stress,0.0147,0.184,0.1034,"515220:0.1034, 159981:0.0757, 512690:0.0731",0.0148,-0.0035,neutral
2021-12-08,1.55,0.998,stress,0.0126,0.289,0.1005,"515220:0.1005, 512690:0.0769, 159981:0.0754",-0.0049,-0.0129,TP
2021-12-09,0.54,0.699,stress,0.0104,0.211,0.0857,"515220:0.0857, 512690:0.0666, 159981:0.0636",-0.0042,-0.015,TP
2021-12-16,1.18,0.957,stress,0.0159,0.184,0.111,"515220:0.1110, 512690:0.0723, 159981:0.0685",-0.0108,-0.0127,TP
2021-12-17,1.35,0.997,stress,0.0122,0.316,0.1142,"515220:0.1142, 512690:0.0770, 159981:0.0690",-0.0032,0.0031,neutral
2021-12-20,1.38,1.0,stress,0.0106,0.474,0.1157,"515220:0.1157, 512690:0.0764, 159981:0.0707",0.0128,0.0159,FP
2022-01-04,1.38,0.854,stress,0.0155,0.184,0.0978,"515220:0.0978, 512690:0.0702, 512980:0.0629",-0.0275,-0.0199,TP
2022-01-05,1.9,0.999,stress,0.0167,0.316,0.105,"515220:0.1050, 512690:0.0750, 515030:0.0696",-0.0019,-0.0162,TP
2022-01-12,1.26,0.733,stress,0.0137,0.211,0.0877,"515220:0.0877, 515030:0.0668, 513050:0.0631",-0.0143,-0.0398,TP
2022-01-14,1.78,0.914,stress,0.0145,0.237,0.0848,"515220:0.0848, 515030:0.0731, 513050:0.0687",-0.0034,-0.0494,TP
2022-01-19,1.68,0.941,stress,0.0135,0.263,0.0835,"515220:0.0835, 515030:0.0752, 512980:0.0687",-0.0255,-0.0233,TP
2022-01-20,1.73,0.951,stress,0.0158,0.237,0.083,"515220:0.0830, 515030:0.0748, 513050:0.0743",-0.0506,-0.0272,TP
2022-01-21,1.39,0.842,stress,0.0139,0.237,0.0781,"515220:0.0781, 515030:0.0703, 513050:0.0698",-0.046,-0.0316,TP
2022-01-25,2.1,1.0,both,0.0127,0.474,0.0902,"515220:0.0902, 512980:0.0819, 513050:0.0783",-0.0084,-0.0046,neutral
2022-01-27,2.14,1.0,both,0.0135,0.658,0.0859,"515220:0.0859, 512980:0.0847, 513050:0.0809",0.0234,0.0186,FP
2022-02-07,2.3,0.999,both,0.0199,0.342,0.0959,"515220:0.0959, 513050:0.0780, 512980:0.0773",-0.0094,0.006,neutral
2022-02-15,2.04,0.848,both,0.0193,0.211,0.0945,"515220:0.0945, 515030:0.0724, 513050:0.0708",-0.0057,0.0085,neutral
2022-02-22,2.21,0.984,both,0.0162,0.289,0.096,"515220:0.0960, 512980:0.0752, 513050:0.0734",0.0142,-0.0454,TP
2022-02-23,1.39,0.681,stress,0.0169,0.211,0.0824,"515220:0.0824, 512980:0.0654, 513050:0.0632",-0.0057,-0.0645,TP
2022-02-24,2.38,0.995,both,0.0218,0.553,0.0964,"515220:0.0964, 512980:0.0799, 513100:0.0754",0.0082,-0.0372,TP
2022-03-07,2.38,1.0,both,0.0276,0.737,0.0956,"159981:0.0956, 515220:0.0833, 512690:0.0793",-0.0371,-0.0056,neutral
2022-03-08,2.36,0.971,both,0.0202,0.579,0.0966,"159981:0.0966, 515220:0.0895, 513100:0.0803",-0.0573,0.0173,FP
2022-03-14,2.0,0.764,both,0.0177,0.474,0.0914,"159981:0.0914, 515220:0.0854, 512170:0.0749",0.0315,0.0228,FP
2022-03-15,3.01,0.997,both,0.0229,0.737,0.1156,"515220:0.1156, 159981:0.1048, 513050:0.0956",0.0746,0.062,FP
2022-03-16,3.25,0.985,both,0.0247,0.658,0.1207,"513050:0.1207, 515220:0.1155, 510900:0.1086",0.0472,0.0426,FP
2022-04-11,2.11,0.771,both,0.0199,0.395,0.1196,"513050:0.1196, 510900:0.1067, 512200:0.0986",0.013,-0.0646,TP
2022-04-25,2.49,1.0,both,0.0222,0.789,0.1175,"515220:0.1175, 512200:0.1047, 512690:0.0994",0.0503,0.0359,FP
2022-04-27,2.49,0.944,both,0.03,0.316,0.1219,"515220:0.1219, 515030:0.1100, 512400:0.1073",0.0041,0.0272,FP
2022-04-29,2.47,0.923,both,0.0214,0.447,0.1237,"515220:0.1237, 512400:0.1104, 515030:0.1093",-0.0119,0.0014,neutral
2022-05-24,1.67,0.698,stress,0.0134,0.158,0.1039,"515220:0.1039, 513050:0.0996, 515030:0.0972",0.0364,0.068,FP
2022-06-06,1.28,1.0,stress,0.0149,0.263,0.1009,"515220:0.1009, 513050:0.0899, 515030:0.0891",-0.0025,0.0105,FP
2022-06-10,0.5,0.733,stress,0.0147,0.132,0.0848,"515220:0.0848, 513050:0.0811, 515030:0.0764",-0.0016,0.0081,neutral
2022-06-13,1.33,1.0,stress,0.0176,0.289,0.0965,"515220:0.0965, 513050:0.0961, 515030:0.0874",0.0129,0.0341,FP
2022-06-14,0.41,0.663,stress,0.0179,0.132,0.0811,"515220:0.0811, 513050:0.0810, 515030:0.0733",0.0109,0.0419,FP
