date,width_z,stress,trigger,cross_dispersion,anomaly_frac,max_hw,top_assets,fwd_5d_ret,fwd_10d_ret,classification
2023-03-10,1.45,0.985,stress,0.0113,0.316,0.0698,"513050:0.0698, 512980:0.0585, 512480:0.0542",0.003,0.027,FP
2023-03-14,1.45,0.965,stress,0.0136,0.263,0.0697,"513050:0.0697, 512980:0.0598, 512480:0.0567",0.0108,0.0205,FP
2023-03-16,0.54,0.658,stress,0.0105,0.237,0.0582,"513050:0.0582, 512980:0.0500, 512480:0.0460",0.0303,0.0368,FP
2023-03-17,1.11,0.87,stress,0.0147,0.211,0.0655,"513050:0.0655, 512980:0.0608, 510900:0.0521",0.024,0.0331,FP
2023-03-21,0.97,0.776,stress,0.0111,0.263,0.0604,"513050:0.0604, 512980:0.0575, 510900:0.0507",0.0097,0.0372,FP
2023-04-03,1.89,0.999,stress,0.0189,0.289,0.0791,"512980:0.0791, 512760:0.0719, 512480:0.0701",0.0062,0.0121,FP
2023-04-06,1.69,0.95,stress,0.0181,0.237,0.0778,"512980:0.0778, 512760:0.0712, 512480:0.0702",-0.0019,0.0028,neutral
2023-04-17,1.59,0.882,stress,0.0143,0.237,0.0975,"512980:0.0975, 512480:0.0816, 512760:0.0798",-0.033,-0.0295,TP
2023-04-20,0.83,0.648,stress,0.018,0.158,0.0894,"512980:0.0894, 512480:0.0737, 512760:0.0718",-0.0339,-0.0264,TP
2023-04-21,2.1,1.0,both,0.0163,0.447,0.1119,"512980:0.1119, 512480:0.0946, 512760:0.0927",-0.0038,-0.0125,TP
2023-04-25,1.87,0.889,stress,0.0161,0.237,0.1063,"512980:0.1063, 512480:0.0913, 512760:0.0894",0.0078,-0.0045,neutral
2023-05-04,2.07,0.939,both,0.0178,0.237,0.1271,"512980:0.1271, 512480:0.0931, 515880:0.0903",-0.0068,-0.0019,neutral
2023-05-31,1.73,0.974,stress,0.0124,0.289,0.1,"512980:0.1000, 513520:0.0943, 515880:0.0719",0.0079,0.0303,FP
2023-06-02,1.82,0.996,stress,0.0134,0.368,0.0946,"513520:0.0946, 512980:0.0936, 515880:0.0673",-0.0024,0.0312,FP
2023-06-15,2.06,0.998,both,0.0142,0.368,0.0893,"513520:0.0893, 512980:0.0866, 515880:0.0666",-0.0251,-0.0014,neutral
2023-06-21,2.06,1.0,both,0.0186,0.474,0.098,"512980:0.0980, 515880:0.0806, 515050:0.0677",-0.0026,-0.0055,neutral
2023-07-03,1.27,0.705,stress,0.0161,0.211,0.0852,"512980:0.0852, 515880:0.0766, 515050:0.0649",-0.0124,0.0006,neutral
2023-07-13,2.05,1.0,both,0.0109,0.553,0.0917,"515880:0.0917, 512980:0.0907, 515050:0.0783",-0.0117,0.0033,neutral
2023-07-25,2.28,1.0,both,0.0193,0.5,0.0851,"515880:0.0851, 512980:0.0722, 515050:0.0709",0.0167,0.0061,neutral
2023-07-28,2.37,0.999,both,0.0218,0.342,0.0792,"515880:0.0792, 512880:0.0745, 512000:0.0719",0.0037,-0.0205,TP
