date,coverage,coverage_gap,downside_violation,upside_violation,alert_level,trigger_confidence,fired
2020-11-20,,,,,green,no_fire,0
2020-11-23,,,,,green,no_fire,0
2020-11-24,,,,,green,no_fire,0
2020-11-25,,,,,green,no_fire,0
2020-11-26,0.9894736842105264,0.0,0.010526315789473684,0.0,green,no_fire,0
2020-11-27,0.9912280701754387,0.0,0.008771929824561403,0.0,green,no_fire,0
2020-11-30,0.9924812030075189,0.0,0.007518796992481203,0.0,green,no_fire,0
2020-12-01,0.993421052631579,0.0,0.006578947368421052,0.0,green,no_fire,0
2020-12-02,0.9941520467836258,0.0,0.005847953216374269,0.0,green,no_fire,0
2020-12-03,0.994736842105263,0.0,0.005263157894736842,0.0,green,no_fire,0
2020-12-04,0.992822966507177,0.0,0.004784688995215311,0.0023923444976076554,green,no_fire,0
2020-12-07,0.9934210526315788,0.0,0.0043859649122807015,0.0021929824561403508,green,no_fire,0
2020-12-08,0.9939271255060728,0.0,0.004048582995951417,0.0020242914979757085,green,no_fire,0
2020-12-09,0.9943609022556392,0.0,0.0037593984962406013,0.0018796992481203006,green,no_fire,0
2020-12-10,0.994736842105263,0.0,0.0035087719298245615,0.0017543859649122807,green,no_fire,0
2020-12-11,0.993421052631579,0.0,0.004934210526315789,0.001644736842105263,green,no_fire,0
2020-12-14,0.9938080495356038,0.0,0.0046439628482972135,0.001547987616099071,green,no_fire,0
2020-12-15,0.9941520467836258,0.0,0.0043859649122807015,0.0014619883040935672,green,no_fire,0
2020-12-16,0.9944598337950139,0.0,0.0041551246537396115,0.0013850415512465374,green,no_fire,0
2020-12-17,0.9947368421052633,0.0,0.003947368421052633,0.0013157894736842105,green,no_fire,0
2020-12-18,0.9947368421052633,0.0,0.003947368421052633,0.0013157894736842105,green,skip_trend,0
2020-12-21,0.9947368421052633,0.0,0.003947368421052633,0.0013157894736842105,green,skip_trend,0
2020-12-22,0.9973684210526317,0.0,0.0013157894736842105,0.0013157894736842105,green,no_fire,0
2020-12-23,0.9960526315789474,0.0,0.0013157894736842105,0.002631578947368421,green,no_fire,0
2020-12-24,0.9947368421052633,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2020-12-25,0.9947368421052633,0.0,0.002631578947368421,0.002631578947368421,green,no_fire,0
2020-12-28,0.993421052631579,0.0,0.002631578947368421,0.003947368421052633,green,no_fire,0
