asset,asset_name,version,start_date,ann_return,vol,sharpe,max_drawdown,calmar,n_windows,mean_position,position_std,total_turnover,cost_bp
511260,国债,v8_prob_2state,2018-01-01,0.022887,0.011611,1.9711,-0.0116,1.9761,14,0.5046,0.0146,0.7517,20
511260,国债,v8_prob_3state,2018-01-01,0.024395,0.012354,1.9746,-0.0124,1.9625,14,0.5372,0.0111,0.703,0
511260,国债,v8_prob_3state,2018-01-01,0.024378,0.012354,1.9732,-0.0124,1.9611,14,0.5372,0.0111,0.703,10
511260,国债,v8_prob_3state,2018-01-01,0.024361,0.012354,1.9719,-0.0124,1.9597,14,0.5372,0.0111,0.703,20
511260,国债,v8_uniform,2018-01-01,0.045611,0.023001,1.983,-0.0234,1.9482,14,1.0,0.0,0.0,0
511260,国债,v8_uniform,2018-01-01,0.045611,0.023001,1.983,-0.0234,1.9482,14,1.0,0.0,0.0,10
511260,国债,v8_uniform,2018-01-01,0.045611,0.023001,1.983,-0.0234,1.9482,14,1.0,0.0,0.0,20
511260,国债,v8_method_b,2019-01-01,0.027483,0.018602,1.4774,-0.0225,1.2234,10,0.6311,0.438,2.4889,0
511260,国债,v8_method_b,2019-01-01,0.027227,0.018613,1.4628,-0.0225,1.212,10,0.6311,0.438,2.4889,10
511260,国债,v8_method_b,2019-01-01,0.026971,0.018636,1.4472,-0.0225,1.2006,10,0.6311,0.438,2.4889,20
511260,国债,v8_prob_2state,2019-01-01,0.024862,0.012024,2.0676,-0.0116,2.1375,10,0.5002,0.0126,0.6579,0
511260,国债,v8_prob_2state,2019-01-01,0.024846,0.012025,2.0662,-0.0116,2.1362,10,0.5002,0.0126,0.6579,10
511260,国债,v8_prob_2state,2019-01-01,0.02483,0.012025,2.0649,-0.0116,2.1348,10,0.5002,0.0126,0.6579,20
511260,国债,v8_prob_3state,2019-01-01,0.026831,0.012987,2.066,-0.0124,2.163,10,0.5387,0.0123,0.6172,0
511260,国债,v8_prob_3state,2019-01-01,0.026814,0.012988,2.0646,-0.0124,2.1559,10,0.5387,0.0123,0.6172,10
511260,国债,v8_prob_3state,2019-01-01,0.026797,0.012988,2.0632,-0.0125,2.1489,10,0.5387,0.0123,0.6172,20
511260,国债,v8_uniform,2019-01-01,0.050038,0.024105,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,0
511260,国债,v8_uniform,2019-01-01,0.050038,0.024105,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,10
511260,国债,v8_uniform,2019-01-01,0.050038,0.024105,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,20
511260,国债,v8_method_b,2020-01-01,0.022467,0.017512,1.283,-0.0225,1.0002,6,0.4556,0.4214,3.2222,0
511260,国债,v8_method_b,2020-01-01,0.022088,0.017517,1.2609,-0.0225,0.9833,6,0.4556,0.4214,3.2222,10
511260,国债,v8_method_b,2020-01-01,0.021709,0.017537,1.2379,-0.0225,0.9664,6,0.4556,0.4214,3.2222,20
511260,国债,v8_prob_2state,2020-01-01,0.021409,0.012853,1.6656,-0.0117,1.8368,6,0.5083,0.0117,0.5593,0
511260,国债,v8_prob_2state,2020-01-01,0.021401,0.012853,1.665,-0.0117,1.8361,6,0.5083,0.0117,0.5593,10
511260,国债,v8_prob_2state,2020-01-01,0.021392,0.012854,1.6643,-0.0117,1.8354,6,0.5083,0.0117,0.5593,20
511260,国债,v8_prob_3state,2020-01-01,0.02273,0.013572,1.6748,-0.0122,1.8668,6,0.534,0.0075,0.5219,0
511260,国债,v8_prob_3state,2020-01-01,0.022721,0.013572,1.6741,-0.0122,1.866,6,0.534,0.0075,0.5219,10
511260,国债,v8_prob_3state,2020-01-01,0.022712,0.013572,1.6734,-0.0122,1.8652,6,0.534,0.0075,0.5219,20
511260,国债,v8_uniform,2020-01-01,0.042809,0.025432,1.6832,-0.0225,1.9057,6,1.0,0.0,0.0,0
511260,国债,v8_uniform,2020-01-01,0.042809,0.025432,1.6832,-0.0225,1.9057,6,1.0,0.0,0.0,10
511260,国债,v8_uniform,2020-01-01,0.042809,0.025432,1.6832,-0.0225,1.9057,6,1.0,0.0,0.0,20
518880,黄金,v8_method_b,2018-01-01,0.133543,0.112955,1.1823,-0.2489,0.5365,14,0.5159,0.4468,9.6889,0
518880,黄金,v8_method_b,2018-01-01,0.132839,0.112967,1.1759,-0.2489,0.5337,14,0.5159,0.4468,9.6889,10
518880,黄金,v8_method_b,2018-01-01,0.132135,0.112984,1.1695,-0.2489,0.5309,14,0.5159,0.4468,9.6889,20
518880,黄金,v8_prob_2state,2018-01-01,0.138095,0.078701,1.7547,-0.1183,1.167,14,0.5026,0.0156,0.7058,0
518880,黄金,v8_prob_2state,2018-01-01,0.138077,0.078701,1.7545,-0.1183,1.1668,14,0.5026,0.0156,0.7058,10
518880,黄金,v8_prob_2state,2018-01-01,0.13806,0.078702,1.7542,-0.1183,1.1667,14,0.5026,0.0156,0.7058,20
518880,黄金,v8_prob_3state,2018-01-01,0.146113,0.082716,1.7664,-0.1249,1.1697,14,0.5337,0.0183,0.6778,0
518880,黄金,v8_prob_3state,2018-01-01,0.146095,0.082717,1.7662,-0.1249,1.1696,14,0.5337,0.0183,0.6778,10
518880,黄金,v8_prob_3state,2018-01-01,0.146077,0.082717,1.766,-0.1249,1.1694,14,0.5337,0.0183,0.6778,20
518880,黄金,v8_uniform,2018-01-01,0.283657,0.157498,1.801,-0.2489,1.1396,14,1.0,0.0,0.0,0
518880,黄金,v8_uniform,2018-01-01,0.283657,0.157498,1.801,-0.2489,1.1396,14,1.0,0.0,0.0,10
518880,黄金,v8_uniform,2018-01-01,0.283657,0.157498,1.801,-0.2489,1.1396,14,1.0,0.0,0.0,20
518880,黄金,v8_method_b,2019-01-01,0.21056,0.137646,1.5297,-0.2489,0.8459,10,0.7178,0.4063,4.3556,0
518880,黄金,v8_method_b,2019-01-01,0.210054,0.137656,1.5259,-0.2489,0.8439,10,0.7178,0.4063,4.3556,10
518880,黄金,v8_method_b,2019-01-01,0.209548,0.13767,1.5221,-0.2489,0.8419,10,0.7178,0.4063,4.3556,20
518880,黄金,v8_prob_2state,2019-01-01,0.167445,0.089041,1.8805,-0.1296,1.2922,10,0.5061,0.0112,0.6423,0
518880,黄金,v8_prob_2state,2019-01-01,0.167428,0.089041,1.8803,-0.1296,1.292,10,0.5061,0.0112,0.6423,10
518880,黄金,v8_prob_2state,2019-01-01,0.167411,0.089041,1.8801,-0.1296,1.2919,10,0.5061,0.0112,0.6423,20
518880,黄金,v8_prob_3state,2019-01-01,0.176815,0.093429,1.8925,-0.1372,1.289,10,0.5353,0.0139,0.6199,0
518880,黄金,v8_prob_3state,2019-01-01,0.176798,0.093429,1.8923,-0.1372,1.2888,10,0.5353,0.0139,0.6199,10
518880,黄金,v8_prob_3state,2019-01-01,0.17678,0.093429,1.8921,-0.1372,1.2887,10,0.5353,0.0139,0.6199,20
518880,黄金,v8_uniform,2019-01-01,0.345836,0.174742,1.9791,-0.2489,1.3894,10,1.0,0.0,0.0,0
518880,黄金,v8_uniform,2019-01-01,0.345836,0.174742,1.9791,-0.2489,1.3894,10,1.0,0.0,0.0,10
518880,黄金,v8_uniform,2019-01-01,0.345836,0.174742,1.9791,-0.2489,1.3894,10,1.0,0.0,0.0,20
518880,黄金,v8_method_b,2020-01-01,0.272287,0.162156,1.6792,-0.2489,1.0939,6,0.7407,0.3884,2.0,0
518880,黄金,v8_method_b,2020-01-01,0.271862,0.162157,1.6765,-0.2489,1.0922,6,0.7407,0.3884,2.0,10
518880,黄金,v8_method_b,2020-01-01,0.271438,0.16216,1.6739,-0.2489,1.0905,6,0.7407,0.3884,2.0,20
518880,黄金,v8_prob_2state,2020-01-01,0.210919,0.103373,2.0404,-0.1268,1.6633,6,0.5019,0.0177,0.6476,0
518880,黄金,v8_prob_2state,2020-01-01,0.210889,0.103373,2.0401,-0.1268,1.663,6,0.5019,0.0177,0.6476,10
518880,黄金,v8_prob_2state,2020-01-01,0.21086,0.103373,2.0398,-0.1268,1.6628,6,0.5019,0.0177,0.6476,20
518880,黄金,v8_prob_3state,2020-01-01,0.220487,0.106694,2.0665,-0.1315,1.6772,6,0.5252,0.0117,0.5189,0
518880,黄金,v8_prob_3state,2020-01-01,0.220476,0.106694,2.0664,-0.1315,1.6771,6,0.5252,0.0117,0.5189,10
518880,黄金,v8_prob_3state,2020-01-01,0.220465,0.106694,2.0663,-0.1315,1.677,6,0.5252,0.0117,0.5189,20
518880,黄金,v8_uniform,2020-01-01,0.446866,0.204908,2.1808,-0.2489,1.7953,6,1.0,0.0,0.0,0
518880,黄金,v8_uniform,2020-01-01,0.446866,0.204908,2.1808,-0.2489,1.7953,6,1.0,0.0,0.0,10
518880,黄金,v8_uniform,2020-01-01,0.446866,0.204908,2.1808,-0.2489,1.7953,6,1.0,0.0,0.0,20
159915,创业板,v8_method_b,2018-01-01,0.047202,0.169365,0.2787,-0.64,0.0737,14,0.4413,0.4265,7.0222,0
159915,创业板,v8_method_b,2018-01-01,0.046738,0.169367,0.276,-0.6418,0.0728,14,0.4413,0.4265,7.0222,10
159915,创业板,v8_method_b,2018-01-01,0.046274,0.169372,0.2732,-0.6436,0.0719,14,0.4413,0.4265,7.0222,20
159915,创业板,v8_prob_2state,2018-01-01,0.044286,0.160555,0.2758,-0.6108,0.0725,14,0.51,0.0527,1.0389,0
159915,创业板,v8_prob_2state,2018-01-01,0.044247,0.160557,0.2756,-0.6108,0.0724,14,0.51,0.0527,1.0389,10
159915,创业板,v8_prob_2state,2018-01-01,0.044208,0.160558,0.2753,-0.6108,0.0724,14,0.51,0.0527,1.0389,20
159915,创业板,v8_prob_3state,2018-01-01,0.041371,0.166844,0.248,-0.6377,0.0649,14,0.5314,0.0137,0.6629,0
159915,创业板,v8_prob_3state,2018-01-01,0.041355,0.166844,0.2479,-0.6378,0.0648,14,0.5314,0.0137,0.6629,10
159915,创业板,v8_prob_3state,2018-01-01,0.04134,0.166844,0.2478,-0.6378,0.0648,14,0.5314,0.0137,0.6629,20
159915,创业板,v8_uniform,2018-01-01,0.055854,0.313613,0.1781,-0.8622,0.0648,14,1.0,0.0,0.0,0
159915,创业板,v8_uniform,2018-01-01,0.055854,0.313613,0.1781,-0.8622,0.0648,14,1.0,0.0,0.0,10
159915,创业板,v8_uniform,2018-01-01,0.055854,0.313613,0.1781,-0.8622,0.0648,14,1.0,0.0,0.0,20
159915,创业板,v8_method_b,2019-01-01,0.139502,0.177531,0.7858,-0.3725,0.3746,10,0.4,0.4482,2.9333,0
159915,创业板,v8_method_b,2019-01-01,0.139168,0.177539,0.7839,-0.3725,0.3737,10,0.4,0.4482,2.9333,10
159915,创业板,v8_method_b,2019-01-01,0.138833,0.177548,0.782,-0.3725,0.3728,10,0.4,0.4482,2.9333,20
159915,创业板,v8_prob_2state,2019-01-01,0.097767,0.177418,0.5511,-0.4154,0.2354,10,0.5163,0.0581,0.9204,0
159915,创业板,v8_prob_2state,2019-01-01,0.09772,0.177419,0.5508,-0.4154,0.2353,10,0.5163,0.0581,0.9204,10
159915,创业板,v8_prob_2state,2019-01-01,0.097674,0.177419,0.5505,-0.4154,0.2351,10,0.5163,0.0581,0.9204,20
159915,创业板,v8_prob_3state,2019-01-01,0.097975,0.182566,0.5367,-0.4384,0.2235,10,0.5278,0.0122,0.6,0
159915,创业板,v8_prob_3state,2019-01-01,0.09796,0.182566,0.5366,-0.4384,0.2234,10,0.5278,0.0122,0.6,10
159915,创业板,v8_prob_3state,2019-01-01,0.097946,0.182566,0.5365,-0.4384,0.2234,10,0.5278,0.0122,0.6,20
159915,创业板,v8_uniform,2019-01-01,0.159129,0.344274,0.4622,-0.6799,0.2341,10,1.0,0.0,0.0,0
159915,创业板,v8_uniform,2019-01-01,0.159129,0.344274,0.4622,-0.6799,0.2341,10,1.0,0.0,0.0,10
159915,创业板,v8_uniform,2019-01-01,0.159129,0.344274,0.4622,-0.6799,0.2341,10,1.0,0.0,0.0,20
159915,创业板,v8_method_b,2020-01-01,0.21002,0.154131,1.3626,-0.1874,1.1207,6,0.3,0.3687,3.0667,0
159915,创业板,v8_method_b,2020-01-01,0.209603,0.154124,1.36,-0.1874,1.1185,6,0.3,0.3687,3.0667,10
159915,创业板,v8_method_b,2020-01-01,0.209186,0.15412,1.3573,-0.1874,1.1163,6,0.3,0.3687,3.0667,20
159915,创业板,v8_prob_2state,2020-01-01,0.250221,0.19486,1.2841,-0.1818,1.3761,6,0.5254,0.0503,0.7921,0
159915,创业板,v8_prob_2state,2020-01-01,0.250162,0.194861,1.2838,-0.1818,1.3758,6,0.5254,0.0503,0.7921,10
159915,创业板,v8_prob_2state,2020-01-01,0.250103,0.194861,1.2835,-0.1818,1.3754,6,0.5254,0.0503,0.7921,20
159915,创业板,v8_prob_3state,2020-01-01,0.251773,0.198111,1.2709,-0.1879,1.3402,6,0.5252,0.0094,0.5233,0
159915,创业板,v8_prob_3state,2020-01-01,0.251762,0.198111,1.2708,-0.1879,1.3401,6,0.5252,0.0094,0.5233,10
159915,创业板,v8_prob_3state,2020-01-01,0.251751,0.198111,1.2708,-0.1879,1.3401,6,0.5252,0.0094,0.5233,20
159915,创业板,v8_uniform,2020-01-01,0.483941,0.375298,1.2895,-0.3372,1.4352,6,1.0,0.0,0.0,0
159915,创业板,v8_uniform,2020-01-01,0.483941,0.375298,1.2895,-0.3372,1.4352,6,1.0,0.0,0.0,10
159915,创业板,v8_uniform,2020-01-01,0.483941,0.375298,1.2895,-0.3372,1.4352,6,1.0,0.0,0.0,20
512760,半导体,v8_method_b,2018-01-01,0.206586,0.272969,0.7568,-0.4112,0.5024,8,0.625,0.4678,4.0,0
512760,半导体,v8_method_b,2018-01-01,0.205992,0.272979,0.7546,-0.4113,0.5009,8,0.625,0.4678,4.0,10
512760,半导体,v8_method_b,2018-01-01,0.205398,0.272992,0.7524,-0.4113,0.4994,8,0.625,0.4678,4.0,20
512760,半导体,v8_prob_2state,2018-01-01,0.200978,0.177606,1.1316,-0.2224,0.9039,8,0.4914,0.0174,0.6724,0
512760,半导体,v8_prob_2state,2018-01-01,0.200955,0.177606,1.1315,-0.2224,0.9037,8,0.4914,0.0174,0.6724,10
512760,半导体,v8_prob_2state,2018-01-01,0.200933,0.177607,1.1313,-0.2224,0.9036,8,0.4914,0.0174,0.6724,20
512760,半导体,v8_prob_3state,2018-01-01,0.212925,0.189704,1.1224,-0.2445,0.871,8,0.5261,0.0185,0.6234,0
512760,半导体,v8_prob_3state,2018-01-01,0.212902,0.189704,1.1223,-0.2445,0.8708,8,0.5261,0.0185,0.6234,10
512760,半导体,v8_prob_3state,2018-01-01,0.212879,0.189703,1.1222,-0.2445,0.8707,8,0.5261,0.0185,0.6234,20
512760,半导体,v8_uniform,2018-01-01,0.399823,0.361213,1.1069,-0.4223,0.9468,8,1.0,0.0,0.0,0
512760,半导体,v8_uniform,2018-01-01,0.399823,0.361213,1.1069,-0.4223,0.9468,8,1.0,0.0,0.0,10
512760,半导体,v8_uniform,2018-01-01,0.399823,0.361213,1.1069,-0.4223,0.9468,8,1.0,0.0,0.0,20
512760,半导体,v8_method_b,2019-01-01,0.206586,0.272969,0.7568,-0.4112,0.5024,8,0.625,0.4678,4.0,0
512760,半导体,v8_method_b,2019-01-01,0.205992,0.272979,0.7546,-0.4113,0.5009,8,0.625,0.4678,4.0,10
512760,半导体,v8_method_b,2019-01-01,0.205398,0.272992,0.7524,-0.4113,0.4994,8,0.625,0.4678,4.0,20
512760,半导体,v8_prob_2state,2019-01-01,0.200978,0.177606,1.1316,-0.2224,0.9039,8,0.4914,0.0174,0.6724,0
512760,半导体,v8_prob_2state,2019-01-01,0.200955,0.177606,1.1315,-0.2224,0.9037,8,0.4914,0.0174,0.6724,10
512760,半导体,v8_prob_2state,2019-01-01,0.200933,0.177607,1.1313,-0.2224,0.9036,8,0.4914,0.0174,0.6724,20
512760,半导体,v8_prob_3state,2019-01-01,0.212925,0.189704,1.1224,-0.2445,0.871,8,0.5261,0.0185,0.6234,0
512760,半导体,v8_prob_3state,2019-01-01,0.212902,0.189704,1.1223,-0.2445,0.8708,8,0.5261,0.0185,0.6234,10
512760,半导体,v8_prob_3state,2019-01-01,0.212879,0.189703,1.1222,-0.2445,0.8707,8,0.5261,0.0185,0.6234,20
512760,半导体,v8_uniform,2019-01-01,0.399823,0.361213,1.1069,-0.4223,0.9468,8,1.0,0.0,0.0,0
512760,半导体,v8_uniform,2019-01-01,0.399823,0.361213,1.1069,-0.4223,0.9468,8,1.0,0.0,0.0,10
